Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
1/1/2024;1;3.382;-0.3446;-0.3446;-5.0000;-1,169.5050;1,152.6550;-16.8500;246.0810;-47.7436;-181.4874;No
1/1/2024;2;3.242;-0.1483;-0.1483;-5.0000;-1,089.1450;1,072.8550;-16.2900;103.8790;-20.5467;-67.0423;No
1/1/2024;3;6.089;-0.0710;-0.0710;-5.0000;-288.4200;257.9500;-30.4700;37.9280;-9.8369;2.3789;No
1/1/2024;4;13.806;-0.1324;-0.1324;-5.0000;-212.7850;143.7900;-68.9950;65.6050;-18.3438;21.7338;No
1/1/2024;5;-1.615;-1.0988;-1.0988;132.0000;-4,365.2400;4,151.1360;-214.1040;567.7132;-133.3669;-220.2424;No
1/1/2024;6;3.248;-0.0414;-0.0414;-5.0000;-167.9700;151.7550;-16.2150;21.0940;-5.0249;0.1459;No
1/1/2024;7;6.021;-0.0407;-0.0407;-5.0000;-174.9750;144.8900;-30.0850;20.4122;-4.9400;14.6128;No
1/1/2024;8;23.435;-0.2094;-0.2094;-5.0000;-219.6800;102.5800;-117.1000;102.4406;-25.4159;40.0753;No
1/1/2024;9;3.300;-0.6647;-0.6647;-5.0000;-166.5700;149.9450;-16.6250;369.7507;-72.6544;-280.4713;No
1/1/2024;10;7.404;-0.0414;-0.0414;-5.0000;-161.7100;124.7100;-37.0000;22.8084;-4.5252;18.7168;No
1/1/2024;11;11.927;-0.0799;-0.0799;-5.0000;-166.6000;106.9500;-59.6500;43.4100;-8.7334;24.9734;No
1/1/2024;12;19.923;-0.1547;-0.1547;-5.0000;-184.2850;84.7550;-99.5300;82.9925;-16.9093;33.4468;No
1/1/2024;13;17.016;-0.1051;-0.1051;-5.0000;-177.5050;92.4250;-85.0800;55.8030;-10.5100;39.7870;No
1/1/2024;14;18.102;-0.1170;-0.1170;-5.0000;-175.0150;84.5500;-90.4650;61.4384;-11.7000;40.7266;No
1/1/2024;15;20.102;-0.1373;-0.1373;-5.0000;-182.7100;82.2350;-100.4750;72.0837;-13.7300;42.1213;No
1/1/2024;16;22.206;-0.1818;-0.1818;-5.0000;-179.1100;68.0800;-111.0300;95.0127;-18.1800;34.1973;No
1/1/2024;17;16.619;-0.1091;-0.1091;-5.0000;-171.5700;88.5000;-83.0700;57.0890;-10.4268;36.4078;No
1/1/2024;18;17.921;-0.1024;-0.1024;-2.9900;-96.5142;42.9633;-53.5509;53.2190;-9.7865;10.1184;No
1/1/2024;19;11.297;-0.0885;-0.0885;-5.0000;-162.1300;105.7000;-56.4300;46.6543;-8.4580;18.2337;No
1/1/2024;20;12.923;-0.0748;-0.0748;-5.0000;-155.7250;91.1100;-64.6150;39.2477;-7.1487;32.5160;No
1/1/2024;21;22.244;-0.1274;-0.1274;-5.0000;-173.0900;61.9350;-111.1550;67.1156;-12.4079;56.4473;No
