Dátum;Zúčtovacia perióda;Veľkosť odchýlky sústavy (MWh);Zúčtovacia cena PNRE (EUR/MWh);Cena za PRE (EUR/MWh);Cena odchýlky sústavy (EUR/MWh);Zúčtovacia cena odchýlky (EUR/MWh);Platba SZ za odchýlku (EUR);Platba OKTE za odchýlku (EUR);Platba za odchýlku sústavy (EUR);Celkové náklady na RE (EUR);Platba za PRE (EUR);Saldo výnosov a nákladov za odchýlky a RE (EUR);Zúčtovanie v zvláštnom režime
1.8.2025;1;-4,525;-0,7760;-0,7760;85,7975;169,8883;-4794,7575;4021,2561;-773,5014;381,3284;-52,5049;444,6780;Nie
1.8.2025;2;-3,983;-1,0754;-1,0754;110,5807;173,6826;-3046,7402;2354,0940;-692,6462;524,2607;-72,7626;241,1481;Nie
1.8.2025;3;6,775;1,5673;1,5673;114,3096;105,2100;-2186,8951;2899,3772;712,4821;-748,8341;106,0451;-69,6931;Nie
1.8.2025;4;9,768;0,5430;0,5430;54,8639;54,8639;-1452,9058;1987,3899;534,4841;-256,4578;36,7399;-314,7662;Nie
1.8.2025;5;2,767;1,2312;1,2312;128,8445;98,3800;-2269,3315;2539,4829;270,1515;-563,4916;71,3013;222,0389;Nie
1.8.2025;6;0,083;-0,1978;-0,1978;111,7836;98,3800;-1636,2562;1643,0444;6,7882;90,9796;-11,4550;-86,3128;Nie
1.8.2025;7;4,252;0,3883;0,3883;53,6613;53,6613;-906,5540;1133,3803;226,8263;-175,8710;22,4872;-73,4425;Nie
1.8.2025;8;3,312;0,5707;0,5707;112,8983;98,3800;-1826,1296;2149,1111;322,9815;-258,4936;33,0504;-97,5383;Nie
1.8.2025;9;0,310;0,0767;0,0767;105,2366;91,7400;-1807,0028;1831,5891;24,5863;-34,0789;4,1259;5,3667;Nie
1.8.2025;10;3,066;0,6468;0,6468;110,2232;91,7400;-1388,9436;1669,1176;280,1740;-285,4510;34,7933;-29,5163;Nie
1.8.2025;11;-2,067;-0,5446;-0,5446;116,6741;137,6100;-2652,5704;2364,0022;-288,5682;242,2335;-29,2957;75,6303;Nie
1.8.2025;12;0,582;-0,0364;-0,0364;115,7868;91,7400;-1645,5404;1697,9239;52,3835;16,1159;-1,9581;-66,5414;Nie
1.8.2025;13;0,499;0,1357;0,1357;115,4467;87,9800;-1208,1414;1250,5477;42,4064;-60,2285;7,0204;10,8017;Nie
1.8.2025;14;5,273;1,2255;1,2255;111,1306;87,9800;-1031,5655;1493,8124;462,2469;-539,1828;63,4012;13,5346;Nie
1.8.2025;15;1,287;0,0516;0,0516;91,1071;87,9800;-1400,6416;1511,7603;111,1187;-22,8338;2,6695;-90,9545;Nie
1.8.2025;16;4,320;0,7678;0,7678;89,8020;87,9800;-1291,8103;1668,9806;377,1703;-340,3367;39,7221;-76,5557;Nie
1.8.2025;17;2,482;0,2226;0,2226;56,4395;56,4395;-847,4391;986,3367;138,8976;-100,5161;12,1034;-50,4849;Nie
1.8.2025;18;4,349;0,2853;0,2853;37,1454;37,1454;-493,1052;654,4648;161,3596;-128,5314;15,5126;-48,3408;Nie
1.8.2025;19;-0,519;-0,0677;-0,0677;39,9977;140,4300;-2041,2905;1964,1944;-77,0961;30,9907;-3,6811;49,7864;Nie
1.8.2025;20;2,863;0,3527;0,3527;60,5562;60,5562;-832,9505;1004,6879;171,7374;-161,7876;19,1774;-29,1271;Nie
1.8.2025;21;5,651;0,7782;0,7782;67,9887;67,9887;-1114,8787;1496,2273;381,3486;-364,1737;46,4562;-63,6311;Nie
1.8.2025;22;10,922;1,7149;1,7149;76,4764;76,4764;-785,5656;1618,5465;832,9809;-798,2135;102,3744;-137,1418;Nie
1.8.2025;23;0,124;-0,0680;-0,0680;75,9616;75,9616;-1114,0528;1119,1423;5,0894;32,6672;-4,0594;-33,6972;Nie
1.8.2025;24;1,876;0,1872;0,1872;55,8236;55,8236;-977,8062;1076,8931;99,0869;-91,4441;11,1753;-18,8181;Nie
1.8.2025;25;2,615;0,4662;0,4662;100,3249;98,0920;-3792,2367;4034,4259;242,1891;-240,0625;31,6620;-33,7886;Nie
1.8.2025;26;1,094;0,3159;0,3159;189,9837;106,2000;-2235,6162;2327,3730;91,7568;-166,9351;21,4543;53,7240;Nie
1.8.2025;27;-2,898;-0,2244;-0,2244;39,9317;172,7039;-3872,5395;3320,4052;-552,1344;121,9822;-15,2401;445,3923;Nie
1.8.2025;28;-1,652;-0,3026;-0,3026;66,9882;164,1487;-4488,1538;4156,0809;-332,0728;166,8725;-20,5511;185,7514;Nie
1.8.2025;29;0,803;-0,1323;-0,1323;41,6886;41,6886;-1382,8526;1397,3602;14,5076;74,4120;-10,6737;-78,2459;Nie
1.8.2025;30;5,015;0,2653;0,2653;37,5389;37,5389;-750,7780;914,5602;163,7822;-150,7227;21,4039;-34,4634;Nie
1.8.2025;31;-1,446;-0,3324;-0,3324;76,3479;164,5200;-4030,5755;3680,9705;-349,6050;193,5396;-26,8174;182,8828;Nie
1.8.2025;32;0,411;-0,1005;-0,1005;51,3960;51,3960;-1445,1527;1427,5753;-17,5774;59,0573;-8,1081;-33,3717;Nie
1.8.2025;33;3,388;0,4428;0,4428;79,2899;79,2899;-2067,8013;2263,1716;195,3703;-263,6739;41,0157;27,2879;Nie
1.8.2025;34;6,858;0,8187;0,8187;87,4474;87,4474;-1538,1123;2051,8658;513,7535;-491,1913;75,8345;-98,3967;Nie
1.8.2025;35;1,925;-0,0636;-0,0636;30,7365;30,7365;-622,8137;648,7246;25,9109;38,9261;-5,8911;-58,9458;Nie
1.8.2025;36;4,959;0,1824;0,1824;29,3904;29,3904;-643,2971;757,0673;113,7702;-112,4581;16,8953;-18,2075;Nie
1.8.2025;37;-0,628;-0,0065;-0,0065;41,9578;142,8750;-3639,0263;3365,2778;-273,7485;4,0212;-0,6479;270,3752;Nie
1.8.2025;38;0,605;-0,0806;-0,0806;19,7506;19,7506;-516,0832;502,3960;-13,6872;49,9151;-8,0341;-28,1938;Nie
1.8.2025;39;0,986;0,0006;0,0006;-2,7177;-2,7177;-84,3493;85,4037;1,0545;-0,3936;0,0598;-0,7207;Nie
1.8.2025;40;4,372;0,0645;0,0645;8,4673;8,4673;-293,1633;318,7007;25,5374;-40,3070;6,4293;8,3403;Nie
1.8.2025;41;-0,545;-0,1725;-0,1725;100,0287;103,0050;-2906,6981;2689,5636;-217,1345;108,6447;-17,8741;126,3639;Nie
1.8.2025;42;-6,753;-0,8575;-0,8575;70,3813;103,0050;-3567,9902;2715,3148;-852,6754;548,7337;-88,8524;392,7941;Nie
1.8.2025;43;-9,527;-0,5773;-0,5773;35,4097;103,0050;-3968,7827;2823,0580;-1145,7246;370,7483;-59,8187;834,7950;Nie
1.8.2025;44;-3,231;-0,1003;-0,1003;25,6717;103,0050;-3688,1970;3190,4769;-497,7202;63,9695;-10,3929;444,1435;Nie
