Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);System imbalance price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
1/1/2026;1;-13.820;-2.9669;-2.9669;94.1290;116.8970;-5,099.9823;3,490.1937;-1,609.7886;1,778.7620;-417.8790;248.9056;No
1/1/2026;2;-13.689;-2.9906;-2.9906;94.1290;111.6060;-4,980.8642;3,458.8932;-1,521.9710;1,770.9011;-421.2170;172.2870;No
1/1/2026;3;-14.508;-3.6077;-3.6077;94.1290;111.9800;-5,354.5477;3,733.3012;-1,621.2464;2,128.5740;-508.1337;0.8062;No
1/1/2026;4;-14.426;-4.1915;-4.1915;94.1300;119.5454;-5,732.4410;4,013.3782;-1,719.0629;2,445.8721;-590.3602;-136.4490;No
1/1/2026;5;-20.192;-4.4324;-4.4324;139.1550;139.1550;-6,735.1020;3,928.6240;-2,806.4780;2,549.7844;-558.0436;814.7372;No
1/1/2026;6;-19.597;-4.1891;-4.1891;128.2990;128.2990;-6,341.6913;3,833.9590;-2,507.7323;2,395.7219;-527.4119;639.4222;No
1/1/2026;7;-13.139;-2.4287;-2.4287;111.4550;111.4550;-5,054.3728;3,593.9779;-1,460.3949;1,362.0489;-305.7758;404.1217;No
1/1/2026;8;-10.009;-2.4355;-2.4355;135.1710;135.1710;-6,315.4595;4,969.2915;-1,346.1680;1,352.8567;-306.6319;299.9432;No
1/1/2026;9;-20.192;-4.0763;-4.0763;114.3660;114.3660;-5,863.3161;3,557.9263;-2,305.3898;2,360.6438;-465.3423;410.0883;No
1/1/2026;10;-16.387;-3.0240;-3.0240;95.9040;101.6730;-5,001.3965;3,338.3313;-1,663.0653;1,703.3385;-345.2138;304.9406;No
1/1/2026;11;-21.209;-3.6724;-3.6724;98.9040;98.9040;-4,616.4431;2,522.7443;-2,093.6988;2,056.5122;-419.2338;456.4204;No
1/1/2026;12;-19.766;-3.1600;-3.1600;87.4640;90.2990;-4,109.3269;2,325.6507;-1,783.6761;1,755.2299;-360.7393;389.1855;No
