Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
6/1/2024;1;-3.753;-1.1487;-1.1487;141.7500;-2,663.4825;2,141.8425;-521.6400;620.7129;-79.2465;-19.8264;No
6/1/2024;2;-4.270;-1.0221;-1.0221;136.7400;-2,760.7806;2,180.7295;-580.0511;544.7235;-70.5126;105.8402;No
6/1/2024;3;-4.084;-1.1830;-1.1830;133.0050;-2,478.6812;1,936.1538;-542.5274;621.0336;-81.6128;3.1066;No
6/1/2024;4;-4.018;-1.1206;-1.1206;133.0050;-2,573.9128;2,039.8977;-534.0151;580.2104;-77.3080;31.1126;No
6/1/2024;5;-5.582;-1.3959;-1.3959;207.4500;-3,748.6215;2,593.7474;-1,154.8742;714.3637;-80.7961;521.3065;No
6/1/2024;6;-0.598;-0.5354;-0.5354;132.5850;-1,914.2622;1,838.4236;-75.8386;269.6416;-30.9895;-162.8135;No
6/1/2024;7;-2.927;-1.2275;-1.2275;132.5850;-2,201.0436;1,812.8347;-388.2089;615.7927;-71.0489;-156.5349;No
6/1/2024;8;-1.432;-0.8339;-0.8339;132.5850;-10,015.7361;9,827.0676;-188.6685;464.5508;-48.2670;-227.6154;No
6/1/2024;9;-5.475;-1.3749;-1.3749;132.0000;-2,285.9760;1,565.9160;-720.0600;680.3280;-73.1639;112.8959;No
6/1/2024;10;-3.340;-1.2561;-1.2561;132.0000;-2,066.0640;1,625.8440;-440.2200;615.5874;-66.8421;-108.5253;No
6/1/2024;11;-2.611;-1.0489;-1.0489;128.0000;-2,080.6400;1,747.2000;-333.4400;515.0418;-55.8162;-125.7856;No
6/1/2024;12;-0.545;-0.6893;-0.6893;126.9000;-1,702.7442;1,631.5533;-71.1909;334.3259;-36.6804;-226.4546;No
6/1/2024;13;0.637;-0.4234;-0.4234;-5.0000;-82.3950;79.1000;-3.2950;205.5206;-22.0888;-180.1368;No
6/1/2024;14;0.365;-0.2524;-0.2524;-2.4000;-35.7432;34.8384;-0.9048;122.0340;-13.1677;-107.9615;No
6/1/2024;15;1.364;-0.1935;-0.1935;-2.4000;-37.9296;34.5816;-3.3480;93.5490;-10.0949;-80.1061;No
6/1/2024;16;1.405;-0.3301;-0.3301;-2.4000;-36.2904;32.9952;-3.2952;159.7253;-17.2213;-139.2088;No
6/1/2024;17;-3.046;-1.0182;-1.0182;126.9000;-2,819.2104;2,427.0894;-392.1210;499.4208;-52.8884;-54.4114;No
6/1/2024;18;-4.747;-1.3420;-1.3420;126.9000;-2,718.9594;2,115.6768;-603.2826;660.0498;-69.7075;12.9403;No
6/1/2024;19;-0.630;-0.5705;-0.5705;126.9000;-2,296.3824;2,218.8465;-77.5359;276.5187;-29.6335;-169.3493;No
6/1/2024;20;0.795;-0.2683;-0.2683;-2.4000;-41.0208;39.1320;-1.8888;128.7366;-13.9363;-112.9115;No
6/1/2024;21;-1.162;-0.6069;-0.6069;126.9000;-3,157.6527;3,011.0832;-146.5695;287.9358;-33.7679;-107.5984;No
6/1/2024;22;-2.474;-0.7912;-0.7912;126.9000;-5,169.2715;4,855.0671;-314.2044;396.1932;-44.0224;-37.9664;No
6/1/2024;23;0.226;-0.4387;-0.4387;-5.0000;-96.2900;95.2850;-1.0050;210.3481;-24.4093;-184.9338;No
6/1/2024;24;2.404;-0.1289;-0.1289;-5.0000;-106.0650;94.4150;-11.6500;60.6552;-7.1720;-41.8332;No
6/1/2024;25;3.094;-0.2840;-0.2840;-5.0000;-100.1900;84.6050;-15.5850;133.2994;-18.4262;-99.2882;No
6/1/2024;26;5.887;-0.0360;-0.0360;-5.0000;-73.3600;44.1350;-29.2250;17.3736;-2.3357;14.1871;No
6/1/2024;27;5.956;-0.0307;-0.0307;-5.0000;-98.6900;69.3150;-29.3750;15.1136;-1.9918;16.2532;No
6/1/2024;28;9.900;-0.0507;-0.0507;-5.0000;-115.9150;67.3750;-48.5400;25.2586;-3.2895;26.5709;No
6/1/2024;29;12.560;-0.0624;-0.0624;-2.4000;-50.8968;20.7504;-30.1464;31.6176;-5.5289;4.0577;No
6/1/2024;30;13.025;-0.0609;-0.0609;-2.4000;-49.0608;17.9520;-31.1088;31.6756;-5.3960;4.8292;No
6/1/2024;31;11.592;-0.0599;-0.0599;-2.4000;-54.7440;27.0552;-27.6888;31.8146;-5.3074;1.1816;No
6/1/2024;32;11.774;-0.0514;-0.0514;-2.4000;-156.3456;128.3976;-27.9480;30.0412;-4.5542;2.4610;No
6/1/2024;33;11.274;-0.0568;-0.0568;-2.4000;-66.7488;39.9648;-26.7840;31.5124;-6.4008;1.6724;No
6/1/2024;34;10.238;-0.0648;-0.0648;-2.4000;-64.6056;40.4448;-24.1608;36.9986;-7.3024;-5.5354;No
6/1/2024;35;6.465;-0.0678;-0.0678;-2.4000;-70.1088;55.4064;-14.7024;39.8672;-7.6404;-17.5244;No
6/1/2024;36;8.059;-0.0870;-0.0870;-2.4000;-75.5808;57.4920;-18.0888;51.5971;-9.8041;-23.7042;No
6/1/2024;37;9.078;-0.0669;-0.0669;-2.4000;-66.2976;45.9216;-20.3760;39.9978;-8.7378;-10.8840;No
6/1/2024;38;10.629;-0.0834;-0.0834;-2.4000;-67.8312;43.3896;-24.4416;50.5818;-10.8929;-15.2473;No
6/1/2024;39;4.193;-0.1477;-0.1477;-2.4000;-61.1976;52.2624;-8.9352;90.9763;-19.2911;-62.7500;No
6/1/2024;40;3.430;-0.3059;-0.3059;-2.4000;-67.7040;60.5160;-7.1880;190.8084;-39.9536;-143.6668;No
6/1/2024;41;-7.833;-1.5444;-1.5444;132.0000;-3,230.3040;2,094.8400;-1,135.4640;960.5160;-212.9944;387.9424;No
6/1/2024;42;-3.232;-1.0917;-1.0917;126.9000;-3,625.6599;3,168.8199;-456.8400;685.3392;-150.5607;-77.9385;No
6/1/2024;43;-10.071;-2.0066;-2.0066;126.9000;-4,255.8453;2,912.7357;-1,343.1096;1,286.8221;-276.7382;333.0257;No
6/1/2024;44;1.637;-0.9597;-0.9597;-5.0000;-174.7600;170.1400;-4.6200;613.7900;-132.3561;-476.8139;No
6/1/2024;45;3.576;-0.3378;-0.3378;-5.0000;-224.6000;209.2700;-15.3300;244.5190;-50.0363;-179.1527;No
6/1/2024;46;4.313;-0.1235;-0.1235;-2.4000;-100.2048;90.9672;-9.2376;90.6028;-18.2933;-63.0719;No
6/1/2024;47;2.377;-0.2517;-0.2517;-5.0000;-180.3300;171.5950;-8.7350;186.9255;-37.2828;-140.9077;No
6/1/2024;48;3.011;-0.0986;-0.0986;-2.4000;-89.2128;83.6232;-5.5896;73.2951;-14.6050;-53.1005;No
6/1/2024;49;20.235;-0.1524;-0.1524;-5.0000;-191.0700;93.7000;-97.3700;112.0870;-21.8145;7.0975;No
6/1/2024;50;31.432;-0.2221;-0.2221;-5.0000;-238.9700;85.7150;-153.2550;160.3568;-31.7914;24.6896;No
6/1/2024;51;16.747;-0.1315;-0.1315;-5.0000;-221.2150;140.4100;-80.8050;96.6831;-18.8229;2.9448;No
