Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);System imbalance price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
11/1/2024;1;-9.588;-2.2273;-2.2273;159.4343;174.4200;-4,883.0623;3,213.8629;-1,669.1994;1,279.2141;-178.6606;568.6459;No
11/1/2024;2;-1.505;-0.8433;-0.8433;156.2133;174.4200;-3,138.5135;2,878.8021;-259.7114;475.7687;-67.6445;-148.4129;No
11/1/2024;3;4.133;-0.1772;-0.1772;-0.9111;-0.9111;-16.5702;12.7773;-3.7929;99.0142;-14.2139;-81.0074;No
11/1/2024;4;11.887;-0.0954;-0.0954;-0.9782;-0.9782;-25.0214;13.3749;-11.6464;52.2205;-7.6524;-32.9216;No
11/1/2024;5;-2.398;-0.9105;-0.9105;156.0302;174.1800;-4,031.2219;3,617.5444;-413.6775;496.1806;-64.7657;-17.7374;No
11/1/2024;6;-3.803;-1.3327;-1.3327;156.0000;174.1800;-3,313.2520;2,651.5421;-661.7098;720.6027;-94.7976;35.9047;No
11/1/2024;7;0.267;-0.5815;-0.5815;-0.9000;-0.9000;-15.2055;14.9409;-0.2646;311.4414;-41.3633;-269.8135;No
11/1/2024;8;1.334;-0.3749;-0.3749;-2.1262;-2.1262;-48.0202;45.1328;-2.8874;198.8720;-26.6674;-169.3172;No
11/1/2024;9;1.516;-0.1657;-0.1657;-1.8716;-1.8716;-27.1794;24.2971;-2.8823;89.8832;-11.3074;-75.6936;No
11/1/2024;10;6.084;-0.0530;-0.0530;-4.6274;-4.6274;-72.0209;43.7937;-28.2271;28.3182;-3.6167;3.5257;No
11/1/2024;11;9.215;-0.0737;-0.0737;-4.1426;-4.1426;-71.9487;33.6876;-38.2611;39.3074;-5.0293;3.9829;No
11/1/2024;12;11.034;-0.0898;-0.0898;-4.2593;-4.2593;-81.3015;34.2448;-47.0567;47.3112;-6.1280;5.8735;No
11/1/2024;13;18.151;-0.1523;-0.1523;-4.2459;-4.2459;-116.7538;39.5803;-77.1735;79.3517;-10.4654;8.2872;No
11/1/2024;14;4.201;-0.1334;-0.1334;-1.1335;-1.1335;-20.2670;15.4859;-4.7811;71.0079;-9.1667;-57.0601;No
11/1/2024;15;8.359;-0.0437;-0.0437;-1.7927;-1.7927;-34.1975;19.1926;-15.0049;23.0927;-3.0029;-5.0849;No
11/1/2024;16;10.075;-0.0288;-0.0288;-1.4335;-1.4335;-30.1809;15.6983;-14.4827;15.1680;-1.9790;1.2937;No
11/1/2024;17;12.668;-0.1166;-0.1166;-5.0000;-5.0000;-118.4900;55.1100;-63.3800;61.7067;-8.2481;9.9214;No
11/1/2024;18;3.584;-0.1089;-0.1089;-3.9368;-3.9368;-78.5234;64.2801;-14.2433;58.2202;-7.7034;-36.2735;No
11/1/2024;19;0.943;-0.2483;-0.2483;-0.9000;-0.9000;-15.6114;14.7573;-0.8541;133.1505;-17.5642;-114.7322;No
11/1/2024;20;0.076;-0.4998;-0.4998;-0.9000;-0.9000;-15.6609;15.5673;-0.0936;268.8672;-35.3549;-233.4187;No
11/1/2024;21;1.010;-0.2169;-0.2169;-1.4284;-1.4284;-26.4997;25.0370;-1.4627;117.9759;-16.4332;-100.0800;No
11/1/2024;22;4.075;-0.0830;-0.0830;-0.9000;-0.9000;-17.4150;13.7340;-3.6810;44.9482;-6.2884;-34.9788;No
11/1/2024;23;5.647;-0.0410;-0.0410;-0.9000;-0.9000;-23.5989;18.4878;-5.1111;22.2192;-3.1063;-14.0018;No
11/1/2024;24;13.032;-0.0249;-0.0249;-0.9687;-0.9687;-29.7120;17.0791;-12.6328;13.4247;-1.8865;1.0946;No
11/1/2024;25;14.415;-0.1003;-0.1003;-3.6192;-3.6192;-111.7862;59.5576;-52.2287;55.2568;-9.2566;6.2285;No
11/1/2024;26;15.741;-0.1006;-0.1006;-2.9866;-2.9866;-95.7832;48.6756;-47.1076;55.4515;-9.2843;0.9404;No
11/1/2024;27;10.711;-0.1358;-0.1358;-3.0502;-3.0502;-88.7425;56.0169;-32.7256;76.3947;-12.5328;-31.1363;No
11/1/2024;28;11.462;-0.1017;-0.1017;-5.0000;-5.0000;-148.9200;91.5150;-57.4050;57.3651;-9.3858;9.4257;No
11/1/2024;29;-0.202;-0.7913;-0.7913;129.3307;155.9250;-3,439.0818;3,408.0527;-31.0291;462.9655;-91.3912;-340.5452;No
11/1/2024;30;-1.024;-0.8095;-0.8095;128.2027;155.9250;-3,234.6641;3,075.1529;-159.5113;478.4638;-93.4932;-225.4593;No
11/1/2024;31;-0.270;-0.4625;-0.4625;128.6837;155.9250;-2,984.8723;2,941.0574;-43.8149;273.1206;-53.4164;-175.8892;No
11/1/2024;32;9.415;-0.0992;-0.0992;-4.3804;-4.3804;-125.7919;84.5417;-41.2502;58.2909;-11.4571;-5.5836;No
11/1/2024;33;-5.853;-1.2295;-1.2295;119.7712;141.0600;-4,774.3168;3,947.1409;-827.1758;741.7001;-172.1484;257.6242;No
11/1/2024;34;3.395;-0.3635;-0.3635;-3.5422;-3.5422;-101.2644;89.3520;-11.9124;219.1436;-50.8955;-156.3357;No
11/1/2024;35;5.900;-0.1689;-0.1689;-4.2893;-4.2893;-121.1470;96.1061;-25.0409;103.2260;-23.6485;-54.5365;No
11/1/2024;36;13.883;-0.1058;-0.1058;-5.0000;-5.0000;-191.9650;122.7850;-69.1800;64.4051;-14.8136;19.5885;No
