Dátum;Zúčtovacia perióda;Veľkosť odchýlky sústavy (MWh);Zúčtovacia cena PNRE (EUR/MWh);Cena za PRE (EUR/MWh);Cena odchýlky sústavy (EUR/MWh);Zúčtovacia cena odchýlky (EUR/MWh);Platba SZ za odchýlku (EUR);Platba OKTE za odchýlku (EUR);Platba za odchýlku sústavy (EUR);Celkové náklady na RE (EUR);Platba za PRE (EUR);Saldo výnosov a nákladov za odchýlky a RE (EUR);Zúčtovanie v zvláštnom režime
1.6.2025;1;-9,947;-2,4119;-2,4119;253,0197;253,0197;-6445,1708;3934,4563;-2510,7145;1190,9581;-168,8113;1488,5677;Nie
1.6.2025;2;-2,509;-1,7926;-1,7926;110,4576;142,0800;-2536,9805;2184,6221;-352,3584;858,5754;-125,4659;-380,7511;Nie
1.6.2025;3;1,179;-0,0220;-0,0220;61,8391;61,8391;-1053,3054;1127,4505;74,1451;10,2766;-1,5398;-82,8819;Nie
1.6.2025;4;0,019;-0,7118;-0,7118;23,6416;23,6416;-417,2270;417,9362;0,7092;331,7338;-49,8196;-282,6235;Nie
1.6.2025;5;-4,845;-0,2297;-0,2297;26,0805;127,8150;-2571,1265;1953,3966;-617,7299;105,7627;-13,6116;525,5788;Nie
1.6.2025;6;-0,631;-0,0258;-0,0258;2,0375;127,8150;-2443,1837;2362,0212;-81,1625;11,7784;-1,5289;70,9130;Nie
1.6.2025;7;0,111;-0,3055;-0,3055;-8,5091;-8,5091;-146,1438;145,0206;-1,1232;136,9667;-18,1033;-117,7402;Nie
1.6.2025;8;-0,008;-0,0637;-0,0637;27,6798;127,8150;-2732,3013;2733,3238;1,0225;28,4955;-3,7747;-25,7433;Nie
1.6.2025;9;4,837;0,3759;0,3759;42,9027;42,9027;-384,5798;591,9286;207,3487;-167,4188;20,6907;-60,6206;Nie
1.6.2025;10;3,416;0,1105;0,1105;29,8163;29,8163;-284,5370;387,2541;102,7172;-49,1283;6,0823;-59,6711;Nie
1.6.2025;11;5,101;0,0273;0,0273;11,7471;11,7471;-131,2386;191,2898;60,0512;-12,1205;1,5027;-49,4333;Nie
1.6.2025;12;8,461;-0,1372;-0,1372;-10,0326;-10,0326;-187,8103;102,9345;-84,8758;60,6058;-7,5519;31,8219;Nie
1.6.2025;13;11,103;0,3714;0,3714;15,5210;15,5210;-178,5225;351,1005;172,5780;-160,5181;19,7856;-31,8455;Nie
1.6.2025;14;3,798;0,0050;0,0050;2,4070;2,4070;-35,2216;44,4188;9,1971;-2,1932;0,2664;-7,2703;Nie
1.6.2025;15;2,637;0,0661;0,0661;24,8167;24,8167;-343,7361;409,7237;65,9876;-29,1090;3,5213;-40,4000;Nie
1.6.2025;16;6,484;0,2364;0,2364;18,7599;18,7599;-206,1150;327,7917;121,6767;-103,4142;12,5937;-30,8562;Nie
1.6.2025;17;6,780;0,4156;0,4156;27,9288;27,9288;-352,4894;542,1539;189,6645;-180,7685;21,9474;-30,8434;Nie
1.6.2025;18;6,366;0,3224;0,3224;29,3762;29,3762;-359,9466;547,8074;187,8608;-140,7191;17,0256;-64,1673;Nie
1.6.2025;19;5,708;0,0713;0,0713;7,6329;7,6329;-89,1446;132,7972;43,6526;-31,3181;3,7653;-16,0997;Nie
1.6.2025;20;8,662;-0,1533;-0,1533;-8,8874;-8,8874;-182,6005;105,4757;-77,1249;67,4894;-8,0956;17,7311;Nie
1.6.2025;21;-0,589;-0,0327;-0,0327;6,4466;96,2700;-1835,8689;1778,2994;-57,5695;14,1590;-1,8223;45,2328;Nie
1.6.2025;22;6,848;-0,0430;-0,0430;-7,4630;-7,4630;-157,4245;106,4224;-51,0021;18,5579;-2,3963;34,8405;Nie
1.6.2025;23;3,078;-0,0722;-0,0722;-4,9069;-4,9069;-97,0977;82,1170;-14,9808;31,3432;-4,0236;-12,3389;Nie
1.6.2025;24;3,002;-0,0531;-0,0531;-1,1947;-1,1947;-27,8867;24,3241;-3,5626;23,1680;-2,9592;-16,6462;Nie
1.6.2025;25;-0,488;-0,0632;-0,0632;32,7503;58,1676;-1352,2804;1321,0444;-31,2360;28,3512;-4,1120;6,9968;Nie
1.6.2025;26;4,715;0,1999;0,1999;33,0319;33,0319;-524,2163;677,7155;153,4992;-90,9532;13,0063;-75,5523;Nie
1.6.2025;27;0,893;-0,0252;-0,0252;47,0882;35,1300;-620,7120;650,7130;30,0010;11,8081;-1,6396;-40,1695;Nie
1.6.2025;28;10,160;0,0858;0,0858;5,2683;5,2683;-83,1390;136,3910;53,2520;-40,5997;5,5825;-18,2348;Nie
1.6.2025;29;-1,710;1,9474;1,9474;0,0000;32,1040;-782,5029;723,6563;-58,8466;-948,9043;172,8746;834,8763;Nie
1.6.2025;30;9,063;-0,1085;-0,1085;-16,0651;-16,0651;-332,8528;191,2550;-141,5978;53,4574;-9,6318;97,7722;Nie
1.6.2025;31;7,778;-0,1801;-0,1801;-17,6376;-17,6376;-344,1625;212,1980;-131,9645;90,9738;-15,9878;56,9786;Nie
1.6.2025;32;9,520;-0,0583;-0,0583;3,1302;3,1302;-54,3058;83,1162;28,8104;30,1271;-5,1754;-53,7621;Nie
1.6.2025;33;-6,290;-0,2833;-0,2833;19,4680;22,2683;-690,8517;541,6541;-149,1976;156,7926;-33,1688;25,5738;Nie
1.6.2025;34;7,621;0,1673;0,1673;18,9121;2,4000;-52,0992;69,4032;17,3040;-94,6822;19,5875;57,7907;Nie
1.6.2025;35;2,897;0,0302;0,0302;33,6292;2,4000;-45,2880;51,1464;5,8584;-17,8131;3,5358;8,4189;Nie
1.6.2025;36;6,451;0,4311;0,4311;44,6241;2,4000;-65,7336;80,1312;14,3976;-257,7984;50,4732;192,9276;Nie
1.6.2025;37;4,566;0,5867;0,5867;81,8800;-0,0150;-0,4463;0,3863;-0,0600;-401,5434;83,4405;318,1629;Nie
1.6.2025;38;10,963;0,3647;0,3647;25,8901;-0,0150;-0,4401;0,2843;-0,1559;-251,6980;51,8676;199,9862;Nie
1.6.2025;39;4,981;0,1532;0,1532;32,0635;-0,0150;-0,3536;0,2878;-0,0658;-108,8508;21,7881;87,1285;Nie
1.6.2025;40;10,270;0,3420;0,3420;27,8022;-0,0150;-0,4001;0,2542;-0,1459;-244,3482;48,6392;195,8548;Nie
1.6.2025;41;4,995;0,0756;0,0756;18,6417;-0,9000;-25,3008;21,3993;-3,9015;-55,1327;11,6063;47,4279;Nie
1.6.2025;42;4,274;0,8937;0,8937;208,7519;-0,9000;-26,6418;23,3658;-3,2760;-658,3786;137,2026;524,4520;Nie
1.6.2025;43;-2,204;-1,4920;-1,4920;380,5539;380,5539;-9131,0103;8037,2984;-1093,7119;1127,2048;-229,0548;195,5619;Nie
1.6.2025;44;1,469;-0,1661;-0,1661;159,5403;-0,9000;-19,2420;18,4554;-0,7866;126,4361;-25,5000;-100,1495;Nie
1.6.2025;45;-10,171;-0,6625;-0,6625;47,8672;47,8672;-1288,7765;764,7264;-524,0501;510,7576;-104,1159;117,4084;Nie
1.6.2025;46;-15,565;-1,3377;-1,3377;63,5599;63,5599;-2242,9653;1209,7356;-1033,2297;1024,7644;-210,2276;218,6929;Nie
1.6.2025;47;-13,708;-2,6925;-2,6925;147,8837;147,8837;-5166,4649;3034,8693;-2131,5957;2055,7173;-423,1425;499,0209;Nie
1.6.2025;48;-9,989;-1,4993;-1,4993;109,7853;109,7853;-3368,5424;2200,6463;-1167,8960;1132,6251;-235,6240;270,8949;Nie
1.6.2025;49;-16,326;-0,3573;-0,3573;14,6650;14,6650;-464,4552;213,2878;-251,1675;266,5088;-50,8456;35,5042;Nie
1.6.2025;50;-15,074;-1,4903;-1,4903;76,6960;76,6960;-2666,7199;1457,6075;-1209,1124;1103,0297;-212,0771;318,1599;Nie
1.6.2025;51;-18,280;-1,8232;-1,8232;94,8250;94,8250;-3730,8896;1924,6630;-1806,2266;1349,4725;-259,4505;716,2046;Nie
1.6.2025;52;-22,924;-0,7312;-0,7312;22,5673;22,5673;-1013,5877;486,0996;-527,4881;538,0946;-104,0534;93,4469;Nie
1.6.2025;53;-26,398;-1,4331;-1,4331;38,8148;38,8148;-2022,6392;988,1860;-1034,4532;1048,0091;-180,4058;166,8499;Nie
1.6.2025;54;-20,349;-0,3748;-0,3748;13,4136;13,4136;-679,2647;401,8312;-277,4335;269,8847;-47,1817;54,7305;Nie
1.6.2025;55;-16,368;-0,0810;-0,0810;3,1358;3,1358;-150,7316;98,9063;-51,8254;57,7525;-10,1967;4,2696;Nie
1.6.2025;56;-17,403;0,0197;0,0197;0,0000;0,0000;0,0000;0,0000;0,0000;-14,1626;2,4799;11,6827;Nie
1.6.2025;57;-13,727;-0,0067;-0,0067;0,0000;0,0000;0,0000;0,0000;0,0000;4,7651;-0,7604;-4,0047;Nie
1.6.2025;58;-14,018;-0,2873;-0,2873;13,8644;13,8644;-651,7932;457,6638;-194,1293;202,4323;-32,6045;24,3016;Nie
1.6.2025;59;-6,711;-0,1632;-0,1632;17,1651;17,1651;-707,4424;591,3377;-116,1047;113,6772;-18,5209;20,9485;Nie
1.6.2025;60;1,621;-0,0743;-0,0743;-13,4306;-30,6150;-1168,9419;1125,0706;-43,8713;50,9673;-8,4320;1,3360;Nie
1.6.2025;61;11,110;0,2596;0,2596;58,6497;-23,4150;-1033,8425;783,9810;-249,8615;-179,3674;27,0960;402,1329;Nie
1.6.2025;62;-2,400;-0,8689;-0,8689;49,8319;49,8319;-2003,7407;1873,6296;-130,1111;606,6976;-90,6923;-385,8942;Nie
1.6.2025;63;-5,556;-0,6115;-0,6115;90,9749;90,9749;-3953,4053;3433,6657;-519,7396;422,5082;-63,8259;161,0573;Nie
1.6.2025;64;-4,734;-0,7160;-0,7160;100,2581;100,2581;-4387,5952;3887,4076;-500,1877;495,9017;-74,7332;79,0192;Nie
1.6.2025;65;5,935;0,0937;0,0937;13,2565;-9,0000;-346,3920;297,4860;-48,9060;-64,4684;9,6669;103,7075;Nie
1.6.2025;66;-1,090;-0,3458;-0,3458;122,9543;122,9543;-4682,8375;4523,4887;-159,3488;239,6473;-35,6758;-44,6227;Nie
1.6.2025;67;-6,450;-1,1010;-1,1010;133,4341;133,4341;-4989,1010;4107,5019;-881,5991;760,9867;-113,5891;234,2015;Nie
1.6.2025;68;-18,129;-3,8332;-3,8332;176,9994;176,9994;-8725,7164;5498,6634;-3227,0531;2623,2144;-395,4674;999,3061;Nie
1.6.2025;69;0,553;-1,4393;-1,4393;15,1341;5,5500;-234,3155;236,8463;2,5308;847,7270;-151,6130;-698,6448;Nie
1.6.2025;70;5,096;0,0329;0,0329;11,4432;5,5500;-174,6807;202,7915;28,1108;-18,7795;3,4656;-12,7969;Nie
1.6.2025;71;-8,501;-0,9432;-0,9432;67,9396;67,9396;-2413,6222;1835,3883;-578,2339;547,1509;-99,3548;130,4378;Nie
1.6.2025;72;-5,073;-0,7498;-0,7498;119,6280;119,6280;-4276,7010;3667,0767;-609,6243;426,7245;-78,9824;261,8822;Nie
1.6.2025;73;-0,613;-0,3480;-0,3480;63,6202;103,2850;-3273,7214;3209,7879;-63,9334;199,5906;-37,6278;-98,0293;Nie
1.6.2025;74;1,699;0,0650;0,0650;23,0022;23,0022;-564,5890;603,3477;38,7587;-37,3676;7,0282;-8,4193;Nie
1.6.2025;75;-4,317;-0,6028;-0,6028;105,3354;133,8575;-4047,5831;3469,4525;-578,1305;351,9871;-65,1784;291,3218;Nie
1.6.2025;76;-10,217;-1,5824;-1,5824;149,4618;149,4618;-5494,6642;3969,7054;-1524,9587;922,4061;-171,0986;773,6512;Nie
