Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
3/1/2024;1;-7.560;-1.6530;-1.6530;132.0000;-2,752.3320;1,807.4760;-944.8560;945.1766;-149.7816;149.4610;No
3/1/2024;2;-0.725;-0.6618;-0.6618;132.0000;-2,056.9560;2,013.0000;-43.9560;370.7899;-59.9670;-266.8669;No
3/1/2024;3;-2.140;-1.1661;-1.1661;132.0000;-2,357.1240;2,126.2560;-230.8680;650.0944;-105.6627;-313.5637;No
3/1/2024;4;2.641;-0.4268;-0.4268;-5.0000;-127.9400;112.8400;-15.1000;230.7585;-38.6732;-176.9853;No
3/1/2024;5;-9.044;-1.9609;-1.9609;132.0000;-3,596.4720;2,452.0320;-1,144.4400;1,162.6897;-160.9173;142.6676;No
3/1/2024;6;-1.808;-0.6512;-0.6512;127.9900;-2,715.9478;2,531.8982;-184.0496;383.8312;-53.4394;-146.3422;No
3/1/2024;7;-4.198;-1.1379;-1.1379;132.0000;-3,116.7840;2,609.6400;-507.1440;664.9232;-93.3795;-64.3997;No
3/1/2024;8;2.457;-0.1959;-0.1959;-5.0000;-132.2700;118.1500;-14.1200;113.0638;-16.0761;-82.8677;No
3/1/2024;9;-1.382;-0.5905;-0.5905;132.0000;-2,193.8400;2,058.5400;-135.3000;366.3087;-47.2010;-183.8077;No
3/1/2024;10;0.467;-0.2749;-0.2749;-5.0000;-73.0450;69.0150;-4.0300;168.1693;-21.9739;-142.1654;No
3/1/2024;11;1.572;-0.1733;-0.1733;-5.0000;-80.9100;71.2700;-9.6400;105.5803;-13.8526;-82.0877;No
3/1/2024;12;2.616;-0.0287;-0.0287;-5.0000;-101.2200;86.3650;-14.8550;17.3705;-2.2941;-0.2214;No
3/1/2024;13;-6.072;-1.1741;-1.1741;132.0000;-3,245.0880;2,488.5960;-756.4920;717.0293;-91.7571;131.2198;No
3/1/2024;14;-6.303;-1.5008;-1.5008;132.0000;-3,115.5960;2,329.2720;-786.3240;916.9711;-117.2890;-13.3581;No
3/1/2024;15;-11.839;-2.4896;-2.4896;132.0000;-3,718.8360;2,203.7400;-1,515.0960;1,536.6480;-194.5647;173.0127;No
3/1/2024;16;-5.909;-1.4190;-1.4190;132.0000;-3,040.0920;2,304.7200;-735.3720;870.8282;-110.8963;-24.5599;No
3/1/2024;17;-6.519;-1.6941;-1.6941;132.0000;-3,365.2080;2,554.8600;-810.3480;1,014.7020;-139.0433;-65.3107;No
3/1/2024;18;-0.498;-0.4034;-0.4034;132.0000;-2,683.9560;2,665.3440;-18.6120;240.3270;-33.1091;-188.6059;No
3/1/2024;19;-4.712;-0.9717;-0.9717;132.0000;-2,369.0040;1,795.0680;-573.9360;587.1564;-79.7523;66.5319;No
3/1/2024;20;-7.946;-1.7791;-1.7791;132.0000;-3,267.1320;2,265.2520;-1,001.8800;1,088.0133;-146.0196;59.8863;No
3/1/2024;21;-2.878;-0.9002;-0.9002;127.9900;-3,569.5131;3,250.8180;-318.6951;526.4089;-83.6349;-124.0789;No
3/1/2024;22;-2.824;-0.8012;-0.8012;132.0000;-2,650.9560;2,329.1400;-321.8160;472.9560;-74.4371;-76.7029;No
3/1/2024;23;-5.841;-1.3920;-1.3920;132.0000;-2,644.0920;1,927.7280;-716.3640;842.8167;-129.3265;2.8738;No
3/1/2024;24;-3.281;-1.2319;-1.2319;136.5300;-3,704.8781;3,313.5831;-391.2950;762.6248;-114.4521;-256.8777;No
