Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);System imbalance price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
8/1/2024;1;0.266;-0.4988;-0.4988;-1.1390;-1.1390;-26.2972;25.8838;-0.4135;268.1544;-32.8974;-234.8436;No
8/1/2024;2;0.669;-0.3724;-0.3724;-1.1578;-1.1578;-14.1553;13.3819;-0.7734;195.1258;-24.5609;-169.7915;No
8/1/2024;3;5.592;-0.0921;-0.0921;-2.5044;-2.5044;-35.9632;21.9135;-14.0497;47.2216;-6.0743;-27.0976;No
8/1/2024;4;-5.312;-1.5217;-1.5217;129.2800;178.8750;-3,664.7910;2,713.7126;-951.0784;776.2101;-100.3607;275.2290;No
8/1/2024;5;-4.673;-1.3308;-1.3308;129.1249;188.9700;-2,972.3091;2,094.7325;-877.5767;667.1666;-75.3353;285.7453;No
8/1/2024;6;-1.646;-0.4967;-0.4967;128.0000;158.9250;-1,762.1604;1,501.3645;-260.7959;246.2129;-28.1177;42.7007;No
8/1/2024;7;-0.699;-0.4418;-0.4418;128.0000;134.2350;-1,673.3735;1,583.7045;-89.6690;216.1067;-25.0099;-101.4279;No
8/1/2024;8;0.862;-0.2544;-0.2544;-2.0280;-2.0280;-31.5861;29.8522;-1.7339;123.4274;-14.4013;-107.2921;No
8/1/2024;9;-4.130;-1.1609;-1.1609;128.0000;146.1000;-1,880.8914;1,279.9821;-600.9093;566.5983;-61.1121;95.4231;No
8/1/2024;10;-0.877;-0.4846;-0.4846;128.0000;142.3800;-1,498.2647;1,376.9570;-121.3078;234.3258;-25.5103;-87.5077;No
8/1/2024;11;0.484;-0.2229;-0.2229;-1.2449;-1.2449;-11.7394;11.1344;-0.6050;106.6906;-11.7339;-94.3517;No
8/1/2024;12;3.548;-0.0996;-0.0996;-3.0742;-3.0742;-36.3739;25.4575;-10.9165;47.5702;-5.2431;-31.4106;No
8/1/2024;13;-4.486;-1.1862;-1.1862;131.9467;137.9400;-1,867.0179;1,250.4261;-616.5918;597.9415;-59.8201;78.4704;No
8/1/2024;14;-0.588;-0.5160;-0.5160;132.0000;133.3950;-1,209.0923;1,129.9890;-79.1032;259.6268;-26.0219;-154.5017;No
8/1/2024;15;0.747;-0.2512;-0.2512;-2.9560;-2.9560;-28.4781;26.2286;-2.2495;125.9256;-12.6680;-111.0081;No
8/1/2024;16;-0.683;-0.5395;-0.5395;132.0000;132.0000;-1,621.8840;1,533.4440;-88.4400;268.7779;-27.2070;-153.1309;No
8/1/2024;17;-1.741;-0.8748;-0.8748;132.0000;132.0000;-1,549.4160;1,320.7920;-228.6240;422.3630;-46.4213;-147.3177;No
8/1/2024;18;-2.824;-1.0786;-1.0786;132.0000;132.0000;-1,652.1120;1,280.9280;-371.1840;522.7398;-57.2359;-94.3199;No
8/1/2024;19;-4.723;-1.2759;-1.2759;132.0000;142.6200;-2,080.5406;1,408.8004;-671.7402;626.1023;-67.7056;113.3435;No
8/1/2024;20;-0.252;-0.5585;-0.5585;132.0000;148.9200;-2,106.3245;2,073.8599;-32.4646;272.4295;-29.6368;-210.3281;No
8/1/2024;21;-2.955;-1.0081;-1.0081;135.4435;145.1700;-2,107.1426;1,680.0524;-427.0901;498.2050;-58.5565;-12.5584;No
8/1/2024;22;-2.085;-0.8338;-0.8338;135.4900;145.1700;-1,839.5942;1,532.8500;-306.7442;416.7317;-48.4321;-61.5554;No
8/1/2024;23;-2.239;-0.7289;-0.7289;135.4900;171.2250;-1,819.4369;1,438.2900;-381.1469;369.0468;-42.3389;54.4389;No
8/1/2024;24;-4.538;-1.6093;-1.6093;135.4900;209.8500;-3,793.6683;2,838.6410;-955.0274;822.0112;-93.4778;226.4939;No
8/1/2024;25;0.070;-2.4336;-2.4336;-4.0293;-4.0293;-105.4871;105.3622;-0.1249;1,313.7029;-158.3300;-1,155.2480;No
8/1/2024;26;-0.052;-0.8253;-0.8253;168.0000;186.4350;-2,290.7268;2,269.8461;-20.8807;461.1813;-53.6940;-386.6066;No
8/1/2024;27;-1.031;-0.8808;-0.8808;168.0000;180.0000;-1,870.3800;1,671.3000;-199.0800;501.2728;-57.3048;-244.8880;No
8/1/2024;28;3.506;-0.4690;-0.4690;-3.7680;-3.7680;-61.4561;48.4301;-13.0260;269.7357;-30.5131;-226.1966;No
8/1/2024;29;-0.720;-1.1930;-1.1930;159.4555;226.4550;-3,559.4197;3,373.0472;-186.3725;710.0805;-92.1640;-431.5440;No
8/1/2024;30;3.096;-0.4607;-0.4607;-5.0000;-5.0000;-72.2000;57.8400;-14.3600;278.6624;-35.5909;-228.7115;No
8/1/2024;31;0.631;-0.5681;-0.5681;-5.0000;-5.0000;-58.0600;56.6200;-1.4400;348.3829;-43.8880;-303.0549;No
8/1/2024;32;4.160;-0.0739;-0.0739;-5.0000;-5.0000;-103.5700;84.2350;-19.3350;45.5561;-5.7091;-20.5120;No
8/1/2024;33;-1.866;-0.6648;-0.6648;148.4768;213.3300;-4,142.6553;3,699.9955;-442.6598;421.9281;-59.3613;80.0930;No
8/1/2024;34;-0.501;-0.5055;-0.5055;148.3300;169.4700;-2,466.6359;2,328.0094;-138.6265;325.5500;-45.1371;-141.7864;No
8/1/2024;35;-2.606;-0.8418;-0.8418;148.3300;158.9250;-2,882.1049;2,396.9069;-485.1980;549.7507;-75.1660;10.6133;No
8/1/2024;36;0.865;-0.5093;-0.5093;-3.4903;-3.4903;-75.8582;74.4795;-1.3787;332.8821;-45.4764;-286.0270;No
8/1/2024;37;-14.266;-2.7834;-2.7834;132.2177;167.7750;-4,903.3922;2,423.8454;-2,479.5467;1,847.8994;-270.5771;902.2244;No
8/1/2024;38;-5.051;-1.1181;-1.1181;132.0000;158.3550;-4,638.3763;3,754.7554;-883.6209;748.1079;-108.6916;244.2046;No
8/1/2024;39;-3.679;-0.9904;-0.9904;132.0000;158.3550;-4,465.7694;3,788.9601;-676.8093;667.2219;-96.2778;105.8651;No
8/1/2024;40;-3.059;-0.7605;-0.7605;132.0000;158.3550;-4,097.5940;3,542.0846;-555.5093;506.5914;-73.9290;122.8469;No
8/1/2024;41;-6.443;-1.3444;-1.3444;132.0000;161.9850;-5,236.0031;4,100.3263;-1,135.6768;893.7143;-136.8787;378.8413;No
8/1/2024;42;-6.353;-1.2457;-1.2457;132.0000;132.0000;-5,055.2040;4,128.6960;-926.5080;833.6122;-126.8297;219.7255;No
8/1/2024;43;-7.786;-1.6267;-1.6267;132.0000;132.0000;-5,054.4120;3,951.0240;-1,103.3880;1,096.5434;-165.6208;172.4654;No
8/1/2024;44;-7.955;-1.7100;-1.7100;132.0000;132.0000;-6,056.4240;4,943.5320;-1,112.8920;1,165.3674;-174.1019;121.6265;No
8/1/2024;45;-1.876;-0.9239;-0.9239;132.0000;135.6150;-6,623.3010;6,300.5373;-322.7637;641.0702;-97.1102;-221.1963;No
8/1/2024;46;-17.041;-3.0174;-3.0174;132.0000;132.0000;-5,787.9360;3,471.4680;-2,316.4680;2,149.9343;-317.1559;483.6896;No
8/1/2024;47;-13.454;-2.4077;-2.4077;132.0000;132.0000;-6,187.8960;4,334.0880;-1,853.8080;1,718.4387;-253.0709;388.4402;No
8/1/2024;48;-15.448;-2.7951;-2.7951;132.0000;132.0000;-6,681.4440;4,598.4840;-2,082.9600;2,014.8693;-293.7902;361.8809;No
8/1/2024;49;-6.351;-1.1842;-1.1842;132.0000;132.0000;-7,658.7720;6,750.3480;-908.4240;917.8276;-126.5164;117.1128;No
8/1/2024;50;-21.589;-3.5074;-3.5074;132.0000;132.0000;-7,010.6520;4,104.0120;-2,906.6400;2,797.7871;-374.7201;483.5730;No
8/1/2024;51;-25.494;-4.1451;-4.1451;132.0000;132.0000;-8,010.5520;4,579.4760;-3,431.0760;3,324.1188;-442.8500;549.8072;No
