Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);System imbalance price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
7/1/2024;1;2.154;-0.3581;-0.3581;-1.4831;-1.4831;-42.1349;51.2871;9.1522;187.4038;-23.9476;-172.6084;No
7/1/2024;2;9.592;-0.0614;-0.0614;-1.3009;-1.3009;-38.3635;49.7347;11.3712;31.6899;-4.1061;-38.9550;No
7/1/2024;3;17.492;-0.0354;-0.0354;-4.4898;-4.4898;-140.0234;192.9851;52.9617;17.7547;-2.3673;-68.3490;No
7/1/2024;4;10.856;-0.1161;-0.1161;-5.0000;-5.0000;-136.9550;158.2400;21.2850;57.7980;-7.7641;-71.3189;No
7/1/2024;5;-5.636;-1.9915;-1.9915;131.3156;131.3156;-3,579.2693;2,369.0647;-1,210.2046;977.4373;-111.7052;344.4725;No
7/1/2024;6;-4.615;-1.4203;-1.4203;130.0000;130.0000;-3,594.2400;2,853.2400;-741.0000;696.9285;-79.6660;123.7375;No
7/1/2024;7;-3.111;-1.0596;-1.0596;130.1600;130.1600;-3,417.4810;2,826.9450;-590.5359;516.4392;-59.4340;133.5307;No
7/1/2024;8;-0.468;-0.5557;-0.5557;130.0000;130.0000;-4,034.0300;3,694.3400;-339.6900;265.4819;-31.1698;105.3779;No
7/1/2024;9;-4.364;-1.2683;-1.2683;130.0622;130.0622;-3,450.9404;2,754.9775;-695.9628;614.5449;-65.2629;146.6808;No
7/1/2024;10;-1.778;-1.1281;-1.1281;130.0000;130.0000;-3,609.9700;2,787.8500;-822.1200;547.2044;-58.0486;332.9642;No
7/1/2024;11;2.036;-0.3448;-0.3448;-0.9000;-0.9000;-19.7181;23.8284;4.1103;164.7950;-17.7424;-151.1629;No
7/1/2024;12;6.413;-0.0993;-0.0993;-4.4351;-4.4351;-107.4802;118.1910;10.7108;47.0424;-5.1097;-52.6435;No
