date,n_hours,rev_forecast,charge_hours,discharge_hours,avg_charge_price,avg_discharge_price,start_soc_f,end_soc_f,rev_perfect,start_soc_p,end_soc_p,rev_legacy,start_soc_l,end_soc_l,rev_naive,start_soc_n,end_soc_n,capture_forecast,capture_legacy,forecast_vs_legacy,price_range,price_mean,forecast_mae,month
2025-09-17,24,519.7,"[np.int64(2), np.int64(13), np.int64(14)]","[np.int64(6), np.int64(7), np.int64(18), np.int64(19)]",23.866666666666664,147.82500000000002,1,0,545.76,1,0,108.01,1,0,342.69,1,0,0.9522500732922897,0.1979075051304603,411.69000000000005,200.47,81.50916666666666,11.532992920937495,2025-09
2025-09-18,24,592.9300000000001,"[np.int64(2), np.int64(3), np.int64(12), np.int64(13)]","[np.int64(6), np.int64(7), np.int64(19), np.int64(20)]",19.5925,167.825,0,0,598.43,0,0,588.0,0,0,432.84999999999997,0,0,0.9908092842939026,0.9825710609428004,4.930000000000064,271.9,81.55833333333334,17.955636908749998,2025-09
2025-09-19,24,783.96,"[np.int64(2), np.int64(3), np.int64(12), np.int64(13)]","[np.int64(6), np.int64(7), np.int64(18), np.int64(19)]",35.352500000000006,231.3425,0,0,785.35,0,0,692.26,0,0,577.95,0,0,0.9982300884955753,0.881466861908703,91.70000000000005,409.24,96.31,19.93816850666667,2025-09
2025-09-20,24,311.28,"[np.int64(2), np.int64(3), np.int64(13), np.int64(14)]","[np.int64(6), np.int64(7), np.int64(18), np.int64(19)]",35.4975,113.3175,0,0,315.38,0,0,289.85,0,0,116.49000000000001,0,0,0.9869998097533134,0.9190500348785593,21.42999999999995,150.01,61.23374999999999,11.201073452822916,2025-09
2025-09-21,24,264.37,"[np.int64(2), np.int64(3), np.int64(12), np.int64(13)]","[np.int64(6), np.int64(7), np.int64(18), np.int64(19)]",-7.045,59.0475,0,0,282.51,0,0,274.1,0,0,220.27,0,0,0.9357898835439454,0.970231142260451,-9.730000000000018,132.7,28.718333333333334,31.82588660426042,2025-09
2025-09-22,24,444.13,"[np.int64(2), np.int64(3), np.int64(13), np.int64(14)]","[np.int64(7), np.int64(8), np.int64(18), np.int64(19)]",60.862500000000004,171.89499999999998,0,0,471.32,0,0,437.11,0,0,258.8,0,0,0.9423109564627005,0.9274166171603158,7.019999999999982,242.73999999999998,100.43166666666667,10.716959757187501,2025-09
2025-09-23,24,484.93,"[np.int64(2), np.int64(3), np.int64(12), np.int64(14)]","[np.int64(7), np.int64(8), np.int64(18), np.int64(19)]",82.2225,203.45499999999998,0,0,487.90000000000003,0,0,459.5,0,0,325.18,0,0,0.9939126870260299,0.941791350686616,25.430000000000007,227.41000000000003,118.11208333333333,10.405267371979164,2025-09
2025-09-24,24,258.59000000000003,"[np.int64(2), np.int64(3), np.int64(13), np.int64(14)]","[np.int64(7), np.int64(8), np.int64(18), np.int64(19)]",67.3825,132.03,0,0,301.90999999999997,0,0,258.59000000000003,0,0,114.03999999999996,0,0,0.8565135305223412,0.8565135305223412,0.0,113.71000000000001,89.53083333333335,19.975238729479166,2025-09
2025-09-25,24,246.31,"[np.int64(2), np.int64(3), np.int64(13), np.int64(14)]","[np.int64(7), np.int64(8), np.int64(18), np.int64(19)]",66.89,128.4675,0,0,258.03,0,0,194.39,0,0,154.58999999999997,0,0,0.9545789249312097,0.7533620121691277,51.920000000000016,81.00999999999999,96.14166666666667,18.524624892395835,2025-09
2025-09-26,24,164.32,"[np.int64(2), np.int64(3), np.int64(13), np.int64(14)]","[np.int64(7), np.int64(8), np.int64(18), np.int64(19)]",85.1525,126.23250000000002,0,0,167.2,0,0,160.02999999999997,0,0,133.72000000000003,0,0,0.9827751196172249,0.9571172248803826,4.2900000000000205,59.78,101.34166666666665,16.185792024791667,2025-09
