date,n_hours,rank_source,start_soc_enh,end_soc_enh,rev_enhanced,cycles_used,n_charge_enh,n_discharge_enh,deg_cost_enh,rev_enh_net,start_soc_end,end_soc_end,rev_enh_nodeg,deg_cost_end,rev_end_net,start_soc_base,end_soc_base,rev_baseline,start_soc_pf,end_soc_pf,rev_perfect,start_soc_naive,end_soc_naive,rev_naive,capture_enhanced,capture_enh_nodeg,capture_baseline,price_range,price_mean,year,month
2024-01-01,24,Baseline,1,1,0.0,0,0,0,0.0,0.0,1,1,58.92999999999999,200.0,-141.07,1,1,58.92999999999999,1,0,128.64000000000001,1,0,61.849999999999994,0.0,0.4581001243781093,0.4581001243781093,63.03,19.39833333333333,2024,2024-01
2024-01-02,24,Baseline,1,1,119.53999999999999,1,2,2,100.0,19.539999999999992,1,1,128.28,200.0,-71.72,1,1,128.28,0,0,162.27999999999997,0,0,98.00000000000003,0.7366280502834608,0.790485580478186,0.790485580478186,80.02,59.907500000000006,2024,2024-01
2024-01-03,24,Baseline,1,1,0.0,0,0,0,0.0,0.0,1,1,83.94,200.0,-116.06,1,1,83.94,0,0,145.17000000000002,0,0,112.24000000000001,0.0,0.5782186402149203,0.5782186402149203,66.49,54.35375,2024,2024-01
2024-01-04,24,Baseline,1,1,0.0,0,0,0,0.0,0.0,1,1,98.03,200.0,-101.97,1,1,98.03,0,0,186.40000000000003,0,0,157.18999999999994,0.0,0.5259120171673819,0.5259120171673819,92.58,82.69041666666666,2024,2024-01
2024-01-05,24,Baseline,1,1,0.0,0,0,0,0.0,0.0,1,1,46.52999999999999,200.0,-153.47000000000003,1,1,46.52999999999999,0,0,107.55,0,0,43.95999999999998,0.0,0.4326359832635982,0.4326359832635982,44.370000000000005,97.78958333333333,2024,2024-01
2024-01-06,24,Baseline,1,1,0.0,0,0,0,0.0,0.0,1,1,53.02999999999997,200.0,-146.97000000000003,1,1,53.02999999999997,0,0,74.65999999999998,0,0,64.38999999999999,0.0,0.7102866327350654,0.7102866327350654,31.28,88.64416666666666,2024,2024-01
2024-01-07,24,Baseline,1,1,0.0,0,0,0,0.0,0.0,1,1,50.14,200.0,-149.86,1,1,50.14,0,0,73.29,0,0,62.39999999999998,0.0,0.6841315322690681,0.6841315322690681,32.989999999999995,86.33833333333332,2024,2024-01
2024-01-08,24,Baseline,1,1,0.0,0,0,0,0.0,0.0,1,1,93.95,200.0,-106.05,1,1,93.95,0,0,158.87,0,0,105.39999999999998,0.0,0.5913640083086801,0.5913640083086801,55.780000000000015,101.9975,2024,2024-01
2024-01-09,24,Baseline,1,1,0.0,0,0,0,0.0,0.0,1,1,139.67000000000002,200.0,-60.329999999999984,1,1,139.67000000000002,0,0,161.44,0,0,85.17000000000004,0.0,0.8651511397423193,0.8651511397423193,53.730000000000004,109.15666666666665,2024,2024-01
2024-01-10,24,Baseline,1,1,0.0,0,0,0,0.0,0.0,1,1,158.46999999999997,200.0,-41.53000000000003,1,1,158.46999999999997,0,0,172.66,0,0,85.19999999999999,0.0,0.9178153596663963,0.9178153596663963,57.92999999999999,112.79333333333334,2024,2024-01
