Delivery day;Period number;Period;Buy Orders (MW);Sell Orders (MW);Buy trades (MW);Sell trades (MW);Traded Quantity Difference (MW);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MW)
1.5.2025;1;00:00 - 00:15;57.1;60.0;47.1;50.0;-2.9;102.03;97.1
1.5.2025;2;00:15 - 00:30;29.3;16.0;19.3;6.0;13.3;93.86;25.3
1.5.2025;3;00:30 - 00:45;10.0;29.0;0.0;19.0;-19.0;88.16;19.0
1.5.2025;4;00:45 - 01:00;10.0;62.5;0.0;51.0;-51.0;74.79;51.0
1.5.2025;5;01:00 - 01:15;34.0;10.0;24.0;0.0;24.0;103.68;24.0
1.5.2025;6;01:15 - 01:30;21.1;10.0;11.1;0.0;11.1;101.84;11.1
1.5.2025;7;01:30 - 01:45;10.1;22.5;0.1;11.3;-11.2;88.86;11.4
1.5.2025;8;01:45 - 02:00;20.0;35.8;10.0;25.8;-15.8;80.83;35.8
1.5.2025;9;02:00 - 02:15;34.5;10.7;20.5;0.7;19.8;93.97;21.2
1.5.2025;10;02:15 - 02:30;35.4;10.0;20.7;0.0;20.7;96.16;20.7
1.5.2025;11;02:30 - 02:45;17.3;10.8;6.0;0.8;5.2;93.69;6.8
1.5.2025;12;02:45 - 03:00;15.0;16.3;5.0;6.3;-1.3;88.09;11.3
1.5.2025;13;03:00 - 03:15;12.8;10.0;2.8;0.0;2.8;92.97;2.8
1.5.2025;14;03:15 - 03:30;10.0;10.2;0.0;0.2;-0.2;90.41;0.2
1.5.2025;15;03:30 - 03:45;10.1;11.3;0.0;1.3;-1.3;91.50;1.3
1.5.2025;16;03:45 - 04:00;10.0;11.4;0.0;1.4;-1.4;84.99;1.4
1.5.2025;17;04:00 - 04:15;10.0;13.7;0.0;3.7;-3.7;71.96;3.7
1.5.2025;18;04:15 - 04:30;10.0;12.6;0.0;2.6;-2.6;73.89;2.6
1.5.2025;19;04:30 - 04:45;10.1;10.0;0.1;0.0;0.1;92.05;0.1
1.5.2025;20;04:45 - 05:00;14.2;15.0;4.2;0.0;4.2;126.07;4.2
1.5.2025;21;05:00 - 05:15;12.6;10.3;0.3;0.3;0.0;83.13;0.6
1.5.2025;22;05:15 - 05:30;11.9;11.0;0.3;1.0;-0.7;86.35;1.3
1.5.2025;23;05:30 - 05:45;10.6;10.4;0.3;0.4;-0.1;86.84;0.7
1.5.2025;24;05:45 - 06:00;12.3;14.0;2.0;0.0;2.0;87.80;2.0
1.5.2025;25;06:00 - 06:15;11.2;34.9;0.0;24.9;-24.9;71.83;24.9
1.5.2025;26;06:15 - 06:30;10.6;18.7;0.0;8.7;-8.7;78.13;8.7
1.5.2025;27;06:30 - 06:45;18.8;10.0;8.8;0.0;8.8;92.22;8.8
1.5.2025;28;06:45 - 07:00;35.8;10.0;25.8;0.0;25.8;94.48;25.8
1.5.2025;29;07:00 - 07:15;11.5;38.3;0.0;28.3;-28.3;66.30;28.3
1.5.2025;30;07:15 - 07:30;10.2;15.7;0.0;5.7;-5.7;71.01;5.7
1.5.2025;31;07:30 - 07:45;16.5;20.0;6.5;0.0;6.5;70.31;6.5
1.5.2025;32;07:45 - 08:00;36.5;48.2;26.5;27.2;-0.7;48.32;53.7
1.5.2025;33;08:00 - 08:15;710.3;75.6;8.9;45.6;-36.7;60.65;54.5
1.5.2025;34;08:15 - 08:30;10.2;36.5;0.2;16.5;-16.3;58.75;16.7
1.5.2025;35;08:30 - 08:45;31.3;31.3;21.3;11.3;10.0;56.67;32.6
1.5.2025;36;08:45 - 09:00;47.0;60.9;37.0;12.4;24.6;28.41;49.4
1.5.2025;37;09:00 - 09:15;2,394.0;5,466.0;34.0;30.6;3.4;62.03;64.6
1.5.2025;38;09:15 - 09:30;1,091.7;544.0;22.0;28.5;-6.5;23.33;50.5
1.5.2025;39;09:30 - 09:45;1,244.0;344.9;12.0;23.9;-11.9;-17.60;35.9
1.5.2025;40;09:45 - 10:00;143.3;88.5;108.3;8.5;99.8;-42.44;116.8
1.5.2025;41;10:00 - 10:15;69.4;297.0;27.2;35.2;-8.0;7.62;62.4
1.5.2025;42;10:15 - 10:30;23.0;82.0;0.0;21.2;-21.2;0.61;21.2
1.5.2025;43;10:30 - 10:45;35.0;272.3;22.0;21.2;0.8;-2.65;43.2
1.5.2025;44;10:45 - 11:00;22.6;77.7;12.1;20.7;-8.6;-8.83;32.8
1.5.2025;45;11:00 - 11:15;29.9;40.0;16.9;15.0;1.9;-11.87;31.9
1.5.2025;46;11:15 - 11:30;20.8;228.4;9.8;17.6;-7.8;-39.78;27.4
1.5.2025;47;11:30 - 11:45;30.0;58.7;1.0;11.7;-10.7;-35.85;12.7
1.5.2025;48;11:45 - 12:00;22.0;66.3;0.0;19.8;-19.8;-35.60;19.8
1.5.2025;49;12:00 - 12:15;45.0;48.7;33.0;7.2;25.8;-56.43;40.2
1.5.2025;50;12:15 - 12:30;33.3;41.2;7.3;11.2;-3.9;-63.96;18.5
1.5.2025;51;12:30 - 12:45;18.0;57.1;0.0;7.1;-7.1;-107.22;7.1
