Delivery day;Period number;Period;Buy Orders (MWh);Sell Orders (MWh);Buy trades (MWh);Sell trades (MWh);Traded Quantity Difference (MWh);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MWh)
1.5.2025;1;00:00 - 01:00;80.8;55.0;39.0;25.0;14.0;86.75;64.0
1.5.2025;2;01:00 - 02:00;91.8;65.0;48.4;35.0;13.4;86.88;83.4
1.5.2025;3;02:00 - 03:00;73.2;50.0;38.5;20.0;18.5;90.26;58.5
1.5.2025;4;03:00 - 04:00;105.4;50.0;66.5;20.0;46.5;94.17;86.5
1.5.2025;5;04:00 - 05:00;99.5;48.0;68.5;18.0;50.5;92.83;86.5
1.5.2025;6;05:00 - 06:00;102.5;48.0;69.0;18.0;51.0;89.73;87.0
1.5.2025;7;06:00 - 07:00;98.0;43.0;60.3;18.0;42.3;88.65;78.3
1.5.2025;8;07:00 - 08:00;61.7;40.0;26.1;10.0;16.1;77.52;36.1
1.5.2025;9;08:00 - 09:00;195.0;88.3;83.5;27.3;56.2;58.06;110.8
1.5.2025;10;09:00 - 10:00;1,060.3;337.7;140.3;28.4;111.9;2.52;168.7
1.5.2025;11;10:00 - 11:00;2,341.8;470.0;214.5;64.4;150.1;1.44;278.9
1.5.2025;12;11:00 - 12:00;1,908.0;175.1;231.7;97.2;134.5;-28.22;328.9
1.5.2025;13;12:00 - 13:00;906.7;138.0;197.9;38.3;159.6;-40.95;236.2
1.5.2025;14;13:00 - 14:00;2,624.3;138.0;189.1;41.5;147.6;-73.81;230.6
1.5.2025;15;14:00 - 15:00;932.1;149.4;234.1;51.7;182.4;-71.97;285.8
1.5.2025;16;15:00 - 16:00;378.6;330.7;243.1;13.6;229.5;-20.97;256.7
1.5.2025;17;16:00 - 17:00;17,190.0;6,737.9;326.6;50.8;275.8;0.43;377.4
1.5.2025;18;17:00 - 18:00;6,455.3;3,863.0;81.6;60.2;21.4;37.33;141.8
1.5.2025;19;18:00 - 19:00;17,000.6;6,621.0;97.4;97.1;0.3;90.83;194.5
1.5.2025;20;19:00 - 20:00;328.7;281.5;109.3;157.6;-48.3;122.75;266.9
1.5.2025;21;20:00 - 21:00;437.9;287.0;119.2;164.9;-45.7;164.09;284.1
1.5.2025;22;21:00 - 22:00;5,954.1;7,064.4;77.7;163.1;-85.4;120.44;240.8
1.5.2025;23;22:00 - 23:00;241.5;1,172.8;61.4;156.0;-94.6;98.45;217.4
1.5.2025;24;23:00 - 00:00;117.5;75.0;61.5;37.0;24.5;88.16;98.5
2.5.2025;1;00:00 - 01:00;66.0;46.0;41.0;19.0;22.0;88.68;60.0
2.5.2025;2;01:00 - 02:00;51.2;40.0;16.1;15.0;1.1;80.87;31.1
2.5.2025;3;02:00 - 03:00;40.0;46.0;5.0;21.0;-16.0;78.35;26.0
2.5.2025;4;03:00 - 04:00;59.4;50.5;26.1;18.0;8.1;74.76;44.1
2.5.2025;5;04:00 - 05:00;76.2;37.0;35.6;12.0;23.6;79.44;47.6
2.5.2025;6;05:00 - 06:00;81.5;55.0;26.5;10.0;16.5;78.72;36.5
2.5.2025;7;06:00 - 07:00;59.4;1,028.2;21.4;98.0;-76.6;91.51;119.4
2.5.2025;8;07:00 - 08:00;54.5;70.9;5.5;18.7;-13.2;64.43;24.2
2.5.2025;9;08:00 - 09:00;184.7;287.6;24.0;41.3;-17.3;43.12;65.3
2.5.2025;10;09:00 - 10:00;3,414.3;782.9;128.4;60.3;68.1;1.04;188.7
2.5.2025;11;10:00 - 11:00;3,496.6;352.2;356.3;100.3;256.0;0.52;456.6
2.5.2025;12;11:00 - 12:00;596.3;625.6;114.4;102.7;11.7;-2.89;217.1
2.5.2025;13;12:00 - 13:00;1,144.4;325.7;85.8;81.6;4.2;-4.93;167.4
2.5.2025;14;13:00 - 14:00;4,881.1;221.5;95.9;54.2;41.7;-3.97;150.1
2.5.2025;15;14:00 - 15:00;463.9;199.6;119.4;58.6;60.8;-1.56;178.0
2.5.2025;16;15:00 - 16:00;340.4;4,176.8;108.2;37.8;70.4;0.64;146.0
2.5.2025;17;16:00 - 17:00;4,397.5;5,147.5;43.9;20.1;23.8;6.10;64.0
