Obchodný deň;Číslo periódy;Perióda;Perióda (min);Cena SK (EUR/MWh);Dopyt úspešný (MW);Ponuka úspešná (MW);Tok CZ ➝ SK (MW);Tok SK ➝ CZ (MW);Tok PL ➝ SK (MW);Tok SK ➝ PL (MW);Tok HU ➝ SK (MW);Tok SK ➝ HU (MW);Stav zverejnenia
1.2.2026;1;00:00 - 00:15;15;109,02;793,6;1291,1;392,3;0,0;747,8;0,0;0,0;1637,6;Konečné
1.2.2026;2;00:15 - 00:30;15;101,02;781,5;1317,6;380,3;0,0;768,8;0,0;0,0;1685,2;Konečné
1.2.2026;3;00:30 - 00:45;15;96,31;1093,2;1287,8;514,8;0,0;841,1;0,0;0,0;1550,5;Konečné
1.2.2026;4;00:45 - 01:00;15;95,57;1074,8;1298,8;440,9;0,0;801,9;0,0;0,0;1466,8;Konečné
1.2.2026;5;01:00 - 01:15;15;105,19;777,6;1365,3;367,8;0,0;718,0;0,0;0,0;1673,5;Konečné
1.2.2026;6;01:15 - 01:30;15;99,00;770,5;1329,7;396,7;0,0;668,1;0,0;0,0;1624,0;Konečné
1.2.2026;7;01:30 - 01:45;15;97,76;970,7;1341,4;449,3;0,0;743,2;0,0;0,0;1563,2;Konečné
1.2.2026;8;01:45 - 02:00;15;94,26;963,6;1349,9;450,6;0,0;755,2;0,0;0,0;1592,1;Konečné
1.2.2026;9;02:00 - 02:15;15;100,95;852,7;1400,8;384,8;0,0;769,0;0,0;0,0;1701,9;Konečné
1.2.2026;10;02:15 - 02:30;15;99,01;834,5;1361,2;382,3;0,0;727,5;0,0;0,0;1636,5;Konečné
1.2.2026;11;02:30 - 02:45;15;99,39;823,1;1427,6;273,7;0,0;719,1;0,0;0,0;1597,3;Konečné
1.2.2026;12;02:45 - 03:00;15;97,76;814,2;1370,6;278,6;0,0;728,0;0,0;0,0;1563,0;Konečné
1.2.2026;13;03:00 - 03:15;15;93,64;854,4;1070,3;375,9;0,0;901,4;0,0;0,0;1493,2;Konečné
1.2.2026;14;03:15 - 03:30;15;97,27;854,1;1071,4;371,8;0,0;976,3;0,0;0,0;1565,4;Konečné
1.2.2026;15;03:30 - 03:45;15;95,56;850,9;1071,1;353,1;0,0;928,7;0,0;0,0;1502,0;Konečné
1.2.2026;16;03:45 - 04:00;15;98,74;851,7;1071,5;357,8;0,0;933,1;0,0;0,0;1510,7;Konečné
1.2.2026;17;04:00 - 04:15;15;98,85;861,2;1070,9;347,1;0,0;905,1;0,0;0,0;1461,9;Konečné
1.2.2026;18;04:15 - 04:30;15;98,69;863,1;1067,7;372,5;0,0;933,0;0,0;0,0;1510,1;Konečné
1.2.2026;19;04:30 - 04:45;15;98,00;867,5;1047,6;351,7;0,0;895,3;0,0;0,0;1427,1;Konečné
