magnitude,n_samples,correlation,p_value,mean_imbalance,std_imbalance
<10 MW,2030,0.03884237906581121,0.08017942381105637,1.456419827586207,8.707463558521166
10-30 MW,905,0.12264326458173333,0.00021698436105789008,2.728417403314917,10.61928104813474
30-60 MW,508,0.2195481893538119,5.814669219323472e-07,2.1473390748031496,9.698471179291408
60-100 MW,227,0.3746166643119834,5.657767916681141e-09,2.0246971365638764,12.97650768564742
>100 MW,141,0.142423739167612,0.09203998510937308,6.224505319148936,12.594483410564697
