group,n_samples,correlation,p_value,r_squared,surprise_mean,surprise_std
All summer daylight,3826,0.1642379382518355,1.5311940590315132e-24,0.02697410036121373,6.564767381076841,36.078733911973295
Summer 2024,1732,0.12807326040295647,8.880665840392727e-08,0.016402760030243498,11.136547344110852,39.982222916770525
Summer 2025,2094,0.2384520918987191,1.8526285816830807e-28,0.05685940013087518,2.7833333333333314,32.017858194308566
June,1169,0.20392179817573602,1.9383654052102234e-12,0.04158409977122562,14.088879384088965,43.71880448905309
July,1247,0.1766458024210311,3.362450295622914e-10,0.031203739512969952,9.284603047313551,33.61217466957567
August,1410,0.10795352253492423,4.866833212029467e-05,0.011653963027698392,-2.078723404255321,28.668337927140172
