hour,n_samples,correlation,p_value,surprise_std,surprise_mean,mean_actual_solar
5,183,-0.056722025586156084,0.44565555584428773,6.223074952362974,-2.7688524590163937,3.6109289617486344
6,183,0.1308912248811941,0.07737286658300722,13.404871326190445,-6.636612021857924,22.51256830601093
7,183,0.25091488365915937,0.0006124733095498797,24.57693991325832,-7.64262295081967,73.03060109289616
8,183,0.2569426898096803,0.0004461306281025352,36.79498899029776,-3.6207650273224066,142.0530054644809
9,183,0.3067433380134644,2.4066615973285067e-05,46.17429194794711,1.3655737704917998,205.17431693989073
10,183,0.10477304033372195,0.1580914933844622,49.835083872502466,6.647540983606554,250.11693989071043
11,183,0.10198874665448976,0.16950085464326553,50.34084647555679,11.36612021857923,275.8513661202186
12,183,0.20663945416334567,0.005007230192637994,53.90716096997829,14.030054644808741,282.6983606557377
13,183,0.25788740641352775,0.00042422093823343566,57.09893161831841,17.094535519125678,273.7907103825136
14,183,0.158533413915192,0.032074628196391335,56.19939084951119,21.326775956284152,251.648087431694
15,183,0.17526653165603248,0.017638796217204974,54.04656392851847,25.9535519125683,214.48469945355188
16,183,0.1742504455842537,0.01831726541845188,46.34708961117893,25.19071038251366,163.13442622950822
17,183,0.09865091300578664,0.18397216018519552,33.812149375412616,20.385792349726778,102.81475409836065
18,183,0.098190573498522,0.18603710880311247,16.37361571367369,8.814207650273225,43.64098360655737
19,183,0.10615363986054685,0.15265265548144066,7.69286803339528,2.6989071038251367,12.3224043715847
20,183,-0.00796527603276517,0.9147765905222682,1.246580141378837,0.8874316939890711,1.5672131147540986
