datetime,forecast_error_observed,forecast_error_trend,forecast_error_seasonal,forecast_error_residual,actual_price_observed,actual_price_trend,actual_price_seasonal,actual_price_residual
2025-09-17 00:00:00,8.048072112499995,-2.2361146544125763,12.868723404743598,-2.584536637831027,65.61,85.83844442764081,-21.714924626785656,1.4864801991448502
2025-09-17 01:00:00,8.130215214999993,-1.9656821288320712,11.83286108566985,-1.7369637418377855,63.53,85.56038813933257,-25.227666783529017,3.1972786441964445
2025-09-17 02:00:00,17.532937515,-1.695717775921037,20.174258472064025,-0.9456031811429879,50.97,85.28477354021003,-35.36816016888338,1.0533866286733513
2025-09-17 03:00:00,21.778481755,-1.4261034012238765,22.950943947720432,0.2536412085034454,47.53,85.011659683482,-38.76677221332093,1.2851125298389405
2025-09-17 04:00:00,13.051257645000007,-1.1566867973614838,13.864666630310003,0.34327781205148766,55.92,84.74105498260894,-30.254658916392756,1.4336039337838145
2025-09-17 05:00:00,17.698977579999998,-0.8873234292605858,13.022320202284694,5.563980806975889,60.01,84.47292213640978,-16.906929710775998,-7.555992425633775
2025-09-17 06:00:00,5.696525425000004,-0.6179210331394375,3.0128795907753516,3.30156686736409,122.11,84.2072199049543,41.55210474774031,-3.6493246526946024
2025-09-17 07:00:00,24.27127247499999,-0.3485612266896291,24.741327913821184,-0.12149421213156575,129.32,83.9440951628965,44.69954756646468,0.6763572706388175
2025-09-17 08:00:00,-7.549657574999998,-0.07947622519763027,-7.356067310826085,-0.11411403897628218,112.67,83.68385145987553,31.235527929887375,-2.2493793897628933
2025-09-17 09:00:00,-11.300394165,0.1890366329794343,-14.937927492236422,3.448496694256988,93.96,83.42684697794517,11.448588943644575,-0.9154359215897614
2025-09-17 10:00:00,-16.57246861499999,0.45660764016195204,-19.789455299466226,2.7603790443042833,68.99,83.17353940823035,-13.559365357877422,-0.6241740503529343
2025-09-17 11:00:00,-9.83624356,0.722695796813293,-7.755137438258148,-2.8038019185551444,43.54,82.92447994610262,-74.17405060881948,34.78957066271687
2025-09-17 12:00:00,11.448395415,0.9865850120218481,13.120767703554712,-2.65895730057656,12.21,82.68030317432444,-76.69586082734867,6.225557653024239
2025-09-17 13:00:00,8.15494948,1.2475035900212943,8.702801775249714,-1.7953558852710076,8.63,82.4416800377348,-77.71197972018138,3.9002996824465725
2025-09-17 14:00:00,8.281694705,1.5046502058643265,22.783829997378813,-16.00678549824314,12.0,82.20915531297643,-78.16351042405243,7.954355111075998
2025-09-17 15:00:00,-4.54020259,1.7572101898146277,71.34656992664618,-77.6439827064608,46.74,81.98307127524961,-93.47454154449765,58.231470269248035
2025-09-17 16:00:00,-7.466658162499996,2.004475460794489,-6.544259077904766,-2.92687454538972,84.71,81.76343674510547,1.8989659742851557,1.0475972806093665
2025-09-17 17:00:00,11.18741747499999,2.2457513909557663,9.567905400787401,-0.6262393167431779,105.51,81.54995857668838,26.011247554912693,-2.051206131601063
2025-09-17 18:00:00,7.117143574999972,2.4804095664039396,-33.956340919302264,38.59307492789829,130.77,81.34194898843693,90.57597399324986,-41.147922981686776
2025-09-17 19:00:00,-29.778900099999987,2.7078440085474837,-92.0661743530851,59.57943024453763,209.1,81.13829664970011,191.47650376252378,-63.51480041222389
2025-09-17 20:00:00,-18.71606054999998,2.927352753489577,-20.168741073275424,-1.4746722302141335,153.39,80.93742879397533,76.53050381431429,-4.077932608289629
2025-09-17 21:00:00,-2.4986229749999893,3.1379582585774517,-5.744626250649759,0.10804501707231795,105.38,80.73784001753478,26.627177298086124,-1.985017315620908
2025-09-17 22:00:00,-1.3253202974999994,3.338556369135141,-4.5044186271032,-0.1594580395319407,97.81,80.53998477096155,19.853427939417063,-2.58341271037861
2025-09-17 23:00:00,4.809961139999999,3.5311162457387484,-0.5565230875042282,1.8353679817654784,75.81,80.34669408138059,-0.552983828580057,-3.9837102528005346
2025-09-18 00:00:00,19.281220675,3.659144644712217,7.207979009266613,8.41409702102117,57.64,80.27153579064614,-17.700761743888037,-4.930774046758103
2025-09-18 01:00:00,18.059678772500007,3.777365097468292,5.3412152335200975,8.941098441511617,49.75,80.20781024214187,-19.203168008277736,-11.254642233864132
2025-09-18 02:00:00,22.23892333,3.8833935372441797,10.570553700818838,7.784976091936981,39.04,80.15854330631024,-26.39478244760767,-14.723760858702562
2025-09-18 03:00:00,21.5084144275,3.9721306542632635,12.094511315541158,5.441772457695578,39.13,80.12971220286424,-29.38549992038191,-11.614212282482328
2025-09-18 04:00:00,14.955722662500001,4.034986857890578,7.207090325913278,3.7136454786961455,49.76,80.13070078817796,-24.005157075115232,-6.365543713062735
2025-09-18 05:00:00,6.111663522499995,4.06000219887901,6.5197224176696045,-4.468061094048619,76.74,80.17479299925078,-8.690597258719249,5.255804259468462
