attr,unit,n,first,last,min,p05,median,mean,p95,max,std,note
Pdod,MW,2880,2026-03-24T10:45:00+00:00,2026-04-23T10:30:00+00:00,-1.7168270755593147,-1.0209262287060814,-0.009975065919601973,-0.023834100308504417,0.9768941280357143,1.7035769727186325,0.5541992369520934,Actual delivered power (+ discharge / - charge)
SoC.15M,%,2881,2026-03-24T10:45:00+00:00,2026-04-23T10:45:00+00:00,9.8,20.700000762939453,38.800000000000004,44.25598746944906,78.0999984741211,97.5,19.744013781311264,"State of charge, 15-min series"
PP_Pdb,MW,2881,2026-03-24T10:45:00+00:00,2026-04-23T10:45:00+00:00,-1.5000000000000002,-1.0,0.0,-0.013918778202013192,1.0,1.5000000000000002,0.531086365973512,Planned Pdb from production plan
RBO_RE,MWh,2881,2026-03-24T10:45:00+00:00,2026-04-23T10:45:00+00:00,-0.1507363093373643,-0.06282403187756402,-0.00041676656048160454,-0.002476762312434285,0.05146238479935697,0.1434522723239926,0.03453527300367203,RBO regulation energy (balancing)
Adelta,MW,2880,2026-03-24T10:45:00+00:00,2026-04-23T10:30:00+00:00,-0.1507363093373643,-0.06283866190085136,-0.00041856176363934405,-0.002477622299348325,0.05146657115481602,0.1434522723239926,0.03454123941875365,Pdod - PP_Pdb (schedule deviation)
