trial,cv_mae,state,datetime,duration_sec,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_max_error_lag,param_use_roll_3h,param_use_roll_6h,param_use_roll_12h,param_use_roll_24h,param_use_roll_48h,param_use_roll_median,param_use_error_trends,param_use_momentum,param_momentum_w1,param_momentum_w2,param_use_load_volatility,param_use_load_trend,param_use_load_range,param_reg_lag_depth,param_use_reg_std,param_use_reg_range,param_use_seasonal_error,param_use_hour_cyclical,param_use_dow_cyclical,param_use_is_weekend,param_use_same_hour_yesterday,param_use_same_hour_2d,param_use_same_hour_week,param_use_error_sign,param_use_forecast_level,param_use_forecast_diff,param_finetune_weight,param_finetune_days,best_so_far,is_best
0,65.53012767492255,COMPLETE,2026-02-02T15:02:50.568622,1.046485,156,0.09429379054744258,10,48,60,0.8998023008300269,0.7873371127049755,0.008875465046421971,0.20778708193951595,10,True,False,True,False,False,True,True,True,0.5212102816938194,0.3805707392349148,True,True,False,3,True,False,False,True,True,False,True,False,True,True,True,False,5.536501749867398,115,65.53012767492255,True
1,64.62268185263845,COMPLETE,2026-02-02T15:02:51.190805,0.621213,194,0.08997232542620824,4,91,65,0.6262387073408042,0.9562543135237165,0.012298997945562669,0.005918651986363987,22,False,True,False,False,False,False,False,False,0.38675340774614786,0.22018637336479416,False,False,True,4,True,True,False,True,True,False,False,True,False,False,True,False,5.9805133654653275,124,64.62268185263845,True
2,65.83134278521338,COMPLETE,2026-02-02T15:02:52.583710,1.391829,139,0.010361094808239102,5,23,59,0.7824095312385909,0.785667125774333,0.0005142229108617576,0.026268809517702045,23,False,False,True,False,True,True,False,False,0.41279161055993097,0.34870728111551996,True,True,False,3,True,True,True,True,False,False,True,False,True,True,False,False,7.187191058595154,122,64.62268185263845,False
3,65.34250026938783,COMPLETE,2026-02-02T15:02:54.052825,1.468149,179,0.07225425340565915,11,20,38,0.5395678325434579,0.8949449897474367,0.5573433703175109,0.7048651636151185,15,True,True,True,True,True,True,True,False,0.4606939837207529,0.26455508021202995,False,False,False,2,True,True,False,True,False,False,False,True,True,True,False,True,6.520361354742146,85,64.62268185263845,False
4,65.27964775648988,COMPLETE,2026-02-02T15:02:55.847145,1.793319,161,0.05004183033067716,12,56,21,0.5177496816141423,0.773295541596281,0.0017857706926582078,0.10409479066887348,8,False,False,False,False,True,False,False,True,0.5740007707486847,0.1000795364477158,True,True,False,4,True,False,True,True,True,False,True,True,True,False,False,True,5.209748793568565,146,64.62268185263845,False
5,63.98893199454891,COMPLETE,2026-02-02T15:02:58.591161,2.743036,502,0.026662752210862745,5,93,12,0.8340495317070322,0.6860096166676528,0.0014179786646626965,0.0332985590098832,23,True,True,True,False,False,True,True,True,0.5348810719720389,0.33458672382140897,False,False,True,3,False,True,True,False,False,False,True,True,True,True,False,True,2.1257711909432335,140,63.98893199454891,True
6,65.46332348922667,COMPLETE,2026-02-02T15:03:02.971669,4.379483,302,0.025553528625058726,12,98,25,0.8018179136770811,0.9405855940230358,0.002757107472886435,0.0005033754885368436,24,False,True,True,True,True,False,True,False,0.6918414241620191,0.34517415428814935,True,True,True,1,False,False,False,False,True,True,False,False,False,False,True,True,6.6432543188229936,94,63.98893199454891,False
7,64.18310296522186,COMPLETE,2026-02-02T15:03:04.926547,1.95404,583,0.031580478694118015,4,92,46,0.9816574592907925,0.8689751988154053,0.0007320143829542125,0.022152581296840296,16,True,False,True,False,True,True,False,True,0.6660925455278983,0.2331196793431282,False,True,True,2,False,True,True,False,False,False,False,True,False,False,False,True,6.607493974708122,67,63.98893199454891,False
8,65.23576134252131,COMPLETE,2026-02-02T15:03:06.442430,1.515018,303,0.06052641780878979,6,63,50,0.8368222346495667,0.730719728890153,0.4294562905418902,0.07157503981589824,13,False,False,False,False,True,False,False,True,0.43619287245476307,0.1973141463270225,False,True,True,2,True,False,True,False,True,True,False,True,False,False,False,True,5.869048918347135,102,63.98893199454891,False
9,63.794004210212954,COMPLETE,2026-02-02T15:03:08.251447,1.807981,207,0.020513232684936704,6,36,76,0.5167946416745677,0.44209995325512247,0.0014850379719554964,0.0015023497782538288,24,True,True,True,True,True,True,False,False,0.6494685963263174,0.2763273375250034,False,True,True,4,False,False,True,True,False,True,True,False,True,False,False,True,1.843822645237008,148,63.794004210212954,True
