trial,cv_mae,state,datetime,duration_sec,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_max_error_lag,param_use_roll_3h,param_use_roll_6h,param_use_roll_12h,param_use_roll_24h,param_use_roll_48h,param_use_roll_median,param_use_error_trends,param_use_momentum,param_momentum_w1,param_momentum_w2,param_use_load_volatility,param_use_load_trend,param_use_load_range,param_reg_lag_depth,param_use_reg_std,param_use_reg_range,param_use_seasonal_error,param_use_hour_cyclical,param_use_dow_cyclical,param_use_is_weekend,param_use_same_hour_yesterday,param_use_same_hour_2d,param_use_same_hour_week,param_use_error_sign,param_use_forecast_level,param_use_forecast_diff,param_finetune_weight,param_finetune_days,best_so_far,is_best
0,40.462686830846515,COMPLETE,2026-02-02T14:42:31.698324,0.593406,157,0.04065056060747227,5,39,33,0.9295687454742989,0.7996541278588154,0.03490639533400613,0.00013687845379289028,19,False,True,True,True,False,False,False,False,0.33300001987886213,0.36912957399446034,True,False,False,4,False,True,False,False,True,False,False,True,False,False,False,True,4.780241249271592,66,40.462686830846515,True
1,39.8105549416561,COMPLETE,2026-02-02T14:42:32.576070,0.876668,199,0.06247968981906254,6,73,31,0.5722391892114144,0.6423740001882817,0.002870431583159005,0.0013922588192962744,17,False,True,False,False,False,False,False,True,0.5278497595772236,0.10152498540976422,False,False,True,2,True,False,False,False,True,True,False,False,True,False,False,True,5.5105934762966955,66,39.8105549416561,True
2,41.02767590034397,COMPLETE,2026-02-02T14:42:33.599572,1.022621,473,0.012753142323962302,4,47,78,0.8504878447166522,0.6482113208400018,0.00036932680346363716,0.00019215269690609003,19,True,False,False,True,True,True,True,True,0.38579912813876577,0.1283970682643309,True,True,False,3,True,False,False,True,False,False,True,False,True,False,True,False,5.6337986862008504,54,39.8105549416561,False
3,40.70241069028629,COMPLETE,2026-02-02T14:42:35.595760,1.995447,395,0.016277248973210385,11,48,45,0.8517695730657959,0.5029766055507631,0.06673601724146089,0.0005649341592282322,21,False,False,True,False,True,True,True,True,0.6968183257636559,0.30777291924562755,True,False,False,3,False,False,False,True,False,True,False,False,False,True,False,False,5.068049427603766,71,39.8105549416561,False
4,42.213768641731754,COMPLETE,2026-02-02T14:42:37.391807,1.795203,232,0.011066575589536613,12,65,11,0.786327188774,0.8218064681592916,0.22835734419807144,0.012470725646955444,14,False,False,True,False,True,False,False,False,0.40850581261452873,0.21789199584754762,False,True,True,4,False,True,False,True,True,True,False,False,True,False,False,False,3.2988048504827487,53,39.8105549416561,False
5,39.673796246062814,COMPLETE,2026-02-02T14:42:40.104754,2.712031,548,0.09628864371733831,7,77,39,0.8816496802364278,0.8785349186549078,0.0028001739828667107,0.00015997291170899043,24,False,True,False,False,True,False,True,True,0.365654877639605,0.1430737050575841,False,True,True,2,True,False,True,True,True,True,True,False,False,False,True,True,6.73285441858417,72,39.673796246062814,True
6,47.26265321993843,COMPLETE,2026-02-02T14:42:40.946911,0.841271,108,0.012009091621895595,4,33,22,0.8467795946795782,0.8019822788711819,0.00014098359309585906,0.04461704419493876,23,True,False,True,False,False,False,True,True,0.5276440973259282,0.3694467513562192,True,True,False,1,True,False,True,False,True,False,False,True,True,True,False,False,6.0123057582610135,139,39.673796246062814,False
7,39.96631755044796,COMPLETE,2026-02-02T14:42:43.991378,3.04366,260,0.0854832241126995,12,66,36,0.9799320973040724,0.8836715453395669,0.0448252094841642,0.15536191295856233,21,True,True,False,True,True,True,True,False,0.6444517207042078,0.3878069367365621,True,True,False,3,False,True,True,False,False,False,False,True,True,True,False,True,7.862283835914592,123,39.673796246062814,False
8,40.271350569254245,COMPLETE,2026-02-02T14:42:45.160896,1.168363,463,0.024145214205950387,4,58,13,0.7881405834906126,0.869454739350745,0.018140031323896244,0.024140238345728877,11,False,True,True,False,True,True,True,False,0.514355539500596,0.2080191952216428,False,True,False,3,False,True,False,False,True,False,True,False,True,True,False,True,2.9571132343767847,113,39.673796246062814,False
9,44.65463945848795,COMPLETE,2026-02-02T14:42:48.644311,3.482683,562,0.0991808514251797,8,66,12,0.9923558248391504,0.9948635116076453,0.0013288200921274258,0.15264283426817096,20,True,True,False,True,False,True,False,False,0.583241917181337,0.11365705590123955,False,False,False,2,True,True,False,False,False,True,False,False,False,True,True,False,1.7913694696180884,123,39.673796246062814,False
10,40.44414242449515,COMPLETE,2026-02-02T14:42:51.203416,2.558413,594,0.04308630794293586,8,98,64,0.6393269625056646,0.9979909848810905,2.3624951678361494,4.234545589342251,6,False,True,False,False,True,False,True,True,0.3039351188947327,0.17360598257918716,False,True,True,1,True,False,True,True,True,True,True,True,False,False,True,True,7.626152656285044,90,39.673796246062814,False
11,39.599437956355345,COMPLETE,2026-02-02T14:42:52.701517,1.496983,322,0.06399349311739347,6,87,54,0.5311217767513996,0.6048006950811217,0.003889044011017338,0.0017791578698016929,16,False,True,False,False,False,False,False,True,0.44704238922244044,0.10064562071393912,False,False,True,2,True,False,True,True,True,True,True,False,False,False,True,True,6.587818870457187,85,39.599437956355345,True
12,39.70594650760996,COMPLETE,2026-02-02T14:42:54.231729,1.52937,303,0.060309482504015535,7,87,56,0.6678593761657632,0.4884617522607506,0.003830136858194724,0.002732502729539944,24,False,True,False,False,False,False,False,True,0.4424308228286123,0.1591364664235245,False,False,True,2,True,False,True,True,True,True,True,False,False,False,True,True,6.632951924387416,87,39.599437956355345,False
13,40.2044971780173,COMPLETE,2026-02-02T14:42:56.088405,1.855896,373,0.06420886898046914,9,84,52,0.5255626024900052,0.5890697270001624,0.007477101419590771,0.003718462829762294,11,False,True,False,False,False,False,False,True,0.45278915133504993,0.2708186243089956,False,False,True,1,True,False,True,True,True,True,True,False,False,False,True,True,6.819016582060096,103,39.599437956355345,False
14,39.08567937271735,COMPLETE,2026-02-02T14:42:57.572576,1.482837,426,0.07784600569940503,6,21,67,0.6759158770997432,0.7261195635491091,0.0005245779875783257,0.0006017000312486628,14,False,True,False,False,True,False,True,True,0.3692942528036621,0.16204647087057183,False,True,True,2,True,False,True,True,True,True,True,False,False,False,True,True,3.8768620289292657,77,39.08567937271735,True
15,40.066253219037705,COMPLETE,2026-02-02T14:42:58.673424,1.099907,319,0.03568888989869762,6,20,72,0.6851727956450382,0.401637248470993,0.0005886273607604846,0.0006478438191110513,14,False,True,False,False,False,False,False,True,0.46659192442481373,0.18356448717028903,False,False,True,2,True,False,True,True,True,True,True,False,False,False,True,True,4.031789871986196,86,39.08567937271735,False
16,39.11266799540399,COMPLETE,2026-02-02T14:43:00.133728,1.459421,465,0.02497702098134294,6,20,64,0.5929160331837213,0.7033093010971929,0.00015428911543629797,0.0069746267815917334,11,False,True,False,False,True,False,True,True,0.40871181698224723,0.2725596521652802,False,True,True,1,True,False,True,True,True,True,True,False,False,False,True,True,1.4701104677710233,101,39.08567937271735,False
17,39.43294895528685,COMPLETE,2026-02-02T14:43:01.976658,1.842168,452,0.023646743687735547,10,21,65,0.6075734442287285,0.7274242245507159,0.0001202470660529407,0.008140464931198379,10,False,True,False,False,True,False,True,True,0.35170264543485236,0.2934926364770777,False,True,True,1,True,False,True,True,True,True,True,False,False,False,True,True,1.0123181397598122,102,39.08567937271735,False
18,39.287753310121595,COMPLETE,2026-02-02T14:43:03.581593,1.603935,504,0.024042818425130043,5,30,80,0.7226658700625689,0.7247643844525249,0.0005916253345357361,1.4300737100177894,8,True,False,False,True,True,False,True,True,0.40749268323256216,0.23871483610999894,False,True,True,1,True,False,True,True,False,True,True,True,False,False,True,True,2.367317782157892,145,39.08567937271735,False
19,39.35143489451437,COMPLETE,2026-02-02T14:43:05.509960,1.927328,411,0.019076046036117008,7,30,64,0.5961760086913834,0.6931988157445319,0.00021882045188850887,0.0738622257430858,12,False,True,False,False,True,False,True,True,0.3076895180681787,0.325937837493276,False,True,True,1,True,False,True,True,True,True,True,False,False,False,True,True,3.708214598726877,113,39.08567937271735,False
20,39.23130466935884,COMPLETE,2026-02-02T14:43:07.617463,2.106579,511,0.030273291502400677,9,47,71,0.7409772466324025,0.5668116571844035,0.0008000986187539341,0.0006390710135760891,8,False,True,False,False,True,False,True,True,0.5773501785180131,0.2619139245932659,False,True,True,1,True,False,True,True,True,True,True,False,False,False,True,True,1.2432464991208834,77,39.08567937271735,False
21,39.12728210957659,COMPLETE,2026-02-02T14:43:09.555964,1.937781,520,0.029344165319303697,9,43,69,0.7352446863513837,0.5274669943501531,0.0010479287403299623,0.0005656051016465029,9,False,True,False,False,True,False,True,True,0.5674752056007093,0.2591248826280506,False,True,True,1,True,False,True,True,True,True,True,False,False,False,True,True,1.3210454886156724,78,39.08567937271735,False
22,39.32855740440145,COMPLETE,2026-02-02T14:43:11.200501,1.643748,441,0.030117237691821744,9,24,71,0.696160216892715,0.5208493781838586,0.00010257363232747769,0.005588807139073904,13,False,True,False,False,True,False,True,True,0.5947263832869445,0.2354702553642447,False,True,True,1,True,False,True,True,True,True,True,False,False,False,True,True,2.2941825357587766,93,39.08567937271735,False
23,39.13654057688859,COMPLETE,2026-02-02T14:43:13.420911,2.219655,519,0.04884347354670461,10,40,58,0.6360266626373879,0.756612024218374,0.0010977736366085933,0.00042059286546142406,9,False,True,False,False,True,False,True,True,0.4865621172245914,0.3345748607454619,False,True,True,2,True,False,True,True,True,True,True,False,False,False,True,True,1.7795352828375106,79,39.08567937271735,False
24,39.95227916043541,COMPLETE,2026-02-02T14:43:14.770042,1.348244,415,0.018705149483810087,5,37,61,0.7780337569329997,0.6767507156216774,0.0003197218664438932,0.0012485611447088359,6,False,True,False,False,True,False,True,True,0.5545038444219931,0.27952040050606336,False,True,True,1,True,False,True,True,True,True,True,False,False,False,True,True,2.759140906542174,59,39.08567937271735,False
25,39.267748922469394,COMPLETE,2026-02-02T14:43:16.233370,1.461131,362,0.02820018795725772,7,27,49,0.5714418801691645,0.44337403853182145,0.011167646957955014,0.020612980125420323,16,False,True,False,False,True,False,True,True,0.6359850901280508,0.19514653465665766,False,True,True,2,True,False,True,True,True,True,True,False,False,False,True,True,4.20927281506917,98,39.08567937271735,False
26,42.60759148689423,COMPLETE,2026-02-02T14:43:18.323308,2.089151,485,0.049898866093576015,8,57,75,0.5031066721797303,0.5410035091841855,0.19195536200551166,0.0003480162798135709,12,True,False,True,True,True,True,True,False,0.41523423949223187,0.24153527625716611,True,True,True,1,False,True,True,True,False,False,True,True,False,True,True,False,1.8364100379376596,111,39.08567937271735,False
27,39.11924203942596,COMPLETE,2026-02-02T14:43:19.984754,1.66065,542,0.03484139180781446,6,51,68,0.7197799164560366,0.6296844296637925,0.0016601331785691031,0.0013171229848000779,8,False,True,False,False,True,False,True,True,0.48506050790217364,0.2142012370885376,False,True,True,1,True,False,True,True,True,True,True,False,False,False,True,True,1.4034485544676234,78,39.08567937271735,False
28,39.44344107569993,COMPLETE,2026-02-02T14:43:21.620740,1.635025,581,0.07627692793216297,6,51,45,0.6446251033138618,0.621480691412384,0.0002618939467838321,0.0034199982817065796,8,False,True,False,False,True,False,True,True,0.4907856417231831,0.22195847597350726,False,True,True,2,True,False,True,True,True,True,True,False,False,False,True,True,3.2004373673471767,47,39.08567937271735,False
29,39.164291852404354,COMPLETE,2026-02-02T14:43:23.325246,1.703694,435,0.04162926612075527,5,36,59,0.6958667281578664,0.7619635761202952,0.0012768506921724788,0.00012311357456395582,14,False,True,True,True,True,False,True,False,0.3374072021249397,0.15842831747616756,True,True,True,4,False,True,True,False,True,False,True,True,False,False,True,True,4.714581960400033,64,39.08567937271735,False
30,38.68704978380126,COMPLETE,2026-02-02T14:43:24.872226,1.546073,388,0.03580130463837092,6,27,66,0.6042368983857785,0.6708505966710809,0.0018382009486702646,0.009298122872609019,18,False,True,False,False,True,False,True,True,0.37785439630215073,0.19880640461932086,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,2.300686282213007,95,38.68704978380126,True
31,38.76897251585869,COMPLETE,2026-02-02T14:43:26.762579,1.889593,548,0.0365325769321603,6,27,67,0.6128027008405001,0.6605396000911272,0.0019580533538938447,0.015375849795946825,18,False,True,False,False,True,False,True,True,0.37743169408426164,0.2005487229367484,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,2.2344144813558167,101,38.68704978380126,False
32,38.829456068107184,COMPLETE,2026-02-02T14:43:28.086577,1.323084,386,0.0358235724479938,5,26,75,0.5771491633245553,0.6626050749490838,0.006962594213626293,0.01344538629787959,18,False,True,False,False,True,False,True,True,0.38077328200318566,0.18800185155309412,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,2.446867771967703,105,38.68704978380126,False
33,38.61977415425811,COMPLETE,2026-02-02T14:43:29.345504,1.258016,383,0.04992103086828487,5,27,77,0.5588791840621995,0.6648865886919773,0.00745904107748503,0.06456475749698146,18,False,True,False,False,True,False,True,True,0.36878060895311204,0.19136794242751112,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,2.4262667793964603,108,38.61977415425811,True
34,39.535523343228654,COMPLETE,2026-02-02T14:43:29.941223,0.594986,284,0.049757134083447445,4,28,76,0.5662386110649048,0.6610390384214083,0.008774671314838667,0.4060953755161003,18,False,True,False,False,True,False,True,True,0.32882336700844195,0.19061726520368588,False,True,True,3,True,False,False,True,True,True,False,False,True,False,False,True,2.5673993184350765,122,38.61977415425811,False
35,41.21793065033948,COMPLETE,2026-02-02T14:43:30.807623,0.865521,388,0.036547202413707465,5,41,80,0.547015627789869,0.6603826111532553,0.025549159628991933,0.03553255829989131,18,False,False,False,False,True,True,True,True,0.37932698615563576,0.13790116315254564,True,True,False,3,True,False,False,True,False,True,True,False,False,False,True,False,2.161322346666124,106,38.61977415425811,False
36,39.188947089188645,COMPLETE,2026-02-02T14:43:32.070008,1.261579,345,0.04441714373311614,5,34,75,0.6161136265673478,0.5741428797093036,0.0024004010119923636,0.012103531966728955,19,False,True,True,False,True,False,True,True,0.3966858632516571,0.19540024395495262,False,True,True,4,False,False,True,False,True,True,True,False,True,False,True,True,3.333627403586559,130,38.61977415425811,False
37,41.11987356387808,COMPLETE,2026-02-02T14:43:32.977577,0.906786,167,0.055366718766826674,4,26,74,0.5045139416031672,0.7766953681769805,0.006214303969099033,0.11966014553410177,17,True,False,False,True,True,False,True,True,0.42703418528739795,0.17362630170060328,False,True,True,3,True,False,True,True,True,False,False,False,False,True,False,False,2.0578924362700852,94,38.61977415425811,False
38,39.090876801258915,COMPLETE,2026-02-02T14:43:33.829542,0.851243,247,0.03718629371032612,5,33,28,0.5616720799832677,0.6304079774012897,0.08545017885341945,0.3459439826532932,22,False,True,False,False,True,True,True,False,0.3534918690786905,0.22361384329859255,True,True,False,3,True,True,False,True,False,True,True,False,False,False,True,True,3.4189385254580973,107,38.61977415425811,False
39,39.7281460518012,COMPLETE,2026-02-02T14:43:35.490638,1.660352,349,0.03885248724500922,7,45,78,0.5365644150804649,0.8321025611307425,0.016146756258980897,0.05789433072050699,20,False,True,True,False,True,False,False,True,0.38272063313537846,0.12391562179923918,False,False,True,4,False,False,True,False,True,False,False,True,True,False,False,True,2.831187219336132,115,38.61977415425811,False
40,41.06979772034189,COMPLETE,2026-02-02T14:43:36.731174,1.239854,392,0.033404220589111834,4,25,62,0.586858743208623,0.6881716626280481,0.04022083533049621,0.015490075512991905,16,True,False,False,False,False,False,True,True,0.31782837502858585,0.20475033956378166,False,True,False,3,True,False,True,True,True,True,True,False,False,True,True,False,5.162336547003297,118,38.61977415425811,False
41,38.91067123820618,COMPLETE,2026-02-02T14:43:38.291003,1.558982,420,0.07395600314535233,6,31,68,0.6644971126266741,0.7295004208358539,0.004591770754529531,0.0353848470085253,18,False,True,False,False,True,False,True,True,0.3709092842886175,0.15585461103683504,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,2.476361592753629,96,38.61977415425811,False
42,38.62603728660254,COMPLETE,2026-02-02T14:43:39.586683,1.294901,379,0.04402079800154482,5,32,69,0.6231093333934522,0.6479068793491944,0.005487639024692835,0.029639831533570082,18,False,True,False,False,True,False,True,True,0.34862290492946163,0.14478058412008968,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,3.0588594530599775,96,38.61977415425811,False
43,38.63004144171495,COMPLETE,2026-02-02T14:43:40.874800,1.287363,340,0.05566323297951538,5,38,72,0.6214417798455396,0.6467165033037008,0.0024992450368373493,0.011133859643308324,20,False,True,False,False,True,False,True,True,0.34505751658361655,0.13901189586687102,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,3.097228999789498,129,38.61977415425811,False
44,39.3664368762992,COMPLETE,2026-02-02T14:43:41.866732,0.991195,214,0.05574349144589303,4,38,71,0.621659521219231,0.6073422336990322,0.0023928135994309707,0.1047329215853914,20,False,True,False,False,True,False,True,True,0.3368195739960265,0.13683988634577485,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,3.014702091776818,131,38.61977415425811,False
45,39.186464262635475,COMPLETE,2026-02-02T14:43:42.745219,0.877704,287,0.04673732190333843,5,33,60,0.6420246697955101,0.5645258871528276,0.0020072896016551526,0.2889165813818088,21,False,True,False,False,True,True,True,False,0.35189401241650203,0.11144887227473677,False,True,True,3,True,True,False,True,True,True,False,False,True,False,False,True,4.366120276041711,127,38.61977415425811,False
46,39.7577699441675,COMPLETE,2026-02-02T14:43:44.432376,1.686281,329,0.05591177655382573,7,36,52,0.6196446515468453,0.6498238433036021,4.735948638127452,0.027030905199594116,17,False,True,False,True,True,False,True,True,0.42620956360982704,0.1469396763319595,True,False,True,4,True,False,True,False,True,True,True,False,False,True,True,True,3.5816312902006437,137,38.61977415425811,False
47,39.7663260835949,COMPLETE,2026-02-02T14:43:45.376659,0.943366,261,0.04079874774796516,4,24,40,0.6504483676126963,0.5930730253946261,0.01326540193676312,0.010039806346028215,19,False,True,True,False,False,False,False,True,0.3234377095948106,0.17290980802310846,False,True,False,3,False,False,True,True,False,True,True,True,False,False,True,True,1.921946076682169,91,38.61977415425811,False
48,41.60684179936745,COMPLETE,2026-02-02T14:43:46.939574,1.562146,363,0.0664091557249145,6,74,66,0.8809287730585289,0.7040144090490275,0.003520295563658254,0.004749214722294928,22,True,True,False,False,True,False,True,True,0.3558541976021702,0.12497877135514388,False,True,True,3,True,False,True,True,True,False,True,False,False,False,True,False,3.093404693142078,109,38.61977415425811,False
49,39.582998395512725,COMPLETE,2026-02-02T14:43:47.962727,1.022215,333,0.05184830411982439,5,42,56,0.9540771788662312,0.9366407477353622,0.004777693768473076,0.060398635315125654,15,False,True,False,False,True,True,True,False,0.3996886584222329,0.14845576773092284,False,False,True,3,True,True,False,True,True,True,True,False,True,False,True,True,2.6798862389340306,99,38.61977415425811,False
50,39.769913773064104,COMPLETE,2026-02-02T14:43:49.674416,1.710981,303,0.06974604602680873,7,62,18,0.8174049199372871,0.7941778623953805,0.0027829873850529815,0.002273157156147785,17,False,True,False,False,False,False,False,True,0.3024596940662459,0.1735704066406713,False,True,True,4,True,False,True,False,True,True,False,False,False,False,False,True,3.9203866764891737,118,38.61977415425811,False
51,38.652726523786605,COMPLETE,2026-02-02T14:43:50.993062,1.317768,380,0.0445682873400651,5,30,77,0.5830257690378957,0.6640551737623801,0.007510917963154999,0.016131715143440202,18,False,True,False,False,True,False,True,True,0.3867462409689486,0.1831807759973044,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,2.294371489584253,104,38.61977415425811,False
52,38.75251884864419,COMPLETE,2026-02-02T14:43:52.456000,1.462003,368,0.044240025745271125,5,31,78,0.5530868992213442,0.639778698279505,0.02863556408708094,0.0183794739973237,20,False,True,False,False,True,False,True,True,0.39152366184027704,0.2067408816181885,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,1.699747805465916,83,38.61977415425811,False
53,39.00159527201801,COMPLETE,2026-02-02T14:43:53.718632,1.261515,372,0.08725983230476432,5,30,78,0.5535642054626198,0.6182280068880538,0.02222247685750102,0.021528988996127596,20,False,True,False,False,True,False,True,True,0.3616126284275499,0.17866188917947756,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,1.5519528479329647,85,38.61977415425811,False
54,38.99398512327769,COMPLETE,2026-02-02T14:43:54.966142,1.246534,399,0.045707980287383126,4,34,78,0.521606892530982,0.7081779039044023,0.055743584687984654,0.008631032303524156,22,False,True,False,False,True,False,True,True,0.3927550329447276,0.22792085578411,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,1.0035053329639998,70,38.61977415425811,False
55,38.86838917035828,COMPLETE,2026-02-02T14:43:56.236214,1.269346,306,0.06032734433954057,5,23,73,0.5958942886200489,0.6414210262572841,0.031323516014278616,0.04246752699794496,19,False,True,False,False,True,False,True,True,0.3391865345719075,0.20845251202218992,False,True,True,3,True,False,True,True,True,True,True,False,False,False,True,True,1.6217082398257896,89,38.61977415425811,False
56,39.10030750301153,COMPLETE,2026-02-02T14:43:57.464438,1.227331,343,0.042722784163011424,4,30,80,0.5391292927987019,0.7447157530700992,0.11853017850959816,0.08267687807750522,21,False,False,False,False,True,False,True,True,0.4300349910513477,0.16742684858310078,False,True,True,3,True,False,True,True,True,True,True,False,False,True,True,True,2.8834088570920478,137,38.61977415425811,False
57,38.75181705828322,COMPLETE,2026-02-02T14:43:58.847307,1.381961,369,0.0324386701185572,5,38,71,0.5191886276751658,0.6825393071834991,0.008773292767840321,0.20639607163522075,23,False,True,False,False,True,False,True,True,0.46012051589499986,0.11601892260397544,False,True,False,3,True,False,True,True,True,True,True,False,False,False,True,True,2.051329688833698,82,38.61977415425811,False
58,39.7029889889237,COMPLETE,2026-02-02T14:44:00.545591,1.697536,394,0.026634961993969936,6,50,70,0.5186649558196801,0.6750510214345611,0.010197414092117291,0.2720027196616522,23,False,True,False,True,True,False,False,True,0.467399488444733,0.11211689223846003,False,False,False,3,True,False,True,True,False,True,True,False,False,False,True,True,2.0036687036344425,95,38.61977415425811,False
59,38.41075520175276,COMPLETE,2026-02-02T14:44:02.665392,2.119109,412,0.032212806053992966,6,38,63,0.5783970230528888,0.6854475095387291,0.0050536346169390315,0.1959891106383478,23,True,True,False,False,False,False,True,True,0.5079452619754427,0.13403958495416848,True,True,False,3,True,False,True,True,True,True,True,True,False,False,True,True,2.5682711213732228,72,38.41075520175276,True
60,38.78641834051103,COMPLETE,2026-02-02T14:44:04.537751,1.871427,480,0.02689263162268365,6,45,63,0.586223227434289,0.5836832031843697,0.005027002373323865,0.8785303726549751,17,True,True,True,False,False,False,True,True,0.5184892586902681,0.13295929583130295,True,True,False,4,False,False,True,True,True,True,True,True,False,False,True,True,3.483090632881961,71,38.41075520175276,False
61,38.66460997184448,COMPLETE,2026-02-02T14:44:06.050675,1.512198,404,0.032005238430124844,5,39,73,0.5692840499810722,0.6821328378483996,0.0158210731740608,0.21526056951860445,24,False,True,False,False,False,False,True,True,0.4669870713971364,0.10068184257177412,True,True,False,3,True,False,True,True,True,True,True,True,False,False,True,True,2.632645604489049,81,38.41075520175276,False
62,38.82159784486633,COMPLETE,2026-02-02T14:44:07.935527,1.883926,407,0.031812135228127744,6,40,73,0.6027961079944506,0.7008833888686014,0.01871910185603609,0.20493517613368573,23,True,True,False,False,False,False,True,True,0.5391256451763891,0.10113823204631167,True,True,False,3,True,False,True,True,True,True,True,True,False,False,True,True,2.631429714152955,150,38.41075520175276,False
