trial,cv_mae,state,datetime,duration_sec,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_max_error_lag,param_use_roll_3h,param_use_roll_6h,param_use_roll_12h,param_use_roll_24h,param_use_roll_48h,param_use_roll_median,param_use_error_trends,param_use_momentum,param_momentum_w1,param_momentum_w2,param_use_load_volatility,param_use_load_trend,param_use_load_range,param_reg_lag_depth,param_use_reg_std,param_use_reg_range,param_use_seasonal_error,param_use_hour_cyclical,param_use_dow_cyclical,param_use_is_weekend,param_use_same_hour_yesterday,param_use_same_hour_2d,param_use_same_hour_week,param_use_error_sign,param_use_forecast_level,param_use_forecast_diff,param_finetune_weight,param_finetune_days,best_so_far,is_best
0,49.61647545640023,COMPLETE,2026-02-02T14:47:38.819333,3.219677,518,0.012729053281562699,10,49,35,0.8046191903090758,0.6362677306529508,0.008360262682260072,0.024889497452889348,19,True,True,False,True,True,True,False,False,0.6450697344147837,0.1446544189132657,True,True,False,4,True,False,False,False,False,True,True,False,True,False,False,True,3.221473818685235,77,49.61647545640023,True
1,48.88685066998874,COMPLETE,2026-02-02T14:47:40.261110,1.440869,311,0.02142872792726675,9,27,66,0.6343281852389641,0.9468489477534172,1.7269028730488314,0.00011871766010506244,22,True,False,False,False,False,False,True,True,0.6413190636847275,0.11453624464066753,False,True,True,3,False,False,False,True,False,True,True,False,False,False,False,True,4.010133136847191,81,48.88685066998874,True
2,51.34400801834446,COMPLETE,2026-02-02T14:47:42.104500,1.842654,521,0.03048769177201436,6,29,53,0.6758649829126182,0.7080746562140465,0.00505275651481245,4.056631295335653,13,True,False,False,False,False,True,True,True,0.43520945933352384,0.23454066088112765,False,False,True,2,True,False,True,True,False,True,False,True,True,False,True,False,2.706909427686941,124,48.88685066998874,False
3,53.94527686076076,COMPLETE,2026-02-02T14:47:44.089353,1.983544,114,0.011994355049225656,10,99,46,0.6459974302501224,0.5813432018938746,0.0009554242906280912,0.00017727940234473744,24,False,False,True,True,True,True,True,False,0.30892303028824325,0.20792865019108947,True,False,True,1,False,True,True,True,False,False,False,False,False,False,True,False,5.22422577997005,60,48.88685066998874,False
4,49.72637967523547,COMPLETE,2026-02-02T14:47:45.602231,1.511978,273,0.014584842398523304,10,36,69,0.7135405497817241,0.7605098075121092,0.006398412833290975,0.061707868400546616,23,False,True,True,False,False,False,False,False,0.5682659442342544,0.1645941949825932,False,True,False,2,True,True,False,False,False,True,False,False,True,True,False,True,7.808004482946062,146,48.88685066998874,False
5,52.260577092982885,COMPLETE,2026-02-02T14:47:47.410691,1.807508,560,0.07359037839683612,11,30,20,0.9586585555220299,0.7271230485478282,0.005846480996484542,0.0187252963831432,13,False,False,False,False,True,True,True,True,0.40609291218265064,0.10225511752628157,True,True,True,2,False,False,False,True,True,True,False,True,False,False,False,False,7.90208366016674,73,48.88685066998874,False
6,51.222571356745085,COMPLETE,2026-02-02T14:47:49.546524,2.134963,394,0.01211432515501845,12,43,37,0.5184067712921652,0.7176158990623549,0.05198965241324845,0.3220655530926869,7,True,True,False,True,False,False,False,True,0.37024606273772676,0.12245272786018993,True,False,False,1,True,False,True,True,False,True,True,False,True,False,True,False,5.90683724352483,147,48.88685066998874,False
7,51.74128493970758,COMPLETE,2026-02-02T14:47:52.111262,2.563858,378,0.045903529844014905,10,72,51,0.8141011373255751,0.8926246695318756,0.45984014579575516,1.191871156695867,17,False,True,True,False,True,False,False,True,0.49707863128759816,0.24756287400269336,True,False,True,4,False,False,True,False,True,False,False,False,True,False,False,False,6.420477369774462,53,48.88685066998874,False
8,50.52465698371796,COMPLETE,2026-02-02T14:47:53.303727,1.191045,231,0.02433476264039442,4,23,10,0.788874998375636,0.9980204253545177,0.0005066800656138979,0.1507585203856953,17,False,False,False,True,False,True,True,False,0.47703871400994435,0.17288364227198655,False,True,False,3,True,False,True,True,True,True,True,True,False,True,True,False,5.143131927013207,110,48.88685066998874,False
9,50.31323715723599,COMPLETE,2026-02-02T14:47:57.879899,4.575414,550,0.059926880613379585,10,76,33,0.9520967654913582,0.9402930203244423,0.6752911279707381,3.341335934783837,19,False,True,False,False,True,True,True,False,0.5735425413382744,0.2489939731104673,False,True,True,4,False,False,True,False,False,False,True,False,True,True,False,True,6.279666413074439,145,48.88685066998874,False
