idm_spread,transaction_cost,gross_pnl,net_pnl,impact_pct
0.5,2057.75,70160.8,68103.05,2.932905554098586
1.0,4115.5,70160.8,66045.3,5.865811108197172
2.0,8231.0,70160.8,61929.8,11.731622216394344
3.0,12346.5,70160.8,57814.3,17.597433324591506
5.0,20577.5,70160.8,49583.3,29.32905554098585
