date,daily_pnl,mean_30d,std_30d,sharpe_30d,total_30d,win_rate_30d,max_dd_30d,mean_90d,std_90d,sharpe_90d,total_90d,win_rate_90d,max_dd_90d,mean_180d,std_180d,sharpe_180d,total_180d,win_rate_180d,max_dd_180d
2025-01-01,406.49,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-02,137.0,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-03,165.60000000000002,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-04,80.63000000000001,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-05,100.2,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-06,155.14,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-07,204.96000000000004,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-08,124.54999999999995,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-09,138.23000000000005,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-10,140.12,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-11,29.989999999999995,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-12,111.23,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-13,261.7,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-14,294.26,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-15,378.48,181.90533333333332,108.08389419247219,26.716817214187376,2728.58,1.0,0.0,,,,,,0.0,,,,,,0.0
2025-01-16,243.27,185.740625,105.53990256256951,27.937689358033957,2971.85,1.0,0.0,,,,,,0.0,,,,,,0.0
2025-01-17,235.06,188.64176470588234,102.88627940809783,29.10587490363718,3206.91,1.0,0.0,,,,,,0.0,,,,,,0.0
2025-01-18,137.45,185.79777777777778,100.54100477829961,29.33577490491975,3344.36,1.0,0.0,,,,,,0.0,,,,,,0.0
2025-01-19,113.14999999999998,181.9742105263158,99.1195456291593,29.144110963618473,3457.51,1.0,0.0,,,,,,0.0,,,,,,0.0
2025-01-20,1063.5100000000002,226.05100000000002,219.4603906930768,16.351234800831755,4521.02,1.0,0.0,,,,,,0.0,,,,,,0.0
2025-01-21,692.1799999999998,248.24761904761903,236.85693523527578,16.637928619100407,5213.2,1.0,0.0,,,,,,0.0,,,,,,0.0
2025-01-22,435.0900000000001,256.74045454545455,234.55605575269152,17.375924711144297,5648.29,1.0,0.0,,,,,,0.0,,,,,,0.0
