quarter,bess_gross,spec_gross,portfolio_gross,n_days,avg_price_range
2025Q1,22719.06,2931.5800000000004,25650.64,90,131.12933333333334
2025Q2,28410.91,3045.075,31455.985,91,180.95681318681318
2025Q3,28210.14,711.185,28921.325,92,168.81771739130434
2025Q4,16545.9725,43026.585,59572.5575,92,93.05744565217391
2026Q1,5629.66,20446.375,26076.035,25,113.27159999999999
