date,daily_pnl,mean_30d,std_30d,sharpe_30d,total_30d,win_rate_30d,max_dd_30d,mean_90d,std_90d,sharpe_90d,total_90d,win_rate_90d,max_dd_90d,mean_180d,std_180d,sharpe_180d,total_180d,win_rate_180d,max_dd_180d
2025-01-01,406.49,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-02,600.95,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-03,-308.7200000000001,,,,,,-308.72,,,,,,-308.72,,,,,,-308.72
2025-01-04,82.08999999999993,,,,,,-308.72,,,,,,-308.72,,,,,,-308.72
2025-01-05,172.27000000000004,,,,,,-308.72,,,,,,-308.72,,,,,,-308.72
2025-01-06,265.18,,,,,,-308.72,,,,,,-308.72,,,,,,-308.72
2025-01-07,-20.359999999999957,,,,,,-308.72,,,,,,-308.72,,,,,,-308.72
2025-01-08,-355.41,,,,,,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-09,69.85999999999999,,,,,,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-10,1.0599999999999739,,,,,,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-11,447.95,,,,,,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-12,589.78,,,,,,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-13,359.61999999999995,,,,,,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-14,280.2699999999999,,,,,,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-15,-276.8399999999999,154.2793333333333,308.9172009609109,7.928041828046103,2314.1899999999996,0.7333333333333333,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-16,429.74,171.495625,306.2846047272319,8.88849327094989,2743.93,0.75,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-17,418.9200000000001,186.04999999999998,302.5693722727071,9.761239765799703,3162.85,0.7647058823529411,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-18,322.18999999999994,193.61333333333334,295.2841132357306,10.408675053181309,3485.04,0.7777777777777778,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-19,-192.52999999999997,173.29,300.32713480469926,9.15965675214524,3292.5099999999998,0.7368421052631579,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-20,1064.1000000000004,217.83050000000003,353.7320064603622,9.775626526961215,4356.610000000001,0.75,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-21,940.0899999999999,252.2238095238095,379.09221874731475,10.561886133159543,5296.7,0.7619047619047619,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-22,300.8400000000001,254.43363636363637,370.1012928857059,10.913252235450726,5597.54,0.7727272727272727,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-23,541.1100000000001,266.89782608695657,366.49968720012106,11.560369047261025,6138.650000000001,0.782608695652174,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-24,-158.02999999999997,249.19250000000002,368.78912481902535,10.726477640673377,5980.620000000001,0.75,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-25,407.23,255.514,362.405243063618,11.192329803738831,6387.85,0.76,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-26,414.43,261.6261538461539,356.44828072613205,11.651582184161194,6802.280000000001,0.7692307692307693,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-27,694.77,277.6685185185185,359.32893441165174,12.266897150065594,7497.05,0.7777777777777778,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-28,151.49999999999994,273.1625,353.41714614576193,12.269694049489136,7648.55,0.7857142857142857,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-29,379.19,276.8186206896552,347.60679343316457,12.641753425758056,8027.740000000001,0.7931034482758621,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-30,354.4800000000001,279.4073333333334,341.85517030112214,12.97465797290534,8382.220000000001,0.8,-375.77,,,,,,-375.77,,,,,,-375.77
2025-01-31,246.85,274.086,341.05031707440435,12.757590728518444,8222.58,0.8,-375.77,,,,,,-375.77,,,,,,-375.77
2025-02-01,143.91,258.85133333333334,336.11816010130286,12.225276747874762,7765.54,0.8,-375.77,,,,,,-375.77,,,,,,-375.77
2025-02-02,320.03999999999996,279.81,318.6564452131199,13.939294537485843,8394.3,0.8333333333333334,-375.77,,,,,,-375.77,,,,,,-375.77
2025-02-03,202.00000000000014,283.807,316.837709443135,14.219571470688358,8514.210000000001,0.8333333333333334,-375.77,,,,,,-375.77,,,,,,-375.77
2025-02-04,386.46999999999997,290.94700000000006,316.65099306323214,14.585902275315334,8728.410000000002,0.8333333333333334,-375.77,,,,,,-375.77,,,,,,-375.77
2025-02-05,450.54999999999995,297.12600000000003,317.93685498202643,14.835427067978362,8913.78,0.8333333333333334,-355.4100000000001,,,,,,-375.77,,,,,,-375.77
2025-02-06,90.87,300.83366666666666,314.7392594917296,15.173151311616706,9025.01,0.8666666666666667,-276.84000000000015,,,,,,-375.77,,,,,,-375.77
2025-02-07,-311.05000000000007,302.3123333333333,311.6388006660511,15.399428772505754,9069.369999999999,0.8666666666666667,-311.0499999999993,,,,,,-375.77,,,,,,-375.77
2025-02-08,294.65999999999997,309.8056666666667,308.5440498331985,15.939417711053432,9294.17,0.8666666666666667,-311.0499999999993,,,,,,-375.77,,,,,,-375.77
2025-02-09,200.12,316.441,303.7790553306568,16.536180015043303,9493.23,0.8666666666666667,-311.0499999999993,,,,,,-375.77,,,,,,-375.77
2025-02-10,224.76000000000005,309.0013333333334,303.1797036666576,16.179328752552305,9270.04,0.8666666666666667,-311.0499999999993,,,,,,-375.77,,,,,,-375.77
2025-02-11,135.81999999999994,293.8693333333333,299.9945884906562,15.550383982460945,8816.08,0.8666666666666667,-311.0499999999993,,,,,,-375.77,,,,,,-375.77
2025-02-12,563.0,300.6486666666667,303.8054745906735,15.709557671563575,9019.460000000001,0.8666666666666667,-311.0499999999993,,,,,,-375.77,,,,,,-375.77
2025-02-13,742.175,316.0455,314.26178215739407,15.964609954937664,9481.365,0.8666666666666667,-311.0499999999993,,,,,,-375.77,,,,,,-375.77
2025-02-14,264.0000000000001,334.0735,293.9328341327201,18.042395363380983,10022.205,0.9,-311.0499999999993,274.14211111111115,307.65890058577287,14.145116851992894,12336.395,0.8444444444444444,-375.77,,,,,,-375.77
2025-02-15,-68.51999999999995,317.4648333333334,302.29882630774506,16.670914854697514,9523.945000000002,0.8666666666666667,-311.0499999999993,266.6929347826087,308.3879494953936,13.72822478324413,12267.875,0.8260869565217391,-375.77,,,,,,-375.77
2025-02-16,-135.73000000000002,298.9765,312.66323644245807,15.179606195845412,8969.295,0.8333333333333334,-311.0499999999993,258.1307446808511,310.6143747023244,13.192237290755303,12132.145,0.8085106382978723,-375.77,,,,,,-375.77
2025-02-17,448.0599999999999,303.17216666666667,313.82784639881163,15.335506392583715,9095.165,0.8333333333333334,-311.0499999999993,262.08760416666667,308.51259252721155,13.485711231250464,12580.205,0.8125,-375.77,,,,,,-375.77
2025-02-18,708.37,333.2021666666667,307.80424910155364,17.184364515066328,9996.065,0.8666666666666667,-311.0499999999993,271.1954081632653,311.8681696777715,13.804209787308675,13288.575,0.8163265306122449,-375.77,,,,,,-375.77
2025-02-19,257.23999999999995,306.3068333333333,275.26902555839405,17.664429281189722,9189.205,0.8666666666666667,-311.0499999999993,270.91630000000004,308.6757466107833,13.932623416978135,13545.815,0.82,-375.77,,,,,,-375.77
2025-02-20,-266.95,266.0721666666667,267.54280992176433,15.787248044572397,7982.165000000001,0.8333333333333334,-311.0499999999993,260.3699019607843,314.71837300432617,13.13315145026569,13278.865,0.803921568627451,-375.77,,,,,,-375.77
2025-02-21,-16.709999999999965,255.4871666666667,272.3582316377335,14.891171133779565,7664.615000000001,0.8,-311.0499999999993,255.0414423076923,313.9776305981307,12.894731941430194,13262.155,0.7884615384615384,-375.77,,,,,,-375.77
2025-02-22,353.53999999999996,249.23483333333334,267.68821215813654,14.780181355130058,7477.045,0.8,-311.0499999999993,256.8999056603773,311.2381751916457,13.103018518755743,13615.695,0.7924528301886793,-375.77,,,,,,-375.77
2025-02-23,-62.54999999999997,252.41750000000002,263.20921570554395,15.223644729242963,7572.525000000001,0.8,-311.0499999999993,250.98416666666668,311.33786016697206,12.797191211990567,13553.145,0.7777777777777778,-375.77,,,,,,-375.77
2025-02-24,687.2299999999999,261.75083333333333,273.6455870725519,15.18447897236447,7852.525,0.8,-311.0499999999993,258.9159090909091,314.00068370132414,13.089661420948003,14240.375,0.7818181818181819,-375.77,,,,,,-375.77
2025-02-25,153.47500000000002,253.05233333333334,272.7711004187909,14.726931298587782,7591.57,0.8,-311.0499999999993,257.03303571428575,311.4519206769227,13.100811638918978,14393.85,0.7857142857142857,-375.77,,,,,,-375.77
2025-02-26,67.97000000000004,232.15900000000002,261.54469224602695,14.090937346516348,6964.77,0.8,-311.0499999999993,253.7161403508772,309.6727583935776,13.006048341877708,14461.82,0.7894736842105263,-375.77,,,,,,-375.77
2025-02-27,213.26999999999998,234.218,261.1306246537716,14.238450539377807,7026.54,0.8,-311.0499999999993,253.01879310344827,306.9902522472556,13.083636343702436,14675.09,0.7931034482758621,-375.77,,,,,,-375.77
2025-02-28,139.31999999999994,226.2223333333333,260.20931361625713,13.801074835271303,6786.669999999999,0.8,-311.0499999999993,251.09169491525424,304.69204804932394,13.081920291767945,14814.41,0.7966101694915254,-375.77,,,,,,-375.77
2025-03-01,108.53999999999996,218.02433333333332,259.9032052108064,13.316607587646617,6540.73,0.8,-311.0499999999993,248.71583333333334,302.65890805865916,13.045185017253527,14922.95,0.8,-375.77,,,,,,-375.77
2025-03-02,951.17,241.50166666666664,292.3788697237191,13.112165427236047,7245.049999999999,0.8,-311.0499999999993,260.2314754098361,313.31281249780847,13.185054803668379,15874.12,0.8032786885245902,-375.77,,,,,,-375.77
2025-03-03,700.5000000000002,260.05466666666666,303.4233200126042,13.605545715864237,7801.639999999999,0.8,-311.0499999999993,267.3325806451613,315.7246437033254,13.441374435063135,16574.62,0.8064516129032258,-375.77,,,,,,-375.77
2025-03-04,715.3899999999999,273.233,314.50166351075865,13.79146729921284,8196.99,0.8,-311.0499999999993,274.4446031746032,318.21513177751103,13.690967452260992,17290.01,0.8095238095238095,-375.77,,,,,,-375.77
2025-03-05,395.0899999999999,279.6693333333333,314.9690620130845,14.095394016200007,8390.08,0.8,-311.0499999999993,276.3296875,316.0395251236418,13.879902509722559,17685.1,0.8125,-375.77,,,,,,-375.77
2025-03-06,218.89000000000004,274.0833333333333,314.49529538812556,13.834668101079638,8222.5,0.8,-311.0499999999993,275.446,313.64167427052604,13.941290499531965,17903.99,0.8153846153846154,-375.77,,,,,,-375.77
2025-03-07,319.0150000000001,269.6988333333333,312.86292519216596,13.684383500141061,8090.965,0.8,-311.0499999999993,276.1061363636364,311.2658988460799,14.081365963670255,18223.005,0.8181818181818182,-375.77,,,,,,-375.77
2025-03-08,468.85,282.29816666666665,313.02375300276617,14.31630802591898,8468.945,0.8,-283.65999999999985,278.9829104477612,309.79503493897437,14.295633909572105,18691.855,0.8208955223880597,-375.77,,,,,,-375.77
2025-03-09,420.35,306.6781666666667,293.06330716417864,16.61199082310218,9200.345000000001,0.8333333333333334,-283.65999999999985,281.06183823529415,307.95198221464443,14.488357340391058,19112.205,0.8235294117647058,-375.77,,,,,,-375.77
2025-03-10,306.18,307.0621666666667,293.0545639634347,16.633287379302526,9211.865000000002,0.8333333333333334,-283.65999999999985,281.4258695652174,305.6941989553744,14.614268754475674,19418.385000000002,0.8260869565217391,-375.77,,,,,,-375.77
2025-03-11,405.58000000000004,313.91083333333336,292.869887301639,17.01499610972938,9417.325,0.8333333333333334,-283.65999999999985,283.1995,303.83353058554894,14.79643369789695,19823.965,0.8285714285714286,-375.77,,,,,,-375.77
2025-03-12,120.0400000000001,310.42016666666666,294.5881310712886,16.727650770298148,9312.605,0.8333333333333334,-283.65999999999985,280.90147887323945,302.2763226330627,14.751974938725796,19944.005,0.8309859154929577,-375.77,,,,,,-375.77
2025-03-13,87.68000000000004,308.8155,295.70101145370023,16.578550272493693,9264.465,0.8333333333333334,-283.65999999999985,278.21784722222225,301.00265008288545,14.672865514912935,20031.685,0.8333333333333334,-375.77,,,,,,-375.77
