strategy,mean,median,std,p5,p10,p25,p75,p90,p95,prob_positive,prob_loss_gt_50k,worst,best,var_95,cvar_95
BESS,95026.03860875,95022.23125000001,2769.371229774931,90509.92825,91495.743,93159.191875,96882.295,98570.1525,99622.14025000001,1.0,0.0,84129.82500000001,105309.27500000001,90509.92825,89356.49920500001
Speculative,65628.207944,65490.205,10803.670111181975,48144.6305,51912.593499999995,58321.552500000005,72910.58125,79512.02800000002,83383.38224999994,1.0,0.0,30021.46,107071.665,48144.6305,43801.23503999999
Portfolio,160654.24655275,160571.225,10963.690747026762,142919.23012499997,146623.319,153325.97687500002,167841.3675,174788.92275,178576.10450000002,1.0,0.0,120665.68500000001,199082.885,142919.23012499997,138421.56891499998
