date,bess_net,spec_net,bess_gross,spec_gross,bess_enh_gross,bess_enh_net,portfolio_gross,portfolio_net,portfolio_enh_gross,portfolio_enh_net,cum_bess_gross,cum_spec_gross,cum_portfolio_gross,cum_bess_net,cum_spec_net,cum_portfolio_net,cum_bess_enh_gross,cum_portfolio_enh_gross,month
2025-01-01,188.23766141911932,0.0,406.49,0.0,469.85,251.59766141911933,406.49,188.23766141911932,469.85,251.59766141911933,406.49,0.0,406.49,188.23766141911932,0.0,188.23766141911932,469.85,469.85,2025-01
2025-01-02,-81.25233858088069,439.95,137.0,463.95,164.22000000000003,-54.03233858088066,600.95,358.6976614191193,628.1700000000001,385.9176614191193,543.49,463.95,1007.44,106.98532283823863,439.95,546.9353228382386,634.07,1098.02,2025-01
2025-01-03,-52.65233858088067,-498.3200000000001,165.60000000000002,-474.3200000000001,165.60000000000002,-52.65233858088067,-308.7200000000001,-550.9723385808808,-308.7200000000001,-550.9723385808808,709.09,-10.370000000000118,698.72,54.332984257357964,-58.37000000000012,-4.037015742642211,799.6700000000001,789.3,2025-01
2025-01-04,-137.6223385808807,-22.540000000000077,80.63000000000001,1.4599999999999227,29.88999999999997,-188.36233858088073,82.08999999999993,-160.16233858088077,31.34999999999989,-210.9023385808808,789.72,-8.910000000000196,780.81,-83.28935432352273,-80.9100000000002,-164.19935432352298,829.5600000000001,820.6499999999999,2025-01
2025-01-05,-118.05233858088069,48.07000000000005,100.2,72.07000000000005,113.2,-105.05233858088069,172.27000000000004,-69.98233858088064,185.27000000000004,-56.982338580880636,889.9200000000001,63.159999999999854,953.0799999999999,-201.34169290440343,-32.840000000000146,-234.18169290440363,942.7600000000001,1005.9199999999998,2025-01
2025-01-06,-63.1123385808807,107.04,155.14,110.04,213.42,-4.832338580880702,265.18,43.9276614191193,323.46,102.2076614191193,1045.06,173.19999999999987,1218.26,-264.45403148528413,74.19999999999986,-190.25403148528432,1156.18,1329.3799999999999,2025-01
2025-01-07,-13.292338580880653,-249.32,204.96000000000004,-225.32,275.72,57.46766141911934,-20.359999999999957,-262.61233858088065,50.400000000000034,-191.85233858088066,1250.02,-52.12000000000012,1197.9,-277.7463700661648,-175.12000000000012,-452.86637006616496,1431.9,1379.78,2025-01
2025-01-08,-93.70233858088073,-503.96,124.54999999999995,-479.96,163.98000000000002,-54.27233858088067,-355.41,-597.6623385808807,-315.97999999999996,-558.2323385808807,1374.57,-532.0800000000002,842.49,-371.4487086470455,-679.0800000000002,-1050.5287086470457,1595.88,1063.8,2025-01
2025-01-09,-80.02233858088064,-92.37000000000006,138.23000000000005,-68.37000000000006,124.52000000000004,-93.73233858088065,69.85999999999999,-172.3923385808807,56.14999999999998,-186.1023385808807,1512.8,-600.4500000000003,912.35,-451.4710472279262,-771.4500000000003,-1222.9210472279265,1720.4,1119.9499999999998,2025-01
2025-01-10,-78.13233858088068,-163.06000000000003,140.12,-139.06000000000003,140.12,-78.13233858088068,1.0599999999999739,-241.19233858088072,1.0599999999999739,-241.19233858088072,1652.92,-739.5100000000003,913.41,-529.6033858088069,-934.5100000000003,-1464.1133858088072,1860.52,1121.0099999999998,2025-01
