scenario,capex_per_kwh,cycle_life,total_capex,total_degradation_cost,gross_revenue,net_revenue,net_annual,payback_years
"Conservative (300 EUR/kWh, 4000 cycles)",300.0,4000,600000.0,245064.93839835736,192322.48249999998,-52742.4558983573,-25281.078762303157,600000.0
"Mid-range  (250 EUR/kWh, 5000 cycles)",250.0,5000,500000.0,166158.28199863108,192322.48249999998,26164.200501368923,12541.304767880578,39.86826006178763
"Optimistic (200 EUR/kWh, 6000 cycles)",200.0,6000,400000.0,112626.62559890485,192322.48249999998,79695.85690109512,38200.67156578083,10.471020105267197
