date,daily_pnl,mean_30d,std_30d,sharpe_30d,total_30d,win_rate_30d,max_dd_30d,mean_90d,std_90d,sharpe_90d,total_90d,win_rate_90d,max_dd_90d,mean_180d,std_180d,sharpe_180d,total_180d,win_rate_180d,max_dd_180d
2025-01-01,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-02,463.95,,,,,,0.0,,,,,,0.0,,,,,,0.0
2025-01-03,-474.3200000000001,,,,,,-474.3200000000001,,,,,,-474.3200000000001,,,,,,-474.3200000000001
2025-01-04,1.4599999999999227,,,,,,-474.3200000000001,,,,,,-474.3200000000001,,,,,,-474.3200000000001
2025-01-05,72.07000000000005,,,,,,-474.3200000000001,,,,,,-474.3200000000001,,,,,,-474.3200000000001
2025-01-06,110.04,,,,,,-474.3200000000001,,,,,,-474.3200000000001,,,,,,-474.3200000000001
2025-01-07,-225.32,,,,,,-516.0700000000002,,,,,,-516.0700000000002,,,,,,-516.0700000000002
2025-01-08,-479.96,,,,,,-996.0300000000002,,,,,,-996.0300000000002,,,,,,-996.0300000000002
2025-01-09,-68.37000000000006,,,,,,-1064.4000000000003,,,,,,-1064.4000000000003,,,,,,-1064.4000000000003
2025-01-10,-139.06000000000003,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003
2025-01-11,417.96,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003
2025-01-12,478.55,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003
2025-01-13,97.91999999999996,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003
2025-01-14,-13.990000000000087,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003
2025-01-15,-655.3199999999999,-27.626000000000015,337.4439638517779,-1.299620681641397,-414.3900000000002,0.4666666666666667,-1203.4600000000003,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003
2025-01-16,186.47000000000003,-14.245000000000012,330.3664915413385,-0.6844894090246891,-227.9200000000002,0.5,-1203.4600000000003,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003
2025-01-17,183.86000000000004,-2.5917647058823614,323.464382491243,-0.12719480548208115,-44.060000000000144,0.5294117647058824,-1203.4600000000003,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003
2025-01-18,184.73999999999995,7.8155555555555445,316.89772670508324,0.3915083248997798,140.6799999999998,0.5555555555555556,-1203.4600000000003,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003
2025-01-19,-305.67999999999995,-8.684210526315796,316.25567507100936,-0.43590543721440655,-165.00000000000014,0.5263157894736842,-1203.4600000000003,,,,,,-1203.4600000000003,,,,,,-1203.4600000000003
