lead_time,mae,rmse,r2,bias,n_samples,directional_accuracy
12,4.669516138043421,6.365997531288205,0.6657761158739459,-0.32763278661697826,9831,0.770420099684671
9,3.6894776102866755,4.973040815290989,0.7928403064681765,-0.6063037987154067,9878,0.8180805831139907
6,2.8161352683700307,3.936043143158559,0.8671280724216384,-0.21442920259360654,10547,0.8594861097942543
3,2.0290734451772394,3.036271084249576,0.9204421224503223,-0.25702630209422056,10493,0.9000285904888974
0,1.4128599507789787,2.905590714441103,0.9300861903924914,-0.3329440123239098,10911,0.9387773806250573
