lead_time,mae,rmse,r2,bias,n_samples,directional_accuracy,mae_small,n_small,mae_medium,n_medium,mae_large,n_large,mae_extreme,n_extreme,mae_night,mae_morning,mae_peak,mae_afternoon,mae_evening,mae_positive,mae_negative
12,4.675522599007221,6.37801389557764,0.6689322082839793,-0.35076258404300675,9964,0.7645523885989562,2.9619922405605172,2162,3.4921633960303256,2640,4.649328604283368,2382,7.154340953774482,2780,3.765560108891718,5.171674179192399,5.248512765558887,4.894757552136035,4.422013445234781,4.616436658592135,4.74386789458692
9,3.7046731958662598,5.0991262381991795,0.7870058161610785,-0.6502673643411989,10041,0.8178468280051787,2.592152912305467,2180,2.9234282706719745,2672,3.857604910603124,2401,5.191614232881486,2788,3.0318800129225125,4.059676565676794,4.043217689035589,3.8802117755897263,3.63054344865698,3.7037358620414804,3.705759463188463
6,2.866022511621732,3.9850725894190275,0.8694499841323875,-0.68378575321745,10032,0.8636363636363636,2.0775066872274786,2186,2.35423684818865,2675,2.9765062862077243,2400,3.886434342297644,2771,2.329113441488867,3.074241254840278,3.1969162047319943,2.984249520582267,2.8956019901360106,2.8738545675503935,2.856910167059487
3,2.219447440916896,3.2606054782848375,0.9118000772792907,-0.7679582057715795,10010,0.8979020979020979,1.726007755030755,2183,1.7985408738989777,2666,2.2279436409923794,2400,3.0086270359107585,2761,1.8258532178180589,2.282665762696844,2.542808685321801,2.354600289109174,2.1858350197967717,2.155086317347675,2.294384662629384
0,1.7063862324541916,3.3114743758543708,0.9108112129496708,-0.8620598538955557,10203,0.9338429873566598,1.204470382264599,2210,1.1986937823432833,2713,1.5719831839092016,2443,2.698614041289337,2837,1.268192288988945,1.7583802302222349,2.263381361835836,1.8048999132474464,1.5277779356659347,1.4601209344608697,1.9895446250267916
