datetime,hour,day_of_week,is_weekend,imbalance,baseline_12,baseline_9,error_12,error_9,abs_error_12,abs_error_9,imb_magnitude,proxy_lag1,proxy_rolling_mean4,proxy_rolling_std4
2025-10-01 00:00:00,0,2,0,-16.45,-14.38775,-21.441950000000002,2.062249999999999,-4.991950000000003,2.062249999999999,4.991950000000003,10-20,-1.03795,-0.6869624999999908,2.391947132350038
2025-10-01 00:15:00,0,2,0,-12.446,-8.106,-15.2752,4.34,-2.8292,4.34,2.8292,10-20,-17.7726,-4.390824999999991,9.111441544792275
2025-10-01 00:30:00,0,2,0,-4.681,-11.49425,-6.64345,-6.813249999999999,-1.9624499999999996,6.813249999999999,1.9624499999999996,2-5,-11.806949999999999,-8.01239999999999,8.197630036276784
2025-10-01 00:45:00,0,2,0,-2.62,-2.1775,-5.979300000000001,0.4424999999999999,-3.359300000000001,0.4424999999999999,3.359300000000001,2-5,-6.5562,-9.293424999999992,7.161458994332154
2025-10-01 01:00:00,1,2,0,0.442,6.3605,-2.3791,5.9185,-2.8211000000000004,5.9185,2.8211000000000004,<2,-4.4465,-10.145562499999992,5.952443363495875
2025-10-01 01:15:00,1,2,0,2.666,4.36375,3.87915,1.6977499999999996,1.2131500000000002,1.6977499999999996,1.2131500000000002,2-5,0.907,-5.4756624999999906,5.261505447964345
2025-10-01 01:30:00,1,2,0,2.776,0.9125,-2.9559,-1.8634999999999997,-5.7318999999999996,1.8634999999999997,5.7318999999999996,2-5,3.2675999999999994,-1.7070249999999914,4.56797701568569
2025-10-01 01:45:00,1,2,0,2.647,1.9935,-1.9257000000000002,-0.6534999999999997,-4.5727,0.6534999999999997,4.5727,2-5,2.45715,0.5463125000000086,3.4696290744051157
2025-10-01 02:00:00,2,2,0,-1.074,8.4155,4.0657,9.4895,5.1396999999999995,9.4895,5.1396999999999995,<2,1.1955500000000001,1.9568250000000087,1.1030455358530566
2025-10-01 02:15:00,2,2,0,4.228,3.01375,0.82315,-1.2142499999999998,-3.4048499999999997,1.2142499999999998,3.4048499999999997,2-5,-0.08904999999999988,1.7078125000000088,1.470325524826755
2025-10-01 02:30:00,2,2,0,3.285,10.3215,5.1677,7.0365,1.8826999999999998,7.0365,1.8826999999999998,2-5,2.61205,1.5439250000000089,1.2600057417192345
2025-10-01 02:45:00,2,2,0,-0.203,3.7095,2.8445,3.9124999999999996,3.0475,3.9124999999999996,3.0475,<2,4.543,2.065387500000009,1.9862545831179352
2025-10-01 03:00:00,3,2,0,0.852,-0.539,-3.9762,-1.391,-4.8282,1.391,4.8282,<2,0.5325,1.899625000000009,2.107038980219723
2025-10-01 03:15:00,3,2,0,7.762,6.38475,5.27975,-1.3772499999999992,-2.4822499999999996,1.3772499999999992,2.4822499999999996,5-10,-0.5529999999999998,1.7836375000000089,2.260204159426841
2025-10-01 03:30:00,3,2,0,3.088,5.584,6.317,2.4959999999999996,3.229,2.4959999999999996,3.229,2-5,7.8165,3.084750000000009,3.8411437641235366
2025-10-01 03:45:00,3,2,0,1.299,-2.25225,0.9609500000000002,-3.55125,-0.33804999999999974,3.55125,0.33804999999999974,<2,4.629199999999999,3.1063000000000085,3.852277740938703
2025-10-01 04:00:00,4,2,0,-0.96,-0.09625,-2.05585,0.86375,-1.09585,0.86375,1.09585,<2,1.28095,3.2934125000000085,3.7007901503989777
2025-10-01 04:15:00,4,2,0,-3.16,-0.46225,-0.4648500000000001,2.69775,2.69515,2.69775,2.69515,2-5,-0.8900499999999999,3.2091500000000086,3.819494377750163
2025-10-01 04:30:00,4,2,0,-0.101,-3.9085,-1.0699,-3.8075,-0.9689000000000001,3.8075,0.9689000000000001,<2,-2.4798999999999998,0.6350500000000088,3.076755030059908
2025-10-01 04:45:00,4,2,0,-3.169,5.547,10.278200000000002,8.716,13.447200000000002,8.716,13.447200000000002,2-5,-2.0074,-1.024099999999991,1.675057952728585
2025-10-01 05:00:00,5,2,0,-2.871,-3.57475,6.210450000000001,-0.7037499999999999,9.08145,0.7037499999999999,9.08145,2-5,-1.4485,-1.706462499999991,0.6884385634349757
2025-10-01 05:15:00,5,2,0,7.085,-5.69275,7.22045,-12.777750000000001,0.13544999999999963,12.777750000000001,0.13544999999999963,5-10,-2.51685,-2.1131624999999907,0.5001406258488639
2025-10-01 05:30:00,5,2,0,-1.965,4.445,6.441600000000001,6.41,8.406600000000001,6.41,8.406600000000001,<2,4.95955,-0.253299999999991,3.502514980933814
2025-10-01 05:45:00,5,2,0,-5.465,-4.34025,3.45015,1.1247499999999997,8.91515,1.1247499999999997,8.91515,5-10,-0.22594999999999993,0.19206250000000907,3.313272489139809
2025-10-01 06:00:00,6,2,0,-21.772,-14.34925,-10.12185,7.422749999999999,11.650149999999998,7.422749999999999,11.650149999999998,>20,-3.5345,-0.32943749999999095,3.7877564824872443
2025-10-01 06:15:00,6,2,0,-21.17,-29.95775,-23.70935,-8.787749999999999,-2.539349999999999,8.787749999999999,2.539349999999999,>20,-18.47475,-4.318912499999991,10.06388339040278
2025-10-01 06:30:00,6,2,0,-15.528,-18.748,-12.463400000000002,-3.2200000000000006,3.0645999999999987,3.2200000000000006,3.0645999999999987,10-20,-23.393400000000003,-11.40714999999999,11.26379169855048
2025-10-01 06:45:00,6,2,0,-18.458,-21.20575,-15.811150000000001,-2.74775,2.646849999999997,2.74775,2.646849999999997,10-20,-15.0034,-15.101512499999991,8.444713016277921
2025-10-01 07:00:00,7,2,0,-20.431,-38.7005,-29.4403,-18.269499999999997,-9.0093,18.269499999999997,9.0093,>20,-15.015050000000002,-17.971649999999993,3.966546537186889
2025-10-01 07:15:00,7,2,0,-16.792,-22.837,-18.2076,-6.044999999999998,-1.4155999999999977,6.044999999999998,1.4155999999999977,10-20,-23.457500000000003,-19.217337499999992,4.859182562149168
2025-10-01 07:30:00,7,2,0,-12.499,-16.13525,-13.88405,-3.6362499999999986,-1.3850499999999997,3.6362499999999986,1.3850499999999997,10-20,-18.26065,-17.934149999999992,3.9885017172286585
2025-10-01 07:45:00,7,2,0,-9.268,-14.18325,-17.82705,-4.915249999999999,-8.55905,4.915249999999999,8.55905,5-10,-12.9893,-17.430624999999992,4.567002448817225
2025-10-01 08:00:00,8,2,0,-13.844,12.3005,-4.0709,26.1445,9.7731,26.1445,9.7731,10-20,-14.632449999999997,-17.334974999999993,4.637913293803136
2025-10-01 08:15:00,8,2,0,-11.071,-12.293,-13.6574,-1.2219999999999995,-2.586400000000001,1.2219999999999995,2.586400000000001,10-20,-8.83535,-13.679437499999988,3.90884528012559
2025-10-01 08:30:00,8,2,0,-17.553,-9.6305,-15.333300000000001,7.922500000000001,2.2196999999999996,7.922500000000001,2.2196999999999996,10-20,-11.52665,-11.99593749999999,2.459506137545999
2025-10-01 08:45:00,8,2,0,-0.724,-15.0955,-12.700700000000001,-14.3715,-11.976700000000001,14.3715,11.976700000000001,<2,-16.708499999999997,-12.92573749999999,3.4598109496464224
2025-10-01 09:00:00,9,2,0,-0.625,21.308,6.6644000000000005,21.933,7.2894000000000005,21.933,7.2894000000000005,<2,-8.35285,-11.355837499999991,3.8319257087387504
2025-10-01 09:15:00,9,2,0,-4.912,0.07575,-9.22865,4.98775,-4.31665,4.98775,4.31665,2-5,3.5695499999999996,-8.254612499999991,8.602226701982014
2025-10-01 09:30:00,9,2,0,8.263,4.47525,1.40605,-3.78775,-6.856949999999999,3.78775,6.856949999999999,5-10,-3.1691000000000003,-6.165224999999991,8.557432640352301
2025-10-01 09:45:00,9,2,0,-2.73,10.11825,-2.8809500000000003,12.84825,-0.15095000000000036,12.84825,0.15095000000000036,2-5,6.99645,-0.23898749999999125,6.862381453423498
2025-10-01 10:00:00,10,2,0,0.517,-5.8825,,-6.399500000000001,,6.399500000000001,,<2,1.8923499999999998,2.3223125000000087,4.232558003023343
2025-10-01 10:15:00,10,2,0,4.954,6.58475,2.9295500000000003,1.63075,-2.0244499999999994,1.63075,2.0244499999999994,2-5,-1.8358125,0.9709718750000088,4.552419061773233
2025-10-01 10:30:00,10,2,0,12.417,14.067,10.2764,1.6500000000000004,-2.140599999999999,1.6500000000000004,2.140599999999999,10-20,3.02565,2.519659375000009,3.63599290055002
2025-10-01 10:45:00,10,2,0,5.608,9.245,0.5537999999999998,3.6369999999999996,-5.0542,3.6369999999999996,5.0542,5-10,13.2079,4.0725218750000085,6.434610547674636
2025-10-01 11:00:00,11,2,0,-10.514,24.692,,35.206,,35.206,,10-20,2.4858999999999996,4.220909375000009,6.374134787556123
2025-10-01 11:15:00,11,2,0,-1.502,-3.0005,-0.37550000000000006,-1.4985000000000002,1.1265,1.4985000000000002,1.1265,<2,-7.622874999999999,2.774143750000009,8.507009036190183
2025-10-01 11:30:00,11,2,0,-5.046,-0.8575,0.6619,4.1885,5.7079,4.1885,5.7079,5-10,-2.0363999999999995,1.5086312500000092,8.827600588527536
2025-10-01 11:45:00,11,2,0,-7.908,-12.8755,-14.821900000000001,-4.9675,-6.913900000000001,4.9675,6.913900000000001,5-10,-2.8240000000000003,-2.499343749999991,4.1401669174469875
2025-10-01 12:00:00,12,2,0,-4.927,6.65625,,11.58325,,11.58325,,2-5,-11.9777,-6.1152437499999905,4.622791257381541
2025-10-01 12:15:00,12,2,0,-12.502,-0.8705,-1.2253000000000003,11.6315,11.2767,11.6315,11.2767,10-20,2.5580000000000003,-3.570024999999991,6.086877914757817
2025-10-01 12:30:00,12,2,0,-7.692,-9.0245,-8.3491,-1.3324999999999996,-0.6570999999999998,1.3324999999999996,0.6570999999999998,5-10,-6.153449999999999,-4.599287499999991,6.089192671224295
2025-10-01 12:45:00,12,2,0,-5.78,-10.55075,-9.95435,-4.7707500000000005,-4.17435,4.7707500000000005,4.17435,5-10,-7.569899999999999,-5.785762499999991,6.090342173662487
2025-10-01 13:00:00,13,2,0,11.127,4.66625,6.06905,-6.460750000000001,-5.057950000000001,6.460750000000001,5.057950000000001,10-20,-9.13525,-5.07514999999999,5.2324595677686245
2025-10-01 13:15:00,13,2,0,8.69,11.55625,9.730450000000001,2.866250000000001,1.0404500000000017,2.866250000000001,1.0404500000000017,5-10,9.689449999999999,-3.2922874999999907,8.739754741922571
2025-10-01 13:30:00,13,2,0,10.488,11.9535,10.1379,1.4655000000000005,-0.3500999999999994,1.4655000000000005,0.3500999999999994,10-20,8.465100000000001,0.3623500000000095,10.095780435327045
2025-10-01 13:45:00,13,2,0,10.176,11.12675,11.18535,0.9507499999999993,1.0093499999999995,0.9507499999999993,1.0093499999999995,10-20,10.733949999999998,4.938312500000009,9.42808062981484
2025-10-01 14:00:00,14,2,0,3.115,7.77975,7.23915,4.66475,4.12415,4.66475,4.12415,2-5,10.662749999999999,9.887812500000008,1.0614354018445185
2025-10-01 14:15:00,14,2,0,9.647,9.4565,8.4121,-0.1905000000000001,-1.2348999999999997,0.1905000000000001,1.2348999999999997,5-10,2.6860999999999997,8.136975000000009,3.7834518094148066
2025-10-01 14:30:00,14,2,0,12.521,14.948,14.9448,2.4269999999999996,2.4238,2.4269999999999996,2.4238,10-20,8.44805,8.132712500000007,3.782968488143825
