lead_time,mae,rmse,r2,directional_accuracy,n_samples
12,4.520740694935969,6.221206907831636,0.6852046107203065,0.7949819388850923,10243
9,3.6903222410683485,5.161361642289303,0.782766375418242,0.8317848410757946,10225
6,2.8686139824837387,4.225156686384608,0.8513207379789898,0.8688939051918736,11075
3,2.2225452576630484,3.645980490568272,0.8884595341947457,0.8993943776552472,11063
0,1.6099906840829172,3.407082405531283,0.9033547223024766,0.9394212566483368,11093
