lead_time,mae,rmse,r2,directional_accuracy,n_samples
12,4.4224544976812385,6.119419337044818,0.6969211787607081,0.7917409387997624,10098
9,3.6169573356913034,5.113461856711849,0.7874660348607754,0.8307028722674248,10201
6,2.802570658320493,4.146746804277209,0.8573930717723447,0.8682766190998902,10932
3,2.1324751339829997,3.444766059130878,0.9008485859483056,0.8978937728937729,10920
0,1.463331415468908,3.0339405761476415,0.9237007334897804,0.9399890390938984,10948
