lead_time,mae,rmse,r2,directional_accuracy,n_samples
12,4.541653667065403,6.2269737805165395,0.6846207284085819,0.7895147905886947,10243
9,3.680868847186482,5.205597317927036,0.7790267981356442,0.8318826405867971,10225
6,2.9294208166205484,4.3878711416067855,0.8396486985598209,0.869706546275395,11075
3,2.2225452576630484,3.645980490568272,0.8884595341947457,0.8993943776552472,11063
0,1.6099906840829172,3.407082405531283,0.9033547223024766,0.9394212566483368,11093
