tradetype,periodfrom,amount,price,deliverydur,datetimemodify,eur
P,75,0.1,131.9,15,2026-04-21 13:46:06,3.2975000000000003
N,76,0.3,146.3,15,2026-04-21 17:25:04,10.9725
P,77,0.1,181.84,15,2026-04-21 17:28:04,4.546
P,78,0.3,179.8,15,2026-04-21 16:37:06,13.485000000000001
P,78,0.2,180.06,15,2026-04-21 16:37:06,9.003000000000002
P,79,2.5,161.44,15,2026-04-20 22:43:50,100.9
P,83,0.5,145.8,15,2026-04-21 14:34:05,18.225
P,83,0.1,196.8,15,2026-04-21 17:28:04,4.920000000000001
P,83,0.1,147.3,15,2026-04-21 14:28:04,3.6825000000000006
P,83,0.4,150.52,15,2026-04-21 16:10:12,15.052000000000001
P,83,0.1,142.08,15,2026-04-21 08:58:06,3.5520000000000005
P,83,1.0,141.75,15,2026-04-21 08:22:15,35.4375
P,83,0.3,174.07,15,2026-04-21 17:13:04,13.05525
P,84,1.0,152.3,15,2026-04-21 07:07:14,38.075
P,84,0.3,148.41,15,2026-04-21 08:16:14,11.130749999999999
P,84,0.1,152.31,15,2026-04-21 07:07:14,3.8077500000000004
P,84,0.1,152.19,15,2026-04-21 07:43:13,3.8047500000000003
P,84,0.4,152.1,15,2026-04-21 07:49:11,15.21
P,84,0.1,151.75,15,2026-04-21 08:01:14,3.79375
P,84,0.1,152.09,15,2026-04-21 07:46:15,3.8022500000000004
P,84,0.4,151.81,15,2026-04-21 07:52:13,15.181000000000001
