Delivery day;Period number;Period;Buy Orders (MW);Sell Orders (MW);Buy trades (MW);Sell trades (MW);Traded Quantity Difference (MW);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MW)
1.9.2025;1;00:00 - 00:15;97.1;25.2;57.1;0.2;56.9;95.93;57.3
1.9.2025;2;00:15 - 00:30;53.1;25.0;22.1;6.0;16.1;86.37;28.1
1.9.2025;3;00:30 - 00:45;46.3;64.0;26.3;44.0;-17.7;81.20;70.3
1.9.2025;4;00:45 - 01:00;52.6;121.0;32.6;73.6;-41.0;71.23;106.2
1.9.2025;5;01:00 - 01:15;54.0;35.0;19.0;0.0;19.0;91.78;19.0
1.9.2025;6;01:15 - 01:30;28.0;35.0;3.0;0.0;3.0;96.00;3.0
1.9.2025;7;01:30 - 01:45;15.6;36.0;5.6;26.0;-20.4;75.76;31.6
1.9.2025;8;01:45 - 02:00;25.6;92.7;15.6;56.0;-40.4;73.04;71.6
1.9.2025;9;02:00 - 02:15;27.0;10.1;17.0;0.0;17.0;81.50;17.0
1.9.2025;10;02:15 - 02:30;11.0;16.1;1.0;6.1;-5.1;77.32;7.1
1.9.2025;11;02:30 - 02:45;10.0;19.1;0.0;9.1;-9.1;77.04;9.1
1.9.2025;12;02:45 - 03:00;10.0;26.0;0.0;16.0;-16.0;75.25;16.0
1.9.2025;13;03:00 - 03:15;16.0;21.1;1.0;6.1;-5.1;85.36;7.1
1.9.2025;14;03:15 - 03:30;10.0;25.5;0.0;15.5;-15.5;82.00;15.5
1.9.2025;15;03:30 - 03:45;10.0;24.0;0.0;6.6;-6.6;80.83;6.6
1.9.2025;16;03:45 - 04:00;10.0;16.0;0.0;4.6;-4.6;78.14;4.6
1.9.2025;17;04:00 - 04:15;30.6;47.7;15.6;31.3;-15.7;72.58;46.9
1.9.2025;18;04:15 - 04:30;20.0;36.6;5.0;20.2;-15.2;75.57;25.2
1.9.2025;19;04:30 - 04:45;20.0;16.6;5.0;0.2;4.8;89.71;5.2
1.9.2025;20;04:45 - 05:00;32.8;11.4;17.8;0.0;17.8;99.23;17.8
1.9.2025;21;05:00 - 05:15;35.0;96.4;20.0;65.0;-45.0;83.81;85.0
1.9.2025;22;05:15 - 05:30;25.0;41.4;10.0;25.0;-15.0;81.91;35.0
1.9.2025;23;05:30 - 05:45;25.0;16.4;10.0;0.7;9.3;103.87;10.7
1.9.2025;24;05:45 - 06:00;56.0;15.8;41.0;5.8;35.2;106.84;46.8
1.9.2025;25;06:00 - 06:15;58.2;166.9;43.2;111.0;-67.8;97.17;154.2
1.9.2025;26;06:15 - 06:30;37.0;49.4;11.2;24.0;-12.8;105.09;35.2
1.9.2025;27;06:30 - 06:45;62.4;45.7;49.2;18.7;30.5;123.54;67.9
1.9.2025;28;06:45 - 07:00;101.1;21.7;71.2;6.0;65.2;122.16;77.2
1.9.2025;29;07:00 - 07:15;66.6;116.0;51.6;62.9;-11.3;124.79;114.5
1.9.2025;30;07:15 - 07:30;34.0;34.2;19.0;22.2;-3.2;118.98;41.2
1.9.2025;31;07:30 - 07:45;45.6;26.5;30.6;15.1;15.5;116.04;45.7
1.9.2025;32;07:45 - 08:00;65.7;22.3;50.7;6.0;44.7;102.97;56.7
1.9.2025;33;08:00 - 08:15;35.0;100.0;18.0;63.1;-45.1;128.02;81.1
1.9.2025;34;08:15 - 08:30;35.7;46.8;14.7;14.6;0.1;112.05;29.3
1.9.2025;35;08:30 - 08:45;280.0;52.1;39.5;16.4;23.1;102.42;55.9
1.9.2025;36;08:45 - 09:00;95.3;36.7;28.7;16.0;12.7;90.40;44.7
1.9.2025;37;09:00 - 09:15;349.3;31.3;28.3;2.4;25.9;117.30;30.7
1.9.2025;38;09:15 - 09:30;1,382.1;27.6;51.2;12.7;38.5;99.43;63.9
1.9.2025;39;09:30 - 09:45;5,615.7;1,412.6;71.7;59.0;12.7;77.87;130.7
1.9.2025;40;09:45 - 10:00;1,748.2;7,724.3;64.1;50.0;14.1;51.00;114.1
1.9.2025;41;10:00 - 10:15;638.5;381.9;13.5;30.0;-16.5;94.44;43.5
1.9.2025;42;10:15 - 10:30;3,660.4;72.4;28.9;38.7;-9.8;83.53;67.6
1.9.2025;43;10:30 - 10:45;692.2;3,715.9;16.7;30.1;-13.4;52.81;46.8
1.9.2025;44;10:45 - 11:00;801.8;175.4;26.7;26.4;0.3;14.02;53.1
1.9.2025;45;11:00 - 11:15;4,290.4;1,340.0;13.8;25.9;-12.1;78.66;39.7
1.9.2025;46;11:15 - 11:30;12,725.6;5,617.9;15.4;26.2;-10.8;63.00;41.6
1.9.2025;47;11:30 - 11:45;4,245.6;3,543.3;11.9;21.2;-9.3;69.30;33.1
1.9.2025;48;11:45 - 12:00;10,944.7;970.5;48.7;54.9;-6.2;51.22;103.6
1.9.2025;49;12:00 - 12:15;51.8;4,943.5;4.8;16.6;-11.8;31.58;21.4
1.9.2025;50;12:15 - 12:30;1,347.1;150.9;15.7;30.6;-14.9;43.64;46.3
1.9.2025;51;12:30 - 12:45;142.9;495.9;9.2;35.4;-26.2;44.84;44.6
1.9.2025;52;12:45 - 13:00;650.8;46.0;5.2;14.1;-8.9;27.69;19.3
1.9.2025;53;13:00 - 13:15;9,779.3;30.0;32.8;10.8;22.0;29.49;43.6
1.9.2025;54;13:15 - 13:30;858.6;47.5;19.1;11.0;8.1;35.10;30.1
1.9.2025;55;13:30 - 13:45;123.7;623.4;29.5;23.8;5.7;35.05;53.3
1.9.2025;56;13:45 - 14:00;384.1;58.0;41.5;23.1;18.4;34.66;64.6
1.9.2025;57;14:00 - 14:15;56.9;31.4;29.0;10.9;18.1;21.25;39.9
1.9.2025;58;14:15 - 14:30;3,557.8;56.7;9.4;9.9;-0.5;35.94;19.3
1.9.2025;59;14:30 - 14:45;77.0;5,455.6;9.9;5.8;4.1;67.29;15.7
1.9.2025;60;14:45 - 15:00;381.4;83.4;12.7;12.2;0.5;60.47;24.9
1.9.2025;61;15:00 - 15:15;38.9;58.0;11.3;30.4;-19.1;61.46;41.7
1.9.2025;62;15:15 - 15:30;160.4;149.0;15.1;22.6;-7.5;69.78;37.7
1.9.2025;63;15:30 - 15:45;79.0;155.9;35.3;17.9;17.4;79.50;53.2
1.9.2025;64;15:45 - 16:00;156.1;178.0;13.1;49.0;-35.9;89.46;62.1
