lead_time,mae,rmse,r2,directional_accuracy,n_samples
12,4.352455233320035,5.919246380462587,0.7167302235331318,0.7955471623099095,10061
9,3.4779712600462918,4.718276523367015,0.8192210363153589,0.8349237579931136,10165
6,2.7078118259035073,3.806516143235764,0.8799377470649534,0.8683002936857562,10896
3,2.0190635623537987,3.0523597829713363,0.9222176363327712,0.9013230429988974,10884
0,1.306650540767925,2.4833291365582464,0.9489303763053877,0.9402437906699661,10911
