quantile,pinball_loss,coverage,mae,n_samples,lead_time
0.1,1.0642213711571613,0.08903641511275993,8.235376410511579,10243,12
0.25,1.7700468876754631,0.24680269452308895,5.3174992595668735,10243,12
0.5,2.168254013870808,0.5061017280093723,4.336508027741616,10243,12
0.75,1.752951833050166,0.7483159230694133,5.2718040163314415,10243,12
0.9,1.009519948445245,0.8992482671092453,7.64457668590043,10243,12
0.1,0.8663917016492796,0.09134474327628361,6.711937059062309,10225,9
0.25,1.4608134760638865,0.24293398533007335,4.402462228190329,10225,9
0.5,1.7520169148743792,0.47833740831295846,3.5040338297487583,10225,9
0.75,1.411438747781167,0.7308557457212714,4.147299324819593,10225,9
0.9,0.822777448519647,0.8859657701711492,5.867310215494922,10225,9
0.1,0.7587903271980169,0.11584650112866818,4.828966490105664,11075,6
0.25,1.2067930444518928,0.2565237020316027,3.402730406061695,11075,6
0.5,1.4201860165351203,0.49652370203160273,2.8403720330702407,11075,6
0.75,1.1409519681114781,0.7422121896162528,3.3437092146734266,11075,6
0.9,0.673872822536596,0.8870428893905192,4.666687641732504,11075,6
0.1,0.6372820434919421,0.11624333363463799,3.59872001643125,11063,3
0.25,0.9303173073866979,0.2502033806381632,2.548379797982414,11063,3
0.5,1.0707351380442123,0.48494983277591974,2.1414702760884246,11063,3
0.75,0.8647470340966199,0.7272891620717707,2.432693427099428,11063,3
0.9,0.535808307044457,0.8791467052336618,3.3898725838092845,11063,3
0.1,0.5191785561083944,0.10871720905075273,2.42071281536842,11093,0
0.25,0.667759321250045,0.24727305507978004,1.6927726192151555,11093,0
0.5,0.7248738304319491,0.47543495898314253,1.4497476608638982,11093,0
0.75,0.5917677208367526,0.708284503741098,1.593569829927117,11093,0
0.9,0.38631971724444714,0.8690164968899305,2.1422175884595944,11093,0
