lead_time,mae,rmse,r2,directional_accuracy,n_samples
12,4.486013530627066,6.229075862917587,0.685961856939695,0.7890671420083185,10098
9,3.63378262446159,5.140351910913827,0.7852248617342087,0.8296245466130772,10201
6,2.8182859132882534,4.160096280945021,0.8564734148686385,0.8675448225393341,10932
3,2.1156584010474773,3.4134760027327102,0.9026416615485472,0.8980769230769231,10920
0,1.4620140577889587,3.0211756334615036,0.9243414229418749,0.9393496529046401,10948
