lead_time,feature,importance,pct
12,proxy_rolling_mean4,24774.051512360573,25.329354125864445
12,proxy_lag1,13316.140148639679,13.614617263803266
12,baseline_pred,12051.13599985838,12.321258442813383
12,reg_cumulative_mean,6978.4794164299965,7.134899849167577
12,reg_hist_mean_20,6519.621779680252,6.66575706205451
12,hour_sin,2206.7555985450745,2.2562193348509822
12,load_deviation,1986.6070234179497,2.031136198291051
12,hour_cos,1904.1960862874985,1.9468780457890245
12,load_hist_std_20,1898.828448355198,1.9413900939318633
12,reg_momentum,1186.5502029061317,1.2131463544640868
12,proxy_lag3,1153.4398023486137,1.1792937946374409
12,proxy_acceleration,1097.2275428175926,1.1218215548963617
12,proxy_abs_mean_4,1025.8019694685936,1.0487949996679182
12,proxy_deviation_from_mean,971.6305837035179,0.9934093792397127
12,proxy_vol_of_vol,967.7414818406105,0.9894331043753454
12,reg_hist_trend_10,961.6208457946777,0.9831752761874282
12,reg_acceleration,866.1516990363598,0.8855662183742943
12,proxy_volatility_ratio,864.3416596055031,0.8837156074759085
12,proxy_momentum,864.205231398344,0.8835761212731706
12,reg_abs_mean_10,838.2170640230179,0.857005437257137
12,reg_hist_std_80,820.2895329594612,0.8386760661938412
12,reg_abs_mean_20,813.421717941761,0.8316543112512771
12,load_ramp_abs_mean_10,797.9153052568436,0.8158003271775736
12,reg_vol_ratio,783.3017440438271,0.8008592075621643
12,proxy_consecutive_same_sign,763.6603310108185,0.7807775384012997
12,reg_hist_range_40,751.4398904442787,0.7682831804829137
12,load_hist_std_10,745.1873888969421,0.761890531069636
12,proxy_abs_mean_10,710.9774500131607,0.7269137871091599
12,load_hist_range_10,703.333281815052,0.7190982772725487
12,reg_hist_std_40,687.6635079979897,0.7030772703780348
12,reg_hist_std_20,684.9086164236069,0.700260628770945
12,proxy_rolling_std10,677.7589136958122,0.6929506676934598
12,reg_hist_range_10,675.6113105416298,0.6907549266865046
12,reg_hist_max_10,670.1825848817825,0.6852045178394965
12,proxy_rolling_std4,661.0337700247765,0.675850635159893
12,reg_hist_min_10,646.1729038357735,0.6606566673048356
12,proxy_rolling_mean10,618.1283594965935,0.6319835132786893
12,proxy_lag2,618.1085368990898,0.6319632463638646
12,reg_hist_std_10,590.4989832639694,0.6037348332223123
12,reg_hist_mean_10,526.4857794642448,0.5382867934874558
12,dow_sin,372.9170891046524,0.38127590898103597
12,proxy_prop_positive_4,356.645534157753,0.3646396322209411
12,proxy_prop_positive_10,201.70129662752151,0.2062223680844247
12,is_weekend,183.15455102920532,0.18725990298630857
12,dow_cos,165.99225056171417,0.16971291492346866
12,proxy_last_sign,148.4369146823883,0.15176408168300812
12,proxy_last_positive,0.0,0.0
12,proxy_high_volatility,0.0,0.0
9,baseline_pred,66988.69160059094,50.563004021066426
9,proxy_rolling_mean4,8760.700143098831,6.612568569094962
9,reg_trend,7193.549523830414,5.429684694662241
9,reg_cumulative_mean,6923.0507954359055,5.225512498360018
9,proxy_lag1,5923.614018321037,4.471138520116578
9,reg_hist_mean_20,3716.986444711685,2.805578017119361
9,hour_sin,3604.652920663357,2.720788774451034
9,hour_cos,3100.549600839615,2.340292043163094
9,load_hist_std_20,2146.776283144951,1.620384802918447
9,reg_std,1991.6724426150322,1.5033125639328457
9,load_deviation,1824.9779136776924,1.3774916837878433
9,proxy_lag3,1400.9388898611069,1.0574274109376784
9,reg_hist_trend_10,1252.468679010868,0.9453622296532153
