Delivery day;Period number;Period;Buy Orders (MWh);Sell Orders (MWh);Buy trades (MWh);Sell trades (MWh);Traded Quantity Difference (MWh);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MWh)
1.11.2025;1;00:00 - 01:00;79.6;98.7;16.1;16.5;-0.4;113.44;32.6
1.11.2025;2;01:00 - 02:00;5,465.5;177.0;22.6;27.0;-4.4;94.33;49.6
1.11.2025;3;02:00 - 03:00;107.1;5,559.2;44.0;51.6;-7.6;68.40;95.6
1.11.2025;4;03:00 - 04:00;77.7;96.1;32.0;34.0;-2.0;73.33;66.0
1.11.2025;5;04:00 - 05:00;157.3;84.0;35.6;16.0;19.6;70.55;51.6
1.11.2025;6;05:00 - 06:00;80.8;144.0;30.4;30.4;0.0;75.76;60.8
1.11.2025;7;06:00 - 07:00;127.2;932.8;44.2;34.6;9.6;74.38;78.8
1.11.2025;8;07:00 - 08:00;179.7;193.9;79.9;74.4;5.5;70.01;154.3
1.11.2025;9;08:00 - 09:00;170.1;352.6;43.0;18.7;24.3;46.97;61.7
1.11.2025;10;09:00 - 10:00;491.2;202.7;46.4;42.8;3.6;35.20;89.2
1.11.2025;11;10:00 - 11:00;305.1;6,215.8;167.5;46.8;120.7;1.99;214.3
1.11.2025;12;11:00 - 12:00;424.6;6,467.2;119.5;80.9;38.6;16.12;200.4
1.11.2025;13;12:00 - 13:00;1,035.9;6,386.2;75.9;151.2;-75.3;20.87;227.1
1.11.2025;14;13:00 - 14:00;685.1;1,381.9;56.0;100.6;-44.6;35.12;156.6
1.11.2025;15;14:00 - 15:00;363.1;547.3;47.0;61.8;-14.8;64.64;108.8
1.11.2025;16;15:00 - 16:00;368.2;3,061.0;45.5;39.0;6.5;80.00;84.5
1.11.2025;17;16:00 - 17:00;13,399.0;12,465.8;87.7;58.5;29.2;92.73;146.2
1.11.2025;18;17:00 - 18:00;234.0;15,999.0;27.1;89.3;-62.2;110.51;116.4
1.11.2025;19;18:00 - 19:00;55,875.7;107,833.6;36.9;61.8;-24.9;106.88;98.7
1.11.2025;20;19:00 - 20:00;14,472.5;2,698.1;53.7;102.5;-48.8;104.47;156.2
1.11.2025;21;20:00 - 21:00;1,542.7;10,662.3;100.5;128.5;-28.0;101.66;229.0
1.11.2025;22;21:00 - 22:00;20,937.2;11,332.8;86.5;277.9;-191.4;110.23;364.4
1.11.2025;23;22:00 - 23:00;3,146.8;934.3;48.9;80.6;-31.7;108.58;129.5
1.11.2025;24;23:00 - 00:00;4,136.7;362.9;41.5;92.0;-50.5;94.59;133.5
2.11.2025;1;00:00 - 01:00;68.8;64.8;10.2;22.9;-12.7;88.52;33.1
2.11.2025;2;01:00 - 02:00;76.3;80.7;7.0;38.8;-31.8;77.35;45.8
2.11.2025;3;02:00 - 03:00;63.6;108.9;7.0;28.9;-21.9;75.16;35.9
2.11.2025;4;03:00 - 04:00;96.6;125.2;18.0;40.9;-22.9;75.86;58.9
2.11.2025;5;04:00 - 05:00;85.7;177.9;10.0;27.7;-17.7;79.65;37.7
2.11.2025;6;05:00 - 06:00;151.8;115.6;21.0;29.3;-8.3;82.56;50.3
2.11.2025;7;06:00 - 07:00;161.7;100.2;28.1;21.9;6.2;83.97;50.0
2.11.2025;8;07:00 - 08:00;106.2;137.2;36.9;48.0;-11.1;85.38;84.9
2.11.2025;9;08:00 - 09:00;4,900.0;192.8;34.4;70.9;-36.5;93.21;105.3
2.11.2025;10;09:00 - 10:00;135.4;235.6;32.2;63.0;-30.8;91.98;95.2
2.11.2025;11;10:00 - 11:00;229.6;191.7;39.2;71.5;-32.3;85.67;110.7
2.11.2025;12;11:00 - 12:00;173.1;208.1;68.9;99.0;-30.1;80.21;167.9
2.11.2025;13;12:00 - 13:00;1,430.5;292.0;104.0;79.4;24.6;82.28;183.4
2.11.2025;14;13:00 - 14:00;247.6;221.1;88.8;54.2;34.6;89.03;143.0
2.11.2025;15;14:00 - 15:00;714.3;897.8;99.7;57.9;41.8;101.84;157.6
2.11.2025;16;15:00 - 16:00;322.7;242.3;37.6;57.2;-19.6;120.42;94.8
2.11.2025;17;16:00 - 17:00;626.8;211.8;70.0;80.9;-10.9;130.83;150.9
2.11.2025;18;17:00 - 18:00;168.2;284.2;30.2;67.2;-37.0;129.29;97.4
2.11.2025;19;18:00 - 19:00;567.2;159.1;52.2;60.2;-8.0;125.37;112.4
2.11.2025;20;19:00 - 20:00;232.5;254.1;41.4;64.7;-23.3;123.03;106.1
2.11.2025;21;20:00 - 21:00;304.8;314.4;46.2;83.0;-36.8;114.12;129.2
2.11.2025;22;21:00 - 22:00;219.1;235.4;37.1;52.8;-15.7;104.81;89.9
2.11.2025;23;22:00 - 23:00;255.5;482.8;21.1;68.5;-47.4;103.12;89.6
2.11.2025;24;23:00 - 00:00;301.7;24,599.3;28.2;78.9;-50.7;89.63;107.1
3.11.2025;1;00:00 - 01:00;52.6;96.1;2.0;39.1;-37.1;85.43;41.1
3.11.2025;2;01:00 - 02:00;1,008.5;88.4;168.0;54.6;113.4;77.75;222.6
3.11.2025;3;02:00 - 03:00;688.2;116.3;81.5;57.5;24.0;73.38;139.0
3.11.2025;4;03:00 - 04:00;1,807.2;150.6;59.0;34.9;24.1;73.80;93.9
3.11.2025;5;04:00 - 05:00;452.6;597.7;76.1;43.1;33.0;73.44;119.2
3.11.2025;6;05:00 - 06:00;127.4;120.8;29.1;46.5;-17.4;86.80;75.6
3.11.2025;7;06:00 - 07:00;129.6;1,439.8;4.7;75.9;-71.2;116.22;80.6
3.11.2025;8;07:00 - 08:00;87.0;3,033.8;14.6;111.1;-96.5;111.68;125.7
3.11.2025;9;08:00 - 09:00;6,868.5;2,070.1;50.7;161.2;-110.5;112.52;211.9
3.11.2025;10;09:00 - 10:00;539.5;331.8;47.5;98.6;-51.1;100.71;146.1
3.11.2025;11;10:00 - 11:00;933.2;4,779.5;60.2;126.0;-65.8;87.90;186.2
3.11.2025;12;11:00 - 12:00;1,472.8;5,551.3;114.2;168.3;-54.1;75.29;282.5
3.11.2025;13;12:00 - 13:00;868.3;5,480.0;116.0;158.2;-42.2;77.94;274.2
3.11.2025;14;13:00 - 14:00;4,470.6;4,091.0;224.9;209.8;15.1;87.77;434.7
3.11.2025;15;14:00 - 15:00;7,657.5;7,006.6;79.6;99.7;-20.1;101.44;179.3
3.11.2025;16;15:00 - 16:00;12,662.0;2,627.9;52.5;117.2;-64.7;119.70;169.7
3.11.2025;17;16:00 - 17:00;245.9;3,178.3;87.5;149.0;-61.5;120.87;236.5
3.11.2025;18;17:00 - 18:00;2,907.0;17,058.0;83.3;126.0;-42.7;122.08;209.3
