period,n_samples,correlation,p_value,r_squared,load_surprise_mean,load_surprise_std
Day (5-22),49619,-0.31378934908466577,0.0,0.09846375559897823,-9.632352526250072,94.31223965745764
Night (22-5),20456,-0.2513002852177215,4.0463329773706e-292,0.06315183335050818,1.8738560813452814,69.43561756382265
Overall,70075,-0.30448396291159496,0.0,0.09271048367034954,-6.273508383874468,87.93726027213908
