magnitude,n_samples,correlation,mean_imbalance,std_imbalance
<50 MW,20707,-0.08538545682289292,1.5366373207128023,12.010271207168154
50-100 MW,15484,-0.24877582086413738,1.797208214931542,12.588723010916556
100-200 MW,11600,-0.44034250705859684,2.9466977586206897,14.027695564757499
200-500 MW,1704,-0.582756012039182,3.829613262910798,18.20907920232217
