date,rev_s1,rev_perfect,rev_naive,cap_s1,rev_s2,cap_s2,rev_s3,cap_s3,rev_s4,cap_s4
2025-09-17,457.07,545.76,342.69,0.8374926707710348,457.07,0.8374926707710348,443.89000000000004,0.8133428613309881,443.89000000000004,0.8133428613309881
2025-09-18,538.5,598.43,432.84999999999997,0.8998546195879218,539.04,0.9007569807663386,543.77,0.9086609962735825,543.77,0.9086609962735825
2025-09-19,682.6500000000001,785.35,577.95,0.8692302794932196,683.9100000000001,0.8708346597058637,773.0400000000001,0.9843254599859935,773.0400000000001,0.9843254599859935
2025-09-20,234.92000000000002,315.38,116.49000000000001,0.7448791933540492,339.89,1.0777157714503138,340.78,1.0805377639672775,340.78,1.0805377639672775
2025-09-21,158.55,282.51,220.27,0.5612190718912605,174.76,0.6185975717673711,166.3,0.5886517291423313,166.3,0.5886517291423313
2025-09-22,451.97,471.32,258.8,0.9589450903844523,419.4699999999999,0.8899898158363743,424.31999999999994,0.9002800644997029,424.31999999999994,0.9002800644997029
2025-09-23,447.62,487.90000000000003,325.18,0.9174420987907358,445.98,0.9140807542529207,472.13,0.9676778028284484,472.13,0.9676778028284484
2025-09-24,265.31,301.90999999999997,114.03999999999996,0.8787718194163825,280.11999999999995,0.9278261733629226,265.31,0.8787718194163825,265.31,0.8787718194163825
2025-09-25,180.73999999999998,258.03,154.58999999999997,0.7004611866837189,182.00999999999996,0.7053830949889547,231.89000000000001,0.8986939503158549,231.89000000000001,0.8986939503158549
2025-09-26,147.6,167.2,133.72000000000003,0.8827751196172249,143.30999999999997,0.8571172248803827,147.65,0.883074162679426,147.65,0.883074162679426
2025-09-27,174.22,237.18,151.5,0.7345476009781601,205.22,0.8652500210810354,183.85999999999999,0.7751918374230541,183.85999999999999,0.7751918374230541
2025-09-28,248.92999999999998,270.44,136.22,0.9204629492678598,258.63,0.9563304244934181,262.49,0.9706034610264754,262.49,0.9706034610264754
2025-09-29,703.0199999999999,709.24,497.94999999999993,0.9912300490666063,558.55,0.7875331340589926,708.8199999999999,0.9994078168180023,708.8199999999999,0.9994078168180023
2025-09-30,718.26,715.01,457.5,1.0045453909735529,718.26,1.0045453909735529,720.1899999999999,1.007244653920924,720.1899999999999,1.007244653920924
2025-10-01,552.895,558.8900000000001,392.5675000000001,0.98927338116624,545.6075000000001,0.9762341426756607,551.7775,0.9872738821592799,551.7775,0.9872738821592799
2025-10-02,303.89000000000004,362.6875,189.33249999999998,0.8378838531793901,352.24249999999995,0.9712011028778217,356.60749999999996,0.9832362571083921,356.60749999999996,0.9832362571083921
