date,pnl,pnl_raw,n_correct,n_traded,cum_pnl,cum_pnl_raw,accuracy,year,month_period
2025-01-01,0.0,-964.0899999999999,0,0,0.0,-964.0899999999999,0.0,2025,2025-01
2025-01-02,463.95,463.95,15,24,463.95,-500.13999999999993,0.625,2025,2025-01
2025-01-03,-474.32000000000005,-474.32000000000005,9,24,-10.370000000000061,-974.46,0.375,2025,2025-01
2025-01-04,1.4599999999999227,1.4599999999999227,12,24,-8.910000000000139,-973.0000000000001,0.5,2025,2025-01
2025-01-05,72.07000000000005,72.07000000000005,11,24,63.15999999999991,-900.9300000000001,0.4583333333333333,2025,2025-01
2025-01-06,110.03999999999999,739.27,2,3,173.1999999999999,-161.66000000000008,0.6666666666666666,2025,2025-01
2025-01-07,-225.32,-225.32,11,24,-52.12000000000009,-386.9800000000001,0.4583333333333333,2025,2025-01
2025-01-08,-479.96000000000004,-479.96000000000004,3,24,-532.0800000000002,-866.94,0.125,2025,2025-01
2025-01-09,-68.37000000000006,-68.37000000000006,10,24,-600.4500000000003,-935.3100000000002,0.4166666666666667,2025,2025-01
2025-01-10,-139.06000000000003,-139.06000000000003,8,24,-739.5100000000003,-1074.3700000000001,0.3333333333333333,2025,2025-01
2025-01-11,417.96000000000004,417.96000000000004,24,24,-321.5500000000003,-656.4100000000001,1.0,2025,2025-01
2025-01-12,478.54999999999995,478.54999999999995,24,24,156.99999999999966,-177.86000000000013,1.0,2025,2025-01
2025-01-13,97.91999999999997,97.91999999999997,15,24,254.91999999999962,-79.94000000000015,0.625,2025,2025-01
2025-01-14,-13.990000000000089,-13.990000000000089,10,22,240.92999999999952,-93.93000000000025,0.45454545454545453,2025,2025-01
2025-01-15,-655.3199999999999,-655.3199999999999,8,24,-414.39000000000044,-749.2500000000002,0.3333333333333333,2025,2025-01
2025-01-16,186.47000000000003,186.47000000000003,16,24,-227.9200000000004,-562.7800000000002,0.6666666666666666,2025,2025-01
2025-01-17,183.86000000000004,183.86000000000004,16,24,-44.06000000000037,-378.9200000000002,0.6666666666666666,2025,2025-01
2025-01-18,184.73999999999995,184.73999999999995,18,24,140.67999999999958,-194.18000000000023,0.75,2025,2025-01
2025-01-19,-305.67999999999995,-305.67999999999995,11,24,-165.00000000000037,-499.8600000000002,0.4583333333333333,2025,2025-01
2025-01-20,0.5900000000000709,-95.9899999999999,10,24,-164.4100000000003,-595.8500000000001,0.4166666666666667,2025,2025-01
2025-01-21,247.9100000000001,247.9100000000001,12,24,83.4999999999998,-347.94000000000005,0.5,2025,2025-01
2025-01-22,-134.25,-134.25,14,24,-50.7500000000002,-482.19000000000005,0.5833333333333334,2025,2025-01
2025-01-23,243.75000000000006,243.75000000000006,13,22,192.99999999999986,-238.44,0.5909090909090909,2025,2025-01
2025-01-24,-480.53999999999996,-765.89,3,24,-287.5400000000001,-1004.3299999999999,0.125,2025,2025-01
2025-01-25,222.45000000000005,222.45000000000005,17,24,-65.09000000000003,-781.8799999999999,0.7083333333333334,2025,2025-01
2025-01-26,305.59,305.59,21,24,240.49999999999994,-476.2899999999999,0.875,2025,2025-01
2025-01-27,339.58000000000004,646.9800000000001,23,24,580.0799999999999,170.69000000000023,0.9583333333333334,2025,2025-01
2025-01-28,-9.66000000000002,-16.14,13,24,570.42,154.55000000000024,0.5416666666666666,2025,2025-01
2025-01-29,17.940000000000012,354.47,1,2,588.36,509.02000000000027,0.5,2025,2025-01
2025-01-30,145.85000000000002,199.96,16,24,734.21,708.9800000000002,0.6666666666666666,2025,2025-01
2025-01-31,44.44999999999999,180.52999999999997,3,3,778.6600000000001,889.5100000000002,1.0,2025,2025-01
2025-02-01,18.070000000000036,18.070000000000036,12,24,796.7300000000001,907.5800000000003,0.5,2025,2025-02
2025-02-02,189.67000000000002,189.67000000000002,19,24,986.4000000000001,1097.2500000000002,0.7916666666666666,2025,2025-02
2025-02-03,-135.54999999999987,-135.54999999999987,8,24,850.8500000000003,961.7000000000004,0.3333333333333333,2025,2025-02
2025-02-04,105.10999999999997,105.10999999999997,20,24,955.9600000000003,1066.8100000000004,0.8333333333333334,2025,2025-02
2025-02-05,213.53,213.53,16,24,1169.4900000000002,1280.3400000000004,0.6666666666666666,2025,2025-02
2025-02-06,-129.09,-129.09,8,24,1040.4000000000003,1151.2500000000005,0.3333333333333333,2025,2025-02
2025-02-07,-603.8000000000001,-603.8000000000001,1,24,436.60000000000025,547.4500000000004,0.041666666666666664,2025,2025-02
2025-02-08,155.40999999999997,155.40999999999997,14,24,592.0100000000002,702.8600000000004,0.5833333333333334,2025,2025-02
2025-02-09,42.97000000000001,42.97000000000001,16,24,634.9800000000002,745.8300000000004,0.6666666666666666,2025,2025-02
