feature,w_s1_original,w_s2_opt_a,w_s3_cv,w_s3_full
rank_2d,0.0,0.053215440169066944,0.0019953211654453215,5.198055707258646e-18
rank_30d_avg,0.0,0.41298387534401687,0.02446597581979793,0.08804497962209615
rank_7d,0.25,0.2764842940358024,0.019941884777353036,0.017508980673780573
rank_da_fcst,0.0,0.0,0.790981817407663,0.6721227832197353
rank_da_resid,0.0,0.0,8.617629871126136e-18,6.25102329744954e-18
rank_load,0.4,0.021446805105229144,0.05026254918733466,0.08287221977859051
rank_load_grad,0.0,4.675848525075345e-18,0.01989801678158915,0.007884001287404647
rank_solar_yest,0.0,4.36704583037577e-18,1.5661552006717146e-17,1.0573176311506557e-17
rank_yest,0.35,0.23586958534588456,0.09245443486081677,0.13156703541839274
