Delivery day;Period number;Period;Buy Orders (MWh);Sell Orders (MWh);Buy trades (MWh);Sell trades (MWh);Traded Quantity Difference (MWh);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MWh)
1.1.2025;1;00:00 - 01:00;283.2;56.0;23.0;9.0;14.0;155.92;32.0
1.1.2025;2;01:00 - 02:00;1,058.2;107.0;48.0;19.0;29.0;141.50;67.0
1.1.2025;3;02:00 - 03:00;1,071.2;68.4;67.6;25.7;41.9;153.06;93.3
1.1.2025;4;03:00 - 04:00;124.2;517.7;55.1;24.1;31.0;121.55;79.2
1.1.2025;5;04:00 - 05:00;66.2;35.0;19.0;10.0;9.0;121.02;29.0
1.1.2025;6;05:00 - 06:00;610.0;134.7;37.6;69.9;-32.3;99.13;107.5
1.1.2025;7;06:00 - 07:00;15,026.3;3,681.1;60.6;108.4;-47.8;90.25;169.0
1.1.2025;8;07:00 - 08:00;57.3;149.4;0.0;50.5;-50.5;49.48;50.5
1.1.2025;9;08:00 - 09:00;89.2;1,151.8;7.0;26.9;-19.9;52.56;33.9
1.1.2025;10;09:00 - 10:00;46.3;92.7;31.0;42.7;-11.7;53.68;73.7
1.1.2025;11;10:00 - 11:00;746.0;104.1;185.3;62.1;123.2;55.63;247.4
1.1.2025;12;11:00 - 12:00;1,562.8;862.7;273.9;62.7;211.2;47.80;336.6
1.1.2025;13;12:00 - 13:00;113.7;514.0;55.6;79.0;-23.4;39.20;134.6
1.1.2025;14;13:00 - 14:00;203.2;268.8;61.4;56.2;5.2;67.45;117.6
1.1.2025;15;14:00 - 15:00;138.3;90.5;59.8;20.5;39.3;98.78;80.3
1.1.2025;16;15:00 - 16:00;139.0;50.0;57.5;25.0;32.5;131.72;82.5
1.1.2025;17;16:00 - 17:00;179.9;26.5;78.2;11.5;66.7;172.16;89.7
1.1.2025;18;17:00 - 18:00;103.1;2,878.0;74.0;160.4;-86.4;171.87;234.4
1.1.2025;19;18:00 - 19:00;195.3;429.0;100.2;51.0;49.2;157.49;151.2
1.1.2025;20;19:00 - 20:00;152.6;1,054.9;111.5;89.5;22.0;158.44;201.0
1.1.2025;21;20:00 - 21:00;120.8;964.8;69.7;37.5;32.2;152.70;107.2
1.1.2025;22;21:00 - 22:00;225.3;89.8;62.3;59.0;3.3;193.77;121.3
1.1.2025;23;22:00 - 23:00;137.6;23.3;15.8;18.3;-2.5;163.38;34.1
1.1.2025;24;23:00 - 00:00;57.4;59.0;43.0;15.0;28.0;94.95;58.0
2.1.2025;1;00:00 - 01:00;184.2;25.0;81.5;15.0;66.5;145.18;96.5
2.1.2025;2;01:00 - 02:00;94.6;2,682.2;63.1;22.2;40.9;131.94;85.3
2.1.2025;3;02:00 - 03:00;97.7;71.6;58.3;44.0;14.3;119.90;102.3
2.1.2025;4;03:00 - 04:00;106.5;117.5;75.0;28.0;47.0;99.97;103.0
2.1.2025;5;04:00 - 05:00;130.4;43.9;80.1;28.5;51.6;122.77;108.6
2.1.2025;6;05:00 - 06:00;154.8;34.4;91.0;24.4;66.6;115.38;115.4
2.1.2025;7;06:00 - 07:00;131.3;59.5;123.0;39.5;83.5;134.25;162.5
2.1.2025;8;07:00 - 08:00;130.8;50.9;128.5;47.6;80.9;149.63;176.1
2.1.2025;9;08:00 - 09:00;97.8;47.9;64.3;8.2;56.1;137.74;72.5
2.1.2025;10;09:00 - 10:00;544.6;2,092.9;9.0;19.6;-10.6;130.93;28.6
2.1.2025;11;10:00 - 11:00;1,983.5;604.5;59.6;104.6;-45.0;116.57;164.2
